,ShoeName,URL,no_colors,price_reduce,price,Category
48,Nike Cortez,https://www.nike.com/t/cortez-womens-shoes-tZtTd5/DN1791-100,5 Colors,$90,$90,Women
49,Nike Kiger 9,https://www.nike.com/t/kiger-9-womens-trail-running-shoes-bsbcr4/DR2694-500,7 Colors,"$120.97
$160
24% off",$160,Women
50,Nike Wildhorse 8,https://www.nike.com/t/wildhorse-8-womens-trail-running-shoes-TlD93l/DR2689-601,5 Colors,"$119.97
$140
14% off",$140,Women
51,Nike Juniper Trail 2 GORE-TEX,https://www.nike.com/t/juniper-trail-2-gore-tex-womens-waterproof-trail-running-shoes-XmqHnc/FB2065-500,3 Colors,"$110.97
$130
14% off",$130,Women
52,Nike Zegama,https://www.nike.com/t/zegama-womens-trail-running-shoes-FWN4lV/DH0625-500,7 Colors,"$127.97
$170
24% off",$170,Women
53,Nike Calm,https://www.nike.com/t/calm-womens-slides-7XtJSh/DX4816-200,4 Colors,"$37.97
$50
24% off",$50,Women
54,Nike Air Huarache Craft,https://www.nike.com/t/air-huarache-craft-womens-shoes-Cp4dSR/DQ8031-201,6 Colors,"$97.97
$130
24% off",$130,Women
55,Nike SuperRep 4 NN Premium,https://www.nike.com/t/superrep-4-nn-premium-womens-workout-shoes-Q9thvJ/FB7154-001,5 Colors,"$127.97
$150
14% off",$150,Women
56,Nike MC Trainer 2,https://www.nike.com/t/mc-trainer-2-womens-workout-shoes-lGD4Lj/DM0824-003,3 Colors,"$68.97
$80
13% off",$80,Women
57,Nike Air VaporMax Plus,https://www.nike.com/t/air-vapormax-plus-womens-shoes-xbt7zf/FQ8895-100,8 Colors,$210,$210,Women
58,Nike Air Max Plus,https://www.nike.com/t/air-max-plus-womens-shoes-47Sxw5/FV0952-100,4 Colors,"$157.97
$185
14% off",$185,Women
59,Nike Air Force 1 '07,https://www.nike.com/t/air-force-1-07-womens-shoes-2pN8fN/FB8251-100,1 Color,"$106.97
$125
14% off",$125,Women
60,Nike Burrow,https://www.nike.com/t/burrow-womens-slippers-Mwlm1j/FJ6041-600,3 Colors,"$51.97
$60
13% off",$60,Women
61,Chuck Taylor All Star Lift Platform Canvas,https://www.nike.com/t/chuck-taylor-all-star-lift-platform-canvas-womens-shoes-WnnZFz/560845F-001,1 Color,$75,$75,Women
62,Chuck Taylor All Star Lift Platform Canvas,https://www.nike.com/t/chuck-taylor-all-star-lift-platform-canvas-womens-shoes-1kxzVW/560846F-102,1 Color,$75,$75,Women
63,Nike Air Force 1 '07,https://www.nike.com/t/air-force-1-07-womens-shoes-PqdxJw/FD1448-664,6 Colors,$110,$110,Women
64,Air Jordan 1 Low,https://www.nike.com/t/air-jordan-1-low-womens-shoes-rJrHLw/DC0774-080,6 Colors,$115,$115,Women
65,Air Jordan 1 Elevate Low,https://www.nike.com/t/air-jordan-1-elevate-low-womens-shoes-Q630Pk/DH7004-600,16 Colors,"$81.97
$135
39% off",$135,Women
66,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-Kg3nnj/BQ6472-414,9 Colors,$125,$125,Women
67,Nike Dunk Low,https://www.nike.com/t/dunk-low-womens-shoes-0lZ7gG/DD1503-118,2 Colors,$115,$115,Women
68,Air Jordan 1 Elevate High,https://www.nike.com/t/air-jordan-1-elevate-high-womens-shoes-BCspwg/DN3253-061,6 Colors,"$87.97
$145
39% off",$145,Women
69,Nike Court Vision Alta,https://www.nike.com/t/court-vision-alta-womens-shoes-k5tLbc/CW6536-600,4 Colors,"$68.97
$85
18% off",$85,Women
70,Nike Air Max Correlate,https://www.nike.com/t/air-max-correlate-womens-shoes-29Vjp0/511417-136,3 Colors,$100,$100,Women
71,Air Jordan 1 Low SE,https://www.nike.com/t/air-jordan-1-low-se-womens-shoes-jxMXgH/DV0426-200,3 Colors,"$72.97
$120
39% off",$120,Women
72,Nike Air Force 1 '07 Premium,https://www.nike.com/t/air-force-1-07-premium-womens-shoes-CrFc5p/DZ2786-400,3 Colors,"$110.97
$130
14% off",$130,Women
73,Nike Air Force 1 '07 Next Nature,https://www.nike.com/t/air-force-1-07-next-nature-womens-shoes-fvxZ0g/DC9486-100,4 Colors,"$97.97
$115
14% off",$115,Women
74,Nike Dunk Low,https://www.nike.com/t/dunk-low-womens-shoes-hLKTKG/FQ8893-397,1 Color,"$106.97
$125
14% off",$125,Women
75,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-womens-shoes-wkMdft/DV1302-100,6 Colors,"$81.97
$135
39% off",$135,Women
76,Air Jordan 1 Low SE,https://www.nike.com/t/air-jordan-1-low-se-womens-shoes-SW3r5H/FV3623-151,1 Color,$125,$125,Women
77,Nike Dunk High 1985,https://www.nike.com/t/dunk-high-1985-shoes-L05QbB/DV1143-800,2 Colors,"$77.97
$140
44% off",$140,Women
78,Nike Free Metcon 4,https://www.nike.com/t/free-metcon-4-womens-workout-shoes-pxHVt9/CZ0596-010,3 Colors,$120,$120,Women
79,Nike Revolution 6,https://www.nike.com/t/revolution-6-womens-road-running-shoes-6QLh9B/DC3729-003,2 Colors,"$46.97
$70
32% off",$70,Women
80,Nike Waffle Debut Vintage,https://www.nike.com/t/waffle-debut-vintage-womens-shoes-rfRkv2/DX2931-400,4 Colors,"$64.97
$80
18% off",$80,Women
81,Air Jordan 1 Zoom CMFT 2,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-womens-shoes-DdXxlf/DV1305-001,5 Colors,"$127.97
$150
14% off",$150,Women
82,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-tXSJ73/DQ8426-106,2 Colors,"$106.97
$125
14% off",$125,Women
83,Nike Air Force 1 High,https://www.nike.com/t/air-force-1-high-womens-shoes-vBhHD4/DZ7338-001,3 Colors,"$62.97
$125
49% off",$125,Women
84,Nike Air Force 1 PLT.AF.ORM,https://www.nike.com/t/air-force-1-pltaform-womens-shoes-XL2m2Q/DJ9946-100,8 Colors,$120,$120,Women
85,Nike Revolution 5,https://www.nike.com/t/revolution-5-womens-road-running-shoes-hC41Vf/BQ3207-002,1 Color,$60,$60,Women
86,Nike Free RN 2018,https://www.nike.com/t/free-rn-2018-womens-running-shoes-zE8Je3/942837-001,3 Colors,"$70.97
$100
29% off",$100,Women
87,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-BVgBmq/DV0991-101,1 Color,$125,$125,Women
88,Nike Court Royale 2,https://www.nike.com/t/court-royale-2-womens-shoe-pgRlMB/DH3159-100,1 Color,"$51.97
$60
13% off",$60,Women
89,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-womens-shoes-0k55l8/FB9892-670,2 Colors,$135,$135,Women
90,Nike Calm,https://www.nike.com/t/calm-mens-mules-m5tTKn/FD5130-200,2 Colors,$60,$60,Women
91,Air Jordan 1 Low,https://www.nike.com/t/air-jordan-1-low-mens-shoes-0LXhbn/553558-136,3 Colors,$115,$115,Women
92,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-shoes-X5pM09/554724-136,3 Colors,$125,$125,Women
93,"Air Jordan 1 High OG ""Mauve""",https://www.nike.com/t/air-jordan-1-high-og-mauve-mens-shoes-JHpxkn/DZ5485-105,1 Color,$180,$180,Women
94,Air Jordan 1 Low SE Craft,https://www.nike.com/t/air-jordan-1-low-se-craft-mens-shoes-W9Kpp9/FD6819-300,1 Color,$125,$125,Women
95,Air Jordan XXXVII Low,https://www.nike.com/t/air-jordan-xxxvii-low-basketball-shoes-00ZHpg/DQ4122-100,3 Colors,"$96.97
$175
44% off",$175,Women
96,LeBron Witness 6,https://www.nike.com/t/lebron-witness-6-basketball-shoes-HXbMw7/CZ4052-101,8 Colors,"$73.97
$105
29% off",$105,Women
97,Air Jordan 1 Zoom CMFT 2,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-mens-shoes-Tw02qw/DV1307-100,7 Colors,"$90.97
$150
39% off",$150,Women
98,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-vw6Hxn/DX4332-800,1 Color,"$87.97
$135
34% off",$135,Women
99,Nike Celso Girl,https://www.nike.com/t/celso-girl-womens-slides-9AwYMr/314870-011,1 Color,"$19.97
$26
23% off",$26,Women
100,Air Jordan 1 Retro High OG,https://www.nike.com/t/air-jordan-1-retro-high-og-womens-shoes-SsFGW3/FN6622-201,1 Color,$180,$180,Women
101,"Air Jordan 13 ""Wheat""",https://www.nike.com/t/air-jordan-13-wheat-mens-shoes-zp4pp0/414571-171,1 Color,$200,$200,Women
102,"Air Jordan 8 ""Winterized""",https://www.nike.com/t/air-jordan-8-winterized-mens-shoes-HBQzn3/FD1334-001,1 Color,$210,$210,Women
103,Air Jordan 1 Element,https://www.nike.com/t/air-jordan-1-element-shoes-Kcsdzl/DB2889-501,2 Colors,"$170.97
$200
14% off",$200,Women
104,"Air Jordan 3 ""Fear""",https://www.nike.com/t/air-jordan-3-fear-mens-shoes-5M3ZlK/CT8532-080,2 Colors,$210,$210,Women
105,Dunk High Warped Unlocked By You Greatest Gift,https://www.nike.com/u/custom-dunk-high-unlocked-warped-by-you-10001728/9866555322,1 Color,$165,$165,Women
106,"Air Jordan 1 High OG ""Royal Reimagined""",https://www.nike.com/t/air-jordan-1-high-og-royal-reimagined-mens-shoes-gX9FS0/DZ5485-042,1 Color,$180,$180,Women
107,"Tatum 1 ""Wave Runner""",https://www.nike.com/t/tatum-1-wave-runner-basketball-shoes-98vPwk/FV0169-400,2 Colors,$120,$120,Women
108,"Jordan Why Not .6 ""Childhood""",https://www.nike.com/t/jordan-why-not-6-childhood-basketball-shoes-T5Gl76/DO7189-100,3 Colors,"$105.97
$150
29% off",$150,Women
109,"Air Jordan 1 Low OG ""White/Red""",https://www.nike.com/t/air-jordan-1-low-og-white-red-mens-shoes-v0FbJt/CZ0790-161,1 Color,$140,$140,Women
110,"Sabrina 1 ""Grounded""",https://www.nike.com/t/sabrina-1-grounded-basketball-shoes-f8jr2H/FQ3381-002,5 Colors,"$110.97
$130
14% off",$130,Women
111,"Luka 2 ""Trick Shot""",https://www.nike.com/t/luka-2-trick-shot-basketball-shoes-vcXFrk/DX8733-103,3 Colors,$130,$130,Women
112,LeBron Witness 7,https://www.nike.com/t/lebron-witness-7-basketball-shoes-43zKtc/DM1123-100,6 Colors,"$64.97
$105
38% off",$105,Women
113,Giannis Immortality 2,https://www.nike.com/t/giannis-immortality-2-basketball-shoes-X7xj7b/DM0825-101,8 Colors,"$72.97
$85
14% off",$85,Women
114,"LeBron XXI ""Tahitian""",https://www.nike.com/t/lebron-xxi-tahitian-basketball-shoes-lnQSsH/FB2238-001,4 Colors,"$150.97
$200
24% off",$200,Women
115,LeBron NXXT Gen,https://www.nike.com/t/lebron-nxxt-gen-basketball-shoes-55g4w1/DR8784-301,9 Colors,"$127.97
$170
24% off",$170,Women
116,"Ja 1 ""Fly""",https://www.nike.com/t/ja-1-fly-basketball-shoes-bCx2W3/DR8785-002,5 Colors,"$102.97
$120
14% off",$120,Women
117,Nike SB React Leo,https://www.nike.com/t/sb-react-leo-skate-shoes-fWzQ6w/DX4361-001,4 Colors,$95,$95,Women
118,Nike SB Zoom Janoski OG+,https://www.nike.com/t/sb-zoom-janoski-og-shoes-p7gRgw/DV5475-300,3 Colors,$95,$95,Women
119,Nike Zoom Superfly Elite 2,https://www.nike.com/t/zoom-superfly-elite-2-track-field-sprinting-spikes-Lj6WXS/CD4382-400,2 Colors,$160,$160,Women
120,Nike Air Max 95 Unlocked By You,https://www.nike.com/u/custom-nike-air-max-95-unlocked-by-you-10001344/2490770982,6 Colors,$215,$215,Women
121,Nike Ultrafly,https://www.nike.com/t/ultrafly-womens-trail-running-shoes-tCnn3F/DZ0489-101,2 Colors,$260,$260,Women
122,Nike Zoom Superfly Elite 2,https://www.nike.com/t/zoom-superfly-elite-2-track-field-sprinting-spikes-dqWkz6/CD4382-600,1 Color,$160,$160,Women
123,Nike Elevate 3,https://www.nike.com/t/elevate-3-basketball-shoes-BQ8xtz/DD9304-602,6 Colors,"$63.97
$85
24% off",$85,Women
124,Nike P-6000 Premium,https://www.nike.com/t/p-6000-premium-mens-shoes-XkgpKW/FQ8732-010,3 Colors,"$90.97
$120
24% off",$120,Women
125,Nike Renew Elevate 3,https://www.nike.com/t/renew-elevate-3-womens-basketball-shoes-VGFNfC/FQ8971-600,2 Colors,$80,$80,Women
126,Freak 5 (Team),https://www.nike.com/t/freak-5-team-basketball-shoes-6k9TNG/DZ2946-100,5 Colors,"$119.97
$140
14% off",$140,Women
127,"LeBron 20 ""Time Machine""",https://www.nike.com/t/lebron-20-time-machine-basketball-shoes-ct1qVm/DJ5423-300,8 Colors,$200,$200,Women
128,Nike Huarache 9 Varsity LAX SE,https://www.nike.com/t/huarache-9-varsity-lax-se-lacrosse-cleats-GFrQxL/FZ3620-001,1 Color,$95,$95,Women
129,Nike SB Zoom Blazer Mid,https://www.nike.com/t/sb-zoom-blazer-mid-skate-shoes-qX3MZV/864349-302,3 Colors,"$67.97
$90
24% off",$90,Women
130,Nike Invincible 3 By You,https://www.nike.com/u/nike-invincible-run-3-by-you-custom-shoes-10001504/2437271484,6 Colors,$210,$210,Women
131,Nike Free Run 2018,https://www.nike.com/t/free-run-2018-womens-running-shoes-2Xz32l/942839-600,3 Colors,"$101.97
$120
15% off",$120,Women
132,KD16,https://www.nike.com/t/kd16-basketball-shoes-H3gcDG/DV2917-401,6 Colors,"$127.97
$150
14% off",$150,Women
133,Nike Cortez Platform Unlocked By You Greatest Gift,https://www.nike.com/u/custom-cortez-platform-unlocked-by-you-10001679/7647758839,3 Colors,$130,$130,Women
134,Nike Court Vintage Premium,https://www.nike.com/t/court-vintage-premium-shoes-Cqk441/CW7586-100,1 Color,$80,$80,Women
135,Nike Shox TL,https://www.nike.com/launch/r/AR3566-002,2 Colors,$170,$170,Women
136,Nike Air Max Bliss SE,https://www.nike.com/t/air-max-bliss-se-womens-shoes-rJ0q5H/FB9752-100,6 Colors,"$82.97
$140
40% off",$140,Women
137,Nike Air Force 1 Low By You,https://www.nike.com/u/custom-nike-air-force-1-low-by-you-10001752/4667216464,12 Colors,$135,$135,Women
138,Nike City Classic,https://www.nike.com/t/city-classic-womens-boots-QTgPCN/DQ5601-003,3 Colors,"$106.97
$125
14% off",$125,Women
139,Nike Air Max 1 '87 By You,https://www.nike.com/u/custom-air-max-1-unlocked-by-you-10001615/1863505004,7 Colors,$180,$180,Women
140,Nike Hyperdiamond 4 Pro,https://www.nike.com/t/hyperdiamond-4-pro-womens-softball-cleats-K4vhtH/CZ5920-400,9 Colors,$80,$80,Women
141,Nike Blazer Low '77 Jumbo,https://www.nike.com/t/blazer-low-77-jumbo-womens-shoes-PdFBP1/DQ1470-002,4 Colors,$100,$100,Women
142,Nike Dunk Low Unlocked By You,https://www.nike.com/u/nike-dunk-low-unlocked-by-you-10001614/5150220534,7 Colors,$160,$160,Women
143,Jumpman Two Trey,https://www.nike.com/t/jumpman-two-trey-womens-shoes-VKM3mw/DR9631-801,7 Colors,"$131.97
$155
14% off",$155,Women
144,Nike Air Max 1 '87 Premium,https://www.nike.com/launch/r/FN7200-224,1 Color,$160,$160,Women
145,NikeCourt Air Zoom NXT,https://www.nike.com/t/nikecourt-air-zoom-nxt-womens-hard-court-tennis-shoes-j36m8b/DV3282-103,4 Colors,$140,$140,Women
146,Nike Elevate 2,https://www.nike.com/t/elevate-2-basketball-shoes-v0S9N8/CW3406-004,1 Color,"$40.97
$80
48% off",$80,Women
147,Air Jordan 1 Low FlyEase,https://www.nike.com/t/air-jordan-1-low-flyease-mens-easy-on-off-shoes-D3wW7l/DM1206-174,1 Color,"$84.97
$130
34% off",$130,Women
148,Nike Rival Sprint,https://www.nike.com/t/rival-sprint-track-field-sprinting-spikes-Bc9gTn/DC8753-100,4 Colors,$75,$75,Women
149,Nike Air Max 95 By You,https://www.nike.com/u/custom-nike-air-max-95-by-you-10001246/8479541797,8 Colors,$190,$190,Women
150,Nike Air Zoom Victory,https://www.nike.com/t/air-zoom-victory-track-field-distance-spikes-MsLPjj/CD4385-400,5 Colors,$190,$190,Women
151,Nike Internationalist By You,https://www.nike.com/u/custom-nike-internationalist-by-you-10001560/6514916251,7 Colors,$110,$110,Women
152,Nike Air Max Thea,https://www.nike.com/t/air-max-thea-womens-shoes-b7gZlp/FJ9302-104,1 Color,"$72.97
$120
39% off",$120,Women
153,Converse x TURBODRK Chuck 70 Laceless,https://www.nike.com/t/converse-x-turbodrk-chuck-70-laceless-unisex-shoes-6CmpRH/A03938C-206,1 Color,$170,$170,Women
154,Nike Go FlyEase,https://www.nike.com/t/go-flyease-easy-on-off-shoes-LGmqKx/DR5540-102,2 Colors,$125,$125,Women
155,Nike Air Huarache By You,https://www.nike.com/u/custom-huarache-run-by-you-10001374/4041883818,7 Colors,$130,$130,Women
156,Nike Air Max Bella TR 5,https://www.nike.com/t/air-max-bella-tr-5-womens-workout-shoes-tLCg4B/DD9285-400,7 Colors,$90,$90,Women
157,Nike Air Force 1 '07 LX,https://www.nike.com/t/air-force-1-07-lx-womens-shoes-58VkQV/DO9456-100,11 Colors,"$72.97
$120
39% off",$120,Women
158,KD Trey 5 IX,https://www.nike.com/t/kd-trey-5-ix-basketball-shoes-1HJf9Q/CW3400-001,1 Color,$95,$95,Women
159,Nike Blazer Mid Premium,https://www.nike.com/t/blazer-mid-premium-womens-shoes-lgMh8j/DQ7572-200,4 Colors,"$87.97
$125
29% off",$125,Women
160,Nike Air Force 1 '07,https://www.nike.com/t/air-force-1-07-womens-shoes-5RMcfN/FQ8887-100,1 Color,"$106.97
$125
14% off",$125,Women
161,Nike G.T. Hustle 2,https://www.nike.com/t/gt-hustle-2-mens-basketball-shoes-8FSgBX/DJ9405-302,5 Colors,"$127.97
$170
24% off",$170,Women
162,Nike Blazer Low '77 By You,https://www.nike.com/u/custom-nike-blazer-low-77-by-you-10001281/9693201788,6 Colors,$115,$115,Women
163,Nike Air Presto,https://www.nike.com/t/air-presto-womens-shoes-LMdjZP/DV2228-300,2 Colors,"$99.97
$130
23% off",$130,Women
164,Nike Icon Classic,https://www.nike.com/t/icon-classic-womens-sandals-c4bCfN/DH0224-200,3 Colors,"$55.97
$65
13% off",$65,Women
165,Nike Metcon 8,https://www.nike.com/t/metcon-8-womens-workout-shoes-Hzmjkl/DO9327-102,4 Colors,"$110.97
$130
14% off",$130,Women
166,Nike Offcourt,https://www.nike.com/t/offcourt-womens-slides-N330Vh/BQ4632-002,1 Color,"$34.97
$40
12% off",$40,Women
167,Nike Pegasus 40 By You,https://www.nike.com/u/custom-pegasus-40-by-you-10001527/5274935308,14 Colors,$160,$160,Women
168,Nike Air Huarache Craft By You,https://www.nike.com/u/nike-air-huarache-craft-by-you-10001528/9756639660,6 Colors,$160,$160,Women
169,NikeCourt Air Zoom Pro,https://www.nike.com/t/nikecourt-air-zoom-pro-womens-hard-court-tennis-shoes-h9NGq9/DV3285-300,5 Colors,"$85.97
$100
14% off",$100,Women
170,Nike Tanjun,https://www.nike.com/t/tanjun-womens-shoes-lj1St1/DJ6257-004,3 Colors,"$59.97
$70
14% off",$70,Women
171,Run Star Hike Platform,https://www.nike.com/t/run-star-hike-platform-unisex-shoes-Pt8mNb/168817C-102,2 Colors,$105,$105,Women
172,Nike Victori One,https://www.nike.com/t/victori-one-womens-slides-dLThzx/CN9677-002,11 Colors,"$29.97
$35
14% off",$35,Women
173,Sabrina 1 By You,https://www.nike.com/u/custom-sabrina-1-by-you-10001594/2086042712,6 Colors,$160,$160,Women
174,Nike ACG Moc,https://www.nike.com/t/acg-moc-mens-shoes-Jgw0hR/DZ3407-800,2 Colors,$90,$90,Women
175,KD Trey 5 X,https://www.nike.com/t/kd-trey-5-x-basketball-shoes-cNfPMN/DD9538-012,5 Colors,"$59.97
$95
36% off",$95,Women
176,Nike Air More Uptempo x Serena Williams Design Crew,https://www.nike.com/t/air-more-uptempo-x-serena-williams-design-crew-shoes-tJvj1B/DX4219-400,1 Color,"$99.97
$180
44% off",$180,Women
177,Nike Pegasus Trail 4 GORE-TEX By You,https://www.nike.com/u/custom-pegasus-trail-gtx-by-you-10001703/5278285078,8 Colors,$190,$190,Women
178,Nike SB Zoom Blazer Low Pro GT,https://www.nike.com/t/sb-zoom-blazer-low-pro-gt-skate-shoes-wWkbwv/DC7695-102,3 Colors,$85,$85,Women
179,Nike Pegasus Turbo Next Nature SE,https://www.nike.com/t/pegasus-turbo-next-nature-se-womens-road-running-shoes-v0hK3R/FJ2975-001,12 Colors,"$90.97
$150
39% off",$150,Women
180,Cosmic Unity 3,https://www.nike.com/t/cosmic-unity-3-basketball-shoes-0zGs9z/DV2757-003,10 Colors,$170,$170,Women
