,count_of_sizes,colors,color,product_code,reviews,star_rating,Size,comfort,quality
0,"['6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']","['Core Black / Grey Two / Solar Red', 'Orbit Green F21 / Core Black / Pulse Lime S22']",[],['Product code: EF3010'],['Reviews (295)'],['4.7'],['53.7288'],['84.9153'],['88.2203']
1,"['M 5 / W 6', 'M 5.5 / W 6.5', 'M 6 / W 7', 'M 6.5 / W 7.5', 'M 7 / W 8', 'M 7.5 / W 8.5', 'M 8 / W 9', 'M 8.5 / W 9.5', 'M 9 / W 10', 'M 9.5 / W 10.5', 'M 10 / W 11', 'M 10.5 / W 11.5', 'M 11 / W 12', 'M 11.5 / W 12.5', 'M 12 / W 13', 'M 12.5 / W 13.5', 'M 13 / W 14', 'M 14 / W 15']","['Core Black / Cloud White / Carbon', 'Sand Strata S23 / Silver Metallic / Screaming Orange S21', 'Core Black / Cloud White / Lucid Lemon', 'Cloud White / Core Black / Grey One']",[],['Product code: IE7018'],['Reviews (15)'],['4.1'],['33.3333'],['70'],['73.3333']
2,"['9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']","['Cloud White / Solar Red / Crystal White', 'Grey Three / Cloud White / Grey Five', 'Victory Blue / Victory Blue / Cloud White', 'Better Scarlet / Better Scarlet / Cloud White', 'Carbon / Court Green / Core Black', 'Chalk White / Core Black / Cloud White', 'Core Black / Cloud White / Core Black', 'Core Black / Core Black / Carbon', 'Silver Violet / Cloud White / Core Black', 'Lucid Blue S23 / Lucid Blue S23 / Cloud White']",[],['Product code: HP5774'],['Reviews (615)'],['4.5'],['50.935'],['83.5366'],['86.3415']
3,"['M 9 / W 10', 'M 9.5 / W 10.5', 'M 10 / W 11', 'M 10.5 / W 11.5', 'M 11 / W 12', 'M 11.5 / W 12.5', 'M 12 / W 13']","['Wonder Taupe / Semi Coral Fusion / Wonder Taupe', 'Wonder Quartz / Pulse Blue / Semi Coral Fusion']",[],['Product code: IE1685'],['Reviews (44)'],['4.8'],['52.2727'],['77.8409'],['90.9091']
4,"['M 7 / W 8', 'M 7.5 / W 8.5', 'M 8.5 / W 9.5', 'M 9 / W 10', 'M 9.5 / W 10.5', 'M 10 / W 11', 'M 10.5 / W 11.5', 'M 11 / W 12', 'M 11.5 / W 12.5', 'M 12 / W 13', 'M 12.5 / W 13.5', 'M 13 / W 14', 'M 13.5 / W 14.5']",[],['Cloud White / Core Black / Lucid Lemon F23'],['Product code: IE4206'],['Reviews (7)'],['5.0'],['50'],['96.4286'],['96.4286']
5,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13']","['Savanna / Aluminium / Tech Purple', 'Silver Pebble / Olive Strata / Bold Gold', 'Cloud White / Grey One / Grey Two', 'Grey Four / Grey Three / Grey Two', 'Halo Blue S21 / Core Black / Aluminium', 'Legend Ink / Aluminium / Silver Green S23', 'Preloved Red S23 / Preloved Red S23 / Shadow Red']",[],['Product code: GW2217'],['Reviews (207)'],['4.6'],['50.8454'],['83.0918'],['87.4396']
6,"['9.5', '11', '11.5', '12', '13']","['Core Black / Cloud White / Gold Metallic', 'Crystal White / Semi Lucid Blue / Gold Metallic', 'Grey Four / Lucid Lime / Gum', 'Core Black / Core Black / Gum', 'Core Black / Cloud White / Gold Metallic', 'Crystal White / Preloved Yellow / Gum', 'Collegiate Navy / Cloud White / Gold Metallic']",[],['Product code: IG5254'],['Reviews (2710)'],['4.6'],['47.0937'],['80.1811'],['88.6034']
7,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","['Orbit Green F21 / Carbon / Pulse Lime S22', 'Core Black / Cloud White / Grey Six', 'Silver Violet S23 / Cloud White / Wonder Steel F22', 'Solar Gold / Core Black / Impact Orange']",[],['Product code: GW9432'],['Reviews (141)'],['4.6'],['45.922'],['82.0922'],['89.3617']
8,"['6.5', '11', '11.5']","['Core Black / Collegiate Orange / Dark Green', 'Grey Two / Cloud White / Grey Two', 'Team College Purple / Cloud White / Team College Purple', 'Team Power Red 2 / Cloud White / Team Power Red 2', 'Cloud White / Core Black / Cloud White', 'Core Black / Cloud White / Core Black', 'Team Maroon 2 / Cloud White / Team Maroon 2']",[],['Product code: IE9378'],['Reviews (43)'],['4.5'],['43.0233'],['75'],['84.8837']
9,"['7.5', '8.5', '9.5', '10', '10.5', '11']","['Pulse Olive F22 / Focus Olive F21 / Impact Orange F22', 'Wonder Steel F22 / Grey Three / Impact Orange F22', 'Core Black / Grey Six / Grey Three', 'Wonder Taupe / Taupe Met. / Earth Strata', 'Silver Violet / Blue Dawn / Core Black', 'Core Black / Wonder Silver / Semi Flash Aqua']",[],['Product code: HQ8385'],['Reviews (177)'],['4.8'],['51.1299'],['89.4068'],['91.2429']
10,"['M 7 / W 8', 'M 8 / W 9', 'M 8.5 / W 9.5', 'M 9 / W 10', 'M 9.5 / W 10.5', 'M 10 / W 11', 'M 10.5 / W 11.5', 'M 11 / W 12', 'M 11.5 / W 12.5', 'M 12 / W 13']","['Wonder Orchid / Off White / Shadow Red', 'Core Black / Acid Orange / Lucid Pink', 'Wonder Beige / Off White / Orbit Grey', 'Solar Green / Impact Orange / Core Black', 'Collegiate Gold / Acid Orange S21 / Legend Ink', 'Core Black / Better Scarlet S23 / Iron Metallic']",[],['Product code: IE9304'],['Reviews (45)'],['4.4'],['51.6667'],['80'],['80.5556']
11,"['5', '5.5', '6', '6.5', '7.5', '8', '9', '10.5', '11.5', '12', '12.5']","['Cloud White / Bright Blue / Core Black', 'Focus Olive / Silver Pebble / Shadow Olive', 'Carbon / Grey Six / Lucid Blue S23', 'Grey / Grey Two / Lucid Lemon F23', 'Core Black / Grey Five / Solar Red']",[],['Product code: IE2022'],['Reviews (88)'],['4.3'],['50.2841'],['73.0114'],['80.9659']
12,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13']","['Grey One / Crystal White / Cloud White', 'Vivid Red / Better Scarlet / Cloud White', 'Grey Five / Carbon / Bright Royal', 'Cloud White / Core Black / Gold Metallic', 'Core Black / Cloud White / Gold Metallic', 'Core Black / Cloud White / Carbon', 'Cloud White / Core Black / Cloud White', 'Wonder Taupe / Simple Brown / Core Black', 'Grey Six / Solar Orange / Core Black', 'Active Teal / Core Black / Crystal White', 'Active Purple / Core Black / Signal Green', 'Crystal White / Core Black / Signal Green', 'Core Black / Core Black / Signal Green', 'Core Black / Grey Five / Core Black', 'Magic Grey S22 / Cloud White / Beam Orange F22', 'Beam Orange F22 / Grey One / Bliss Orange', 'Cloud White / Core Black / Grey One', 'Core Black / Core Black / Core Black', 'Core Black / Core Black / Cloud White', 'Cloud White / Cloud White / Cloud White', 'Core Black / Core Black / Core Black', 'Core Black / Cloud White / Core Black', 'Royal Blue / Crystal White / Core Black', 'Core Black / Cloud White / Grey Six', 'Cloud White / Cloud White / Grey Two', 'Core Black / Core Black / Core Black', 'Core Black / Cloud White / Core Black', 'Solar Yellow / Solar Yellow / Core Black', 'Focus Olive F21 / Focus Olive F21 / Core Black', 'Silver Green / Carbon / Grey Four', 'Light Solid Grey / Silver Metallic / Crystal White', 'Bright Royal / Black Blue Met. / Silver Metallic', 'Grey Three / Cloud White / Core Black']",[],['Product code: FZ5965'],['Reviews (1178)'],['4.4'],['51.2521'],['76.528'],['82.6401']
13,"['10.5', '11', '11.5', '12', '12.5', '13']","['Non Dyed / Cloud White / Wonder Beige', 'Non Dyed / Core Black / Semi Impact Orange']",[],['Product code: HQ9022'],['Reviews (27)'],['4.6'],['44.4444'],['80.5556'],['87.963']
14,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","['Orbit Green F21 / Carbon / Pulse Lime S22', 'Core Black / Cloud White / Grey Six', 'Silver Violet S23 / Cloud White / Wonder Steel F22', 'Solar Gold / Core Black / Impact Orange']",[],['Product code: HQ3563'],['Reviews (141)'],['4.6'],['45.922'],['82.0922'],['89.3617']
