,count_of_sizes,colors,product_code,reviews,quality
82,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-PUMA White', 'PUMA White-Speed Green', 'PUMA Black-Bold Blue-Future Pink']",['Style: 378688_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
83,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12']",['PUMA Black-Koral Ice-Speed Green'],['Style: 378906_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],[]
84,"['5.5', '6', '6.5', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5', '15.5']",['Sedate Gray-Sedate Gray'],['Style: 393314_02'],['Reviews (1)Average: 3.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
85,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-Koral Ice-Speed Green-PUMA Silver', 'Koral Ice-Speed Green']",['Style: 378482_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],[]
86,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-PUMA Silver', 'PUMA Black-Peach Smoothie-Speed Green', 'Fire Orchid-Ultra Blue']",['Style: 378456_03'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
87,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA White-Cherry Tomato', 'Cherry Tomato-PUMA Black']",['Style: 309758_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
88,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA Black-Intense Lavender'],['Style: 394508_03'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
89,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Pristine-Prairie Tan'],['Style: 396449_01'],['Reviews (7)Average: 4.6 / 5Write A ReviewRead All ReviewsRead All'],['80.0']
90,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black-PUMA White', 'PUMA White-Speed Green', 'PUMA Black-Bold Blue-Future Pink']",['Style: 378688_03'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
91,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA White-Warm White'],['Style: 394749_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
92,[],"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']",['Style: 396463_01'],['Reviews (4)Average: 4.3 / 5Write A ReviewRead All ReviewsRead All'],['66.7']
93,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['PUMA Black', 'Chocolate']",['Style: 394786_04'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
94,"['5.5', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Vibrant Red', 'Dusty Tan']",['Style: 378437_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
95,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Vibrant Red', 'Dusty Tan']",['Style: 378437_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
96,[],"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']",['Style: 396463_09'],['Reviews (4)Average: 4.3 / 5Write A ReviewRead All ReviewsRead All'],['66.7']
