,product_code,count_of_sizes,colors
18,FD2292-100,15,"['White/Pure Platinum/Metallic Silver', 'Black/Anthracite/White', 'Light Bone/Sail/Ice Peach/Bright Mandarin']"
19,FB2348-700,20,"['Phantom/Light Orewood Brown/Luminous Green/Phantom', 'Fir/Earth/Deep Royal Blue/Fir', 'Rugged Orange/Black/Campfire Orange/Rugged Orange', 'Wheat Gold/Rugged Orange/Field Purple/Wheat Gold', 'Black/Velvet Brown/Cedar/Black']"
20,DR9761-800,15,"['Anthracite/Black/Light Smoke Grey', 'Monarch/Light Bone/Sail/Black', 'Oil Green/Fir/Coconut Milk/Black', 'White/Summit White/Photon Dust/White', 'Cacao Wow/Bronzine/Black', 'Phantom/Phantom/Light Orewood Brown', 'Light Silver/Sail/Flat Pewter/Mica Green']"
21,FQ8886-100,15,"['Red Stardust/Cedar/Black/Deep Jungle', 'White/Light Lemon Twist/Fireberry/Blue Tint', 'Phantom/Black/Sail/Metallic Gold', 'White/Team Orange/Metallic Summit White/Black', 'White/White/Photon Dust/White', 'Amethyst Ash/Ashen Slate/White/Amethyst Wave', 'Fossil Stone/Rose Whisper/White/Pink Oxford', 'White/White/Black', 'Black/Black/White', 'Summit White/Wolf Grey/White/University Blue', 'White/Jade Ice/Black/Light Fusion Red', 'Summit White/Platinum Tint/Hemp/Sail']"
22,DZ2794-700,15,"['Light Lemon Twist/White/Light Lemon Twist', 'Black/Black/White', 'Coconut Milk/White/Vivid Sulfur', 'Summit White/Jade Ice']"
23,FD2196-100,15,"['Summit White/Sanddrift/Sail/Black', 'Light Bone/Light Smoke Grey/Light Iron Ore/Rugged Orange', 'Persian Violet/Black/Anthracite/Metallic Silver']"
24,DD9682-102,15,"['Light Orewood Brown/Diffused Taupe/Light Silver/Sail', 'Sail/Black/Sail']"
25,FD0736-101,13,"['White/Photon Dust/Fir/Platinum Tint', 'Black/Anthracite/Dark Smoke Grey', 'Summit White/Pure Platinum/Light Iron Ore/Metallic Silver']"
26,FB9927-200,9,['Medium Olive/Cargo Khaki/Black/Pale Vanilla']
27,FV3634-181,11,"['Coconut Milk/Sail/Coconut Milk/Bright Mandarin', 'Black/Black/Oatmeal/Metallic Gold Grain', 'White/Jade Ice/Clear Jade/Deep Jungle', 'White/Particle Grey/Metallic Silver/Dark Smoke Grey']"
28,FB8502-100,14,"['Polar/Blue Joy/White/Lime Blast', 'Black/Anthracite/White', 'White/Photon Dust/Polar/Lime Blast', 'Diffused Blue/Ashen Slate/White/Metallic Gold']"
29,FB8455-001,9,"['Black/Red Stardust/Cedar/Bronzine', 'White/Black/Multi-Color', 'White/Teal Nebula/Black/Cool Grey', 'White/Summit White/Black/Hemp', 'White/Photon Dust/Metallic Silver', 'White/Photon Dust/Cobalt Bliss/Wolf Grey', 'White/Alabaster/Sail/Citron Pulse', 'Summit White/Pure Platinum/Medium Blue', 'White/Doll/Pure Platinum/Lapis', 'Summit White/Light Bone/Vivid Sulfur/University Blue', 'Black/Black/White', 'White/White/Black', 'White/Medium Soft Pink/Summit White/Sail', 'Barely Rose/Pink Oxford/Black/Summit White']"
30,FQ8876-618,3,['Red Stardust/White/Rugged Orange']
31,DM9922-002,15,"['White/Metallic Silver/Chrome/Platinum Tint', 'Red Stardust/Summit White/Campfire Orange/Rugged Orange', 'Diffused Taupe/Plum Eclipse/Night Maroon/Black', 'Photon Dust/Sail/Tawny/Photon Dust', 'White/Fuchsia Dream/Baltic Blue/Bright Crimson', 'Hemp/Sanddrift/Summit White/White', 'Summit White/Light Bone/Phantom/Summit White', 'Summit White/Mica Green/Light Silver/Summit White', 'Summit White/Barely Rose/Pink Oxford/Light Soft Pink', 'Phantom/Hemp/Sanddrift/Black']"
32,DD1869-103,15,"['White/University Red/Black', 'Pale Vanilla/Sail/Topaz Gold']"
33,DO7626-001,15,"['Pale Ivory/Neutral Olive/Luminous Green/Black', 'Black/Dark Smoke Grey/Volt/White', 'Black/Off Noir/Dark Smoke Grey/Black']"
34,DV4023-001,15,"['Sail/Sail/Coconut Milk/Buff Gold', 'Light Smoke Grey/Photon Dust/Bright Mandarin/Polar', 'Black/Black/Anthracite/Black', 'White/Black/Emerald Rise', 'White/Photon Dust/Rush Fuchsia/Fuchsia Dream', 'Pearl Pink/Coral Chalk/White/Midnight Navy', 'Pink Foam/Pearl Pink/White', 'White/Pure Platinum/Metallic Silver', 'Black/Black/White', 'White/Citron Pulse/Vivid Orange/Black']"
35,DV1238-001,15,"['Pearl Pink/White', 'Black/Anthracite/White/Black', 'Black/Metallic Gold/White/Fireberry', 'Bright Crimson/Fuchsia Dream/Black/Bright Crimson']"
36,DX6482-002,15,"['Sea Glass/Lime Blast/Coconut Milk/Obsidian', 'Black/Fireberry/Fierce Pink/Metallic Gold', 'Black/Anthracite/White', 'Guava Ice/Vivid Sulfur/White/Earth', 'Pink Foam/Pink Oxford/Platinum Tint/White']"
37,FB7147-001,14,"['Black/Diffused Blue/White/Metallic Red Bronze', 'Luminous Green/Sea Glass/Lime Blast/White', 'Mica Green/Light Silver/Pink Oxford', 'White/Black/Jade Ice/Emerald Rise', 'Black/Iron Grey/White', 'Barely Rose/Pink Oxford/Gum Light Brown/White', 'White/Photon Dust/Picante Red/Black']"
38,FB7156-001,15,"['Black/Anthracite/Fireberry/Metallic Gold', 'White/Red Stardust/Ember Glow/Guava Ice', 'Black/White/Metallic Silver', 'Plum Eclipse/Violet Dust/Light Orewood Brown/Guava Ice', 'Black/Anthracite/Volt/Vivid Purple', 'Jade Ice/White/Emerald Rise/Black', 'Football Grey/Cobalt Bliss/Hyper Royal/Summit White', 'Desert Berry/Barely Rose/Elemental Pink/Sail', 'White/Luminous Green/Sea Glass/Lime Blast', 'Light Silver/Pale Ivory/Guava Ice/Pink Oxford', 'White/Black/Photon Dust/Picante Red', 'Smokey Mauve/Sail/Platinum Violet/Black']"
39,DM0113-102,15,"['Black/White', 'Sail/Sail/Diffused Blue', 'Pink Oxford/White/Light Soft Pink/Pink Oxford', 'White/White/White']"
40,DH9523-100,12,"['White/Oil Green/Sea Glass', 'White/Team Orange/Rattan/Sail', 'White/Summit White/White/Blue Tint', 'Black/Orange/Clear/White', 'White/Light Orewood Brown/Sail/Rush Fuchsia', 'White/Black/Orange/White']"
41,DJ6159-002,15,"['Pure Platinum/Baltic Blue/Black/Green Abyss', 'Volt/Black/Summit White/Bright Cactus', 'Mantra Orange/Enamel Green/Bicoastal/Ghost Green', 'Light Photo Blue/Track Red/Black/Metallic Silver', 'Deep Jungle/Khaki/Ashen Slate/Night Maroon', 'Black/Dark Grey/Wolf Grey/Aura', 'Platinum Violet/Purple Ink/Fierce Pink/Luminous Green', 'Sequoia/Amber Brown/Emerald Rise/Guava Ice', 'Team Gold/Baltic Blue/Stadium Green/Volt']"
42,FB2197-600,15,"['Fireberry/Fierce Pink/Bordeaux', 'Ashen Slate/Diffused Blue/Platinum Tint/Metallic Gold', 'Pale Ivory/Summit White/Platinum Tint/Anthracite', 'Black/Volt/Anthracite']"
43,DD8959-100,13,"['White/Action Green', 'White/Game Royal/Sanddrift/Stadium Green', 'Fireberry/Fireberry/Fierce Pink', 'Black/Black/Black/Black', 'White/White/White/White']"
44,CI0919-100,14,"['Black/Anthracite/Velvet Brown/Black', 'White/Fireberry/Light Lemon Twist/Blue Tint', 'Phantom/Pink Oxford/White/Red Stardust', 'White/Siren Red/Photon Dust/Sundial', 'Summit White/Wolf Grey/Pure Platinum/Sesame', 'Sail/Sea Coral/Indigo Haze/Coral Chalk', 'White/Blue Tint/Pink Spell/Racer Blue', 'White/Team Gold/Pure Platinum/Black', 'Sail/Citron Tint/Pearl White/Light Silver', 'Shimmer/Sanddrift/Pearl White/Mars Stone', 'Sail/Classic Green/University Blue/Multi-Color', 'Sail/Sesame/Black/Multi-Color', 'White/White/White', 'Rush Orange/Guava Ice/White/Black']"
45,DJ7929-001,14,"['University Blue/Pink Glow/Gym Red/Safety Orange', 'Pale Ivory/Luminous Green/High Voltage/Neutral Olive', 'Hyper Pink/Team Red/Pink Foam/Burgundy Crush', 'Emerald Rise/Amber Brown/Ember Glow/Sequoia', 'Fireberry/Fierce Pink/Platinum Violet/Purple Ink', 'Black/Reflect Silver/Wolf Grey', 'Deep Jungle/Night Maroon/Ashen Slate/Khaki', 'Black/Light Photo Blue/Track Red/Vivid Sulfur', 'Rosewood/Dark Smoke Grey/Blue Lightning/Pink Spell', 'Black/Light Magenta/Pink Foam/Chlorophyll']"
46,DN3559-003,13,"['Black/Sail/Metallic Gold Grain', 'White/Clear Jade/Light Ultramarine/Deep Jungle', 'Black/Sea Coral/White/Topaz Gold', 'Hyper Pink/Laser Orange/White/Black', 'Total Orange/Bright Crimson/Ghost Green/Black']"
47,DJ0292-101,15,"['Sail/Gum Medium Brown/Tawny/Black', 'White/Sail/Team Orange/Black', 'Sail/Sail/Black/Sail', 'White/Light Lemon Twist/Blue Tint']"
48,DN1791-100,15,"['Sail/Khaki/White/Cacao Wow', 'White/Sail/Team Orange/University Blue', 'White/Red Stardust/Sail/Cedar', 'Sail/Malachite/Coconut Milk/Gorge Green', 'White/Light Photo Blue/Sail/Black']"
49,DR2694-500,15,"['Khaki/Deep Jungle/Safety Orange/Sea Glass', 'Sequoia/Emerald Rise/Guava Ice/Amber Brown', 'Melon Tint/Sundial/Bright Mandarin/Sail', 'Obsidian/Citron Pulse/Baltic Blue/Volt', 'Purple Ink/Platinum Violet/Luminous Green/Fierce Pink', 'Black/Reflect Silver/Cool Grey/Wolf Grey', 'Black/Track Red/Vivid Sulfur/Light Photo Blue']"
50,DR2689-601,13,"['Black/Deep Jungle/Night Maroon/Sea Glass', 'Mineral/Plum Eclipse/Amber Brown/Sequoia', 'Fireberry/Fierce Pink/Luminous Green/Purple Ink', 'Obsidian/Cool Grey/Baltic Blue/Volt', 'Bright Cactus/Volt/Summit White']"
51,FB2065-500,14,"['Pale Ivory/Sea Glass/Luminous Green/Black', 'Black/Anthracite/Cool Grey', 'Purple Ink/Wolf Grey/Luminous Green/Platinum Violet']"
52,DH0625-500,15,"['Mica Green/Plum Eclipse/Amber Brown/Sequoia', 'Black/White', 'Platinum Violet/Fireberry/Purple Ink/Luminous Green', 'Purple Ink/Deep Jungle/Purple Cosmos/Safety Orange', 'Diffused Taupe/Dark Pony/Sanddrift/Picante Red', 'Black/Vivid Sulfur/Track Red/Light Photo Blue', 'Sundial/Safety Orange/Melon Tint']"
53,DX4816-200,5,"['Rugged Orange/Rugged Orange', 'Black/Black', 'Sail/Sail', 'Sesame/Sesame', 'Jade Ice/Jade Ice']"
54,DQ8031-201,15,"['Summit White/Football Grey/Sail/Wolf Grey', 'Sesame/Pale Vanilla/Sail', 'Light Orewood Brown/Phantom/Gum Light Brown/Rush Fuchsia', 'Pink Oxford/White', 'Black/White', 'Sanddrift/Team Gold/Pink Oxford/Earth', 'Light Silver/Ocean Bliss/Pink Oxford/Citron Tint']"
55,FB7154-001,15,"['Black/Pewter/Metallic Gold', 'Guava Ice/Pink Oxford/Pale Ivory/Light Silver', 'Jade Ice/Mineral/Black/White', 'Coral Chalk/Sail/Oxygen Purple/Black', 'White/Light Smoke Grey/Picante Red/Black', 'Desert Berry/Photon Dust/Light Smoke Grey/White']"
56,DM0824-003,15,"['Luminous Green/Sea Glass/Lime Blast/White', 'Pale Ivory/Guava Ice/Light Silver/Pink Oxford', 'White/Red Stardust/Ember Glow', 'Black/Iron Grey/White']"
57,FQ8895-100,15,"['White/Metallic Silver', 'Cedar/Rugged Orange', 'Blue Tint/Light Lemon Twist/Metallic Silver/Fireberry', 'Pink Blast/Black/Clear Jade', 'Pink Spell/Spring Green/Racer Blue/Citron Pulse', 'Fuchsia Dream/Vivid Orange/Baltic Blue/Bright Crimson', 'Hyper Pink/White/Pink Blast/Hyper Pink', 'Guava Ice/Black/Malachite/Rush Orange', 'Black/Anthracite/Black']"
58,FV0952-100,15,"['White/Metallic Silver/Sail/Pure Platinum', 'Summit White/Racer Blue/Safety Orange/White', 'White/Pure Platinum/White', 'Hemp/White/Summit White/Black']"
59,FB8251-100,15,['White/Black/Multi-Color']
60,FJ6041-600,4,"['Black/Anthracite', 'Red Stardust/Adobe', 'Black/White']"
61,560845F-001,4,['Black']
62,560846F-102,3,['White']
63,FD1448-664,4,"['Blue Tint/White/Disco Purple/Polar', 'White/University Red/Wolf Grey/Obsidian', 'Summit White/Opti Yellow/Sail/White', 'Celestine Blue/Arctic Orange/Teal Tint/Off Noir', 'Pearl Pink/White/Pearl Pink/Coral Chalk', 'Summit White/Bright Mandarin/Action Grape/Black']"
64,DC0774-080,11,"['White/White/White', 'White/Galactic Jade', 'Wolf Grey/Black/White/Gym Red', 'Pure Platinum/White/Sky J Orange', 'Black/Black/White', 'Black/Sail/Gym Red']"
65,DH7004-600,4,"['Brilliant Orange/White/Black', 'White/Sanddrift/Oil Green/Baltic Blue', 'Lucky Green/White/White Onyx/Black', 'Metallic Silver/White/White Onyx/Black', 'Dark Grey/Sail/Varsity Red', 'French Blue/Neutral Grey/Sail/Sport Blue', 'White/Sail/Midnight Navy', 'Black/White/Hyper Royal', 'Cement Grey/White/Varsity Maize', 'White/White/Neutral Grey', 'Stealth/Titanium', 'Sail/Coconut Milk', 'Black/White/Gym Red', 'White/Sail/Dark Beetroot', 'Iced Lilac/Sail/Black', 'Atmosphere/White/Guava Ice/Light Steel Grey']"
66,BQ6472-414,3,"['Black/Black/White', 'Sky J Teal/White/Sky J French Blue', 'White/Gym Red/Sail/French Blue', 'Black/Sail/Altitude Green', 'Sail/Desert/Black', 'Lemon Wash/White/Lapis', 'Sky J French Blue/Sail/Ozone Blue', 'Pure Platinum/Sail/Sky J Mauve', 'Black/Aquatone/Sail/Lucky Green', 'Black/College Grey/Sail/Gym Red']"
67,DD1503-118,13,"['White/White/Medium Olive', 'White/Rose Whisper']"
68,DN3253-061,2,"['Red Stardust/White/Black', 'Sky J French Blue/White/Light Steel Grey', 'Titanium/Sail/Dark Smoke Grey', 'Celestial Gold/White/Sail/Muslin', 'Black/White/Sail/Atmosphere', 'Dark Ash/Sail/Hyper Royal', 'Summit White/Coconut Milk/Varsity Red']"
69,CW6536-600,10,"['White/Black/Sea Coral', 'Cream II/Saturn Gold/White/Cream II', 'White/Light Dew', 'Rust Pink/Canyon Rust/White/Rust Pink']"
70,511417-136,15,"['White/New Green/Bright Mango/Black', 'Dark Plum/Court Purple/Black/Metallic Silver', 'White/Pure Platinum/Wolf Grey/Fireberry', 'White/Wolf Grey/Stealth/Obsidian']"
71,DV0426-200,5,"['Sky J Orange/Sail', 'Celestial Gold/Sail/Muslin', 'Sport Spice/Coconut Milk/Black']"
