,count_of_sizes,colors,product_code,quality,n_reviews,star_rating
61,18,"['PUMA White-PUMA Black', 'PUMA Black-PUMA White', 'Warm White-Yellow Burst-Parakeet Green']",390932_02,,0,0.0
62,12,"['PUMA White-PUMA Black', 'PUMA White-PUMA White-PUMA Gold']",393802_01,,6,4.5
63,12,"['PUMA Black-PUMA White', 'Fire Orchid-PUMA Black-PUMA Silver']",377758_01,100.0,16,4.5
64,13,"['Silver Sky-PUMA Black-Fire Orchid', 'Alpine Snow-Asphalt-Yellow Blaze']",107565_03,,0,0.0
65,12,"['PUMA White-Vapor Gray-Gum', 'PUMA Black-Feather Gray-Gum']",397647_03,90.9,18,4.4
66,12,"['PUMA Black-Fire Orchid', 'Fire Orchid-PUMA Black-Icy Blue', 'Poison Pink-PUMA Black-PUMA White']",376855_17,88.9,9,4.2
67,12,"['Puma White', 'Puma Black']",384209_02,66.7,30,3.9
68,13,"['PUMA White-PUMA Black-Fire Orchid', 'Ultra Blue-PUMA White-Pro Green']",107507_03,0.0,2,3.0
69,5,"['PUMA Black', 'Frosted Ivory']",389454_05,90.0,14,4.2
70,19,['Chocolate Chip-Flaxen'],393449_02,,0,0.0
71,13,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']",396463_07,66.7,4,4.3
72,12,"['PUMA Black-Koral Ice-Speed Green-PUMA Silver', 'Koral Ice-Speed Green']",378482_02,,1,5.0
73,19,['Sedate Gray-Pinktastic'],393078_01,0.0,1,4.0
74,12,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']",377746_05,100.0,1,3.0
75,12,"['PUMA White-Cherry Tomato', 'Cherry Tomato-PUMA Black']",309758_01,,0,0.0
76,12,['PUMA White-Frosty Pink'],395461_11,100.0,7,5.0
77,12,['PUMA Black-PUMA White-Dark Coal'],378823_01,100.0,1,5.0
78,17,['Persian Blue-Orange Brick'],393326_01,25.0,4,3.0
79,12,"['PUMA White-PUMA Black', 'PUMA Black-PUMA White', 'Warm White-Yellow Burst-Parakeet Green']",390932_01,,0,0.0
80,19,"['PUMA Black-Warm White', 'Rosso Corsa-Warm White']",307826_02,,0,0.0
81,19,"['PUMA Black-Warm White', 'Rosso Corsa-Warm White']",307826_01,,0,0.0
82,12,"['PUMA Black-PUMA White', 'PUMA White-Speed Green', 'PUMA Black-Bold Blue-Future Pink']",378688_02,,0,0.0
83,14,['PUMA Black-Koral Ice-Speed Green'],378906_01,,1,5.0
84,16,['Sedate Gray-Sedate Gray'],393314_02,100.0,1,3.0
85,12,"['PUMA Black-Koral Ice-Speed Green-PUMA Silver', 'Koral Ice-Speed Green']",378482_01,,1,5.0
86,12,"['PUMA Black-PUMA Silver', 'PUMA Black-Peach Smoothie-Speed Green', 'Fire Orchid-Ultra Blue']",378456_03,,0,0.0
87,12,"['PUMA White-Cherry Tomato', 'Cherry Tomato-PUMA Black']",309758_02,,0,0.0
88,12,['PUMA Black-Intense Lavender'],394508_03,,0,0.0
89,9,['Pristine-Prairie Tan'],396449_01,80.0,7,4.6
90,12,"['PUMA Black-PUMA White', 'PUMA White-Speed Green', 'PUMA Black-Bold Blue-Future Pink']",378688_03,,0,0.0
91,12,['PUMA White-Warm White'],394749_01,,0,0.0
92,0,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']",396463_01,66.7,4,4.3
93,12,"['PUMA Black', 'Chocolate']",394786_04,,0,0.0
94,11,"['Vibrant Red', 'Dusty Tan']",378437_02,,0,0.0
95,12,"['Vibrant Red', 'Dusty Tan']",378437_01,,0,0.0
96,0,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']",396463_09,66.7,4,4.3
97,12,"['Frosted Ivory-PUMA White', 'PUMA White-Icy Blue-Warm White']",393764_03,,1,4.0
98,11,"['Icy Blue-Ultra Blue', 'Ash Gray-PUMA White-Yellow Burst-Vivid Violet']",377540_05,100.0,2,5.0
99,12,"['Frosted Ivory-PUMA White', 'PUMA White-Icy Blue-Warm White']",393764_02,,1,4.0
100,12,['PUMA Black-Strawberry Burst-Yellow Blaze'],378454_01,100.0,1,5.0
101,12,"['Puma Black-Metallic Gold', 'PUMA White-Fire Orchid-PUMA Black', 'PUMA Black-Icy Blue-Speed Green']",376169_10,80.0,6,4.5
102,12,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']",377746_01,100.0,1,3.0
103,19,['Ultra Orange-PUMA Black'],378096_02,0.0,2,3.5
104,12,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']",377746_03,100.0,1,3.0
105,13,['Persian Blue-PUMA White-Pro Green'],107356_03,12.5,8,1.6
106,11,['Warm White-Bright Melon'],379114_01,0.0,1,2.0
107,12,['PUMA Black-Cool Dark Gray-PUMA Silver'],378791_01,,0,0.0
108,12,"['Icy Blue-PUMA Silver-Regal Blue', 'Fire Orchid-PUMA Silver-Icy Blue']",377316_07,50.0,4,4.0
109,12,['PUMA Black-Fire Orchid'],377063_04,,0,0.0
110,12,"['PUMA Black-Platinum Gray', 'Ash Gray-Alpine Snow-Koral Ice', 'Dark Jasper-PUMA Black-Fire Orchid']",377855_01,100.0,3,5.0
111,12,['Astro Red-Fire Orchid-PUMA Black'],377839_02,,0,0.0
112,12,"['PUMA Black-PUMA Silver', 'PUMA Black-Peach Smoothie-Speed Green', 'Fire Orchid-Ultra Blue']",378456_05,,0,0.0
113,12,"['Icy Blue-PUMA Silver-Regal Blue', 'Fire Orchid-PUMA Silver-Icy Blue']",377316_09,50.0,4,4.0
114,12,['PUMA Black-Purple Pop-Yellow Burst'],377508_04,100.0,1,5.0
115,12,['PUMA Black-Strawberry Burst-Yellow Blaze'],378684_01,100.0,3,3.0
116,12,['Pink Delight-PUMA Green-Gum'],397858_01,90.0,21,4.8
117,0,['Eucalyptus-PUMA White: out of stock'],396383_02,,0,0.0
118,12,"['PUMA Black-Platinum Gray', 'Ash Gray-Alpine Snow-Koral Ice', 'Dark Jasper-PUMA Black-Fire Orchid']",377855_06,100.0,3,5.0
119,12,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']",396463_05,66.7,4,4.3
120,12,['PUMA Black'],379288_01,,0,0.0
121,12,"['PUMA White-PUMA Black', 'PUMA Black-PUMA White', 'Warm White-Yellow Burst-Parakeet Green']",390932_09,,0,0.0
122,11,['PUMA Black-Cool Cobalt-Pop Red'],307761_01,,1,5.0
123,12,"['Ash Gray-PUMA Black-Koral Ice', 'Neon Sun-Alpine Snow-PUMA Black']",307685_04,0.0,1,4.0
124,12,"['Ash Gray-PUMA Black-Koral Ice', 'Neon Sun-Alpine Snow-PUMA Black']",307685_03,,1,4.0
125,13,['PUMA Black-Cool Dark Gray'],377942_01,,1,5.0
126,13,"['Fire Orchid-Ultra Blue-PUMA White', 'PUMA White-Fire Orchid-Ultra Blue-PUMA Black']",377787_03,100.0,3,5.0
127,0,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']",377746_07,,1,3.0
128,0,['Pure Green-Green Illusion: out of stock'],395997_01,,0,0.0
129,12,['Koral Ice-Cool Mid Gray-PUMA Black'],378551_04,,0,0.0
130,14,['Ghost Pepper-PUMA Black-Pink Glimmer'],379115_01,100.0,1,5.0
131,11,['Dusty Tan'],378435_02,,0,0.0
132,11,['Fire Orchid-Ultra Blue-PUMA White'],376592_05,0.0,1,2.0
133,12,"['PUMA Black-Platinum Gray', 'Ash Gray-Alpine Snow-Koral Ice', 'Dark Jasper-PUMA Black-Fire Orchid']",377855_08,100.0,3,5.0
134,14,"['PUMA Black-PUMA White', 'PUMA White-Speed Green', 'PUMA Black-Bold Blue-Future Pink']",378688_01,,0,0.0
135,9,"['PUMA White-Vapor Gray-Gum', 'PUMA Black-Feather Gray-Gum']",397647_01,90.9,18,4.4
136,12,['Yellow Burst-Racing Blue-Pink Glimmer'],379040_01,100.0,4,4.8
137,13,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']",396463_02,66.7,4,4.3
138,13,"['PUMA Black-Fire Orchid', 'Fire Orchid-PUMA Black-Icy Blue', 'Poison Pink-PUMA Black-PUMA White']",376855_25,88.9,9,4.2
139,12,['Puma Black'],383157_02,86.7,15,4.4
140,13,"['Fire Orchid-Ultra Blue-PUMA White', 'PUMA White-Fire Orchid-Ultra Blue-PUMA Black']",377787_02,100.0,3,5.0
141,14,"['Puma Black-Metallic Gold', 'PUMA White-Fire Orchid-PUMA Black', 'PUMA Black-Icy Blue-Speed Green']",376169_01,,6,4.5
142,9,"['For All Time Red-Ultra Blue', 'PUMA White-Fire Orchid']",376311_04,33.3,3,3.7
143,12,['Adriatic-PUMA Black-Ravish'],376946_08,,1,5.0
144,23,"['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']",379082_05,,0,0.0
145,23,"['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']",379082_04,,0,0.0
146,9,"['For All Time Red-Ultra Blue', 'PUMA White-Fire Orchid']",376311_05,33.3,3,3.7
147,23,"['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']",379082_03,,0,0.0
148,23,"['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']",379082_02,,0,0.0
149,22,"['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']",379082_01,,0,0.0
150,23,"['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']",379082_06,,0,0.0
151,12,['Warm White-Toasted Almond-Cashew'],396444_01,100.0,1,5.0
152,12,['Bright Melon-Frosted Ivory'],393084_01,,0,0.0
153,10,"['Fresh Mint-Fast Pink', 'Cobalt Glaze-PUMA White']",397643_07,100.0,2,5.0
154,19,['Frosted Ivory-Pebble'],379181_01,100.0,2,5.0
155,10,['Koral Ice-Speed Green'],378469_01,50.0,3,3.7
156,20,['Electric Peppermint-PUMA Gold'],310565_01,,0,0.0
157,19,['Vine-Frosted Ivory'],394175_01,,0,0.0
