,product_code,n_reviews,quality,star_rating,size,comfort
178,393343_01,5,80.0,4.0,,
179,393201_02,1,100.0,5.0,,
180,389876_02,4,,5.0,,
181,387150_01,1,,4.0,,
182,393987_01,0,,0.0,,
183,107507_01,2,0.0,3.0,,
184,107262_02,0,,0.0,,
185,389844_01,5,100.0,4.4,,
186,394885_01,0,,0.0,,
187,395480_01,1,100.0,5.0,,
188,386270_15,5,,4.2,,
189,107565_01,0,,0.0,,
190,389082_02,12,72.7,3.5,,
191,395119_01,0,,0.0,,
192,389853_04,1,,1.0,,
193,393752_01,1,100.0,5.0,,
194,394009_01,1,100.0,5.0,,
195,389894_02,0,,0.0,,
196,393752_02,1,100.0,5.0,,
197,392884_02,40,71.9,3.9,,
198,386270_09,5,75.0,4.2,,
199,391096_02,1,,3.0,,
200,391098_07,1,100.0,5.0,,
201,393032_01,1,,5.0,,
202,307874_01,1,0.0,1.0,,
203,391013_01,2,0.0,3.5,,
204,391086_01,4,33.3,4.3,,
205,393777_01,0,,0.0,,
206,393032_02,1,,5.0,,
207,391013_02,2,0.0,3.5,,
208,393193_01,0,,0.0,,
209,391098_01,1,100.0,5.0,,
210,389893_01,0,,0.0,,
211,387289_01,2,0.0,4.0,,
212,396115_01,4,75.0,4.0,,
213,381410_73,160,82.3,4.2,,
214,383380_06,17,,4.6,,
215,384412_02,2,100.0,5.0,,
216,391226_01,0,,0.0,,
217,107329_01,0,,0.0,,
218,387157_01,4,50.0,3.5,,
219,386270_14,5,75.0,4.2,,
220,391570_01,3,100.0,4.7,,
221,393402_03,0,,0.0,,
222,389161_01,1,100.0,5.0,,
223,396113_01,7,100.0,4.9,,
224,386270_02,5,75.0,4.2,,
225,384433_02,2,,3.5,,
226,393077_01,2,0.0,4.0,,
227,389585_01,4,,5.0,,
228,393340_01,9,,5.0,,
229,106898_01,0,,0.0,,
230,393049_01,1,100.0,5.0,,
231,377046_09,8,62.5,3.4,,
232,385517_02,13,,4.5,,
233,107093_02,2,0.0,1.0,,
234,374915_01,421,80.8,4.2,,
235,379303_01,1,0.0,5.0,,
236,378916_01,72,71.2,4.2,,
237,374915_04,421,80.8,4.2,,
238,374915_12,421,80.8,4.2,,
239,374915_07,421,80.8,4.2,,
240,374915_02,421,80.8,4.2,,
241,374915_06,421,80.8,4.2,,
242,379235_01,7,42.9,3.0,,
243,379233_01,26,80.0,4.0,,
244,379601_01,1,,5.0,,
245,376941_04,37,78.1,4.1,,
246,374915_05,421,80.8,4.2,,
247,379601_03,1,,5.0,,
248,376807_01,28,81.5,4.3,,
249,387272_05,64,93.0,4.7,,
250,396403_01,2,100.0,5.0,,
251,366408_01,36,73.5,4.1,,
252,392787_07,3,100.0,3.7,,
253,379223_01,10,55.6,4.9,,
254,395542_01,0,,0.0,,
255,307936_02,16,92.9,4.8,,
256,374923_02,42,69.2,3.9,,
257,374923_01,42,69.2,3.9,,
258,392787_04,3,100.0,3.7,,
259,374915_03,421,80.8,4.2,,
260,379330_01,0,,0.0,,
261,381174_01,13,81.8,4.3,,
262,374915_89,421,80.8,4.2,,
263,380190_01,55,82.0,4.1,,
264,381174_02,13,81.8,4.3,,
265,387272_04,64,93.0,4.7,,
266,394873_01,1,0.0,4.0,,
267,393152_01,2,100.0,5.0,,
268,392718_01,1,,4.0,,
269,393260_01,0,,0.0,,
270,378453_01,1,100.0,5.0,,
271,387286_01,1,0.0,5.0,,
272,374923_03,42,69.2,3.9,,
273,307936_01,16,92.9,4.8,,
274,379601_02,1,,5.0,,
275,376151_19,18,78.6,4.2,,
276,307211_07,19,88.2,4.3,,
277,307997_01,0,,0.0,,
278,376941_12,37,78.1,4.1,,
279,366408_02,36,73.5,4.1,,
280,397418_01,0,,0.0,,
281,376151_04,18,78.6,4.2,,
282,307999_01,0,,0.0,,
283,307648_04,9,85.7,5.0,,
284,386759_01,7,42.9,3.3,,
285,364669_02,47,80.0,4.2,,
286,393747_01,2,50.0,5.0,,
287,384139_02,4,100.0,5.0,,
288,393473_18,0,,0.0,,
289,380017_01,1,100.0,5.0,,
290,379908_07,0,,0.0,,
291,393490_04,2,100.0,4.5,,
292,397116_01,1,0.0,3.0,,
293,307822_01,4,66.7,4.0,,
294,398352_02,4,100.0,5.0,,
295,307817_01,0,,0.0,,
296,396704_02,0,,0.0,,
297,393473_17,0,,0.0,,
298,107563_01,9,88.9,4.4,,
299,107311_02,7,33.3,3.1,,
300,364669_01,47,80.0,4.2,,
301,307784_02,0,,0.0,,
302,377858_06,5,60.0,3.6,,
303,380017_02,1,100.0,5.0,,
304,379139_03,2,,3.0,,
305,376151_01,18,78.6,4.2,,
306,389267_10,2,100.0,3.5,,
307,393747_02,2,50.0,5.0,,
308,398352_01,4,100.0,5.0,,
309,394687_01,0,,0.0,,
310,394057_01,0,,0.0,,
311,377757_11,32,77.4,4.3,,
312,393490_03,2,100.0,4.5,,
313,379139_01,2,,3.0,,
314,195336_08,0,,0.0,,
315,307751_02,0,,0.0,,
316,307986_01,0,,0.0,,
317,377745_03,1,100.0,5.0,,
318,307789_01,1,100.0,5.0,,
319,307751_01,0,,0.0,,
320,393286_01,1,0.0,4.0,,
321,377745_01,1,100.0,5.0,,
322,389267_17,2,100.0,3.5,,
323,393301_02,0,,0.0,,
324,376151_13,18,78.6,4.2,,
325,379886_01,0,,0.0,,
326,377745_04,1,100.0,5.0,,
327,377757_01,32,77.4,4.3,,
328,307822_02,4,66.7,4.0,,
329,390932_02,1,,5.0,,
330,392982_01,2,100.0,5.0,,
331,379068_04,1,100.0,5.0,,
332,393151_01,0,,0.0,,
333,392721_01,0,,0.0,,
334,395121_01,1,100.0,5.0,,
335,307920_02,4,75.0,5.0,,
336,384139_04,4,100.0,5.0,,
337,392862_01,1,0.0,5.0,,
338,307847_01,0,,0.0,,
339,307998_01,0,,0.0,,
340,376151_02,18,78.6,4.2,,
341,393306_02,0,,0.0,,
342,393449_02,0,,0.0,,
343,378472_01,0,,0.0,,
344,378457_01,0,,0.0,,
345,378687_02,3,66.7,5.0,,
346,195336_09,0,,0.0,,
347,307791_01,0,,0.0,,
348,393306_01,0,,0.0,,
349,393078_01,1,0.0,4.0,,
350,386759_10,7,42.9,3.3,,
351,392718_04,1,0.0,4.0,,
352,393115_02,1,,5.0,,
353,376151_22,18,78.6,4.2,,
354,394798_01,0,,0.0,,
355,390932_01,1,,5.0,,
356,395773_02,0,,0.0,,
357,378541_02,2,100.0,3.0,,
358,378434_02,1,,2.0,,
359,307826_02,0,,0.0,,
360,307684_01,0,,0.0,,
361,107553_01,0,,0.0,,
362,378474_01,1,100.0,5.0,,
363,307826_01,0,,0.0,,
364,393114_01,0,,0.0,,
365,389267_19,2,100.0,3.5,,
366,377757_15,32,77.4,4.3,,
367,379079_05,7,57.1,4.6,,
368,393152_02,2,100.0,5.0,,
369,389365_06,0,,0.0,,
370,378734_02,0,,0.0,,
371,107473_01,0,,0.0,,
372,395737_02,0,,0.0,,
373,393277_02,0,,0.0,,
374,386329_06,5,75.0,4.6,,
375,393136_01,0,,0.0,,
376,377745_05,1,100.0,5.0,,
377,393115_02,1,,5.0,,
378,379079_03,7,57.1,4.6,,
379,396127_01,0,,0.0,,
380,307756_01,0,,0.0,,
381,379291_01,1,0.0,3.0,,
382,389365_05,0,,0.0,,
383,378455_07,2,50.0,3.0,,
384,393941_01,0,,0.0,,
385,394799_03,0,,0.0,,
386,307771_01,1,100.0,5.0,,
387,107474_01,0,,0.0,,
388,307684_04,0,,0.0,,
389,378687_06,3,66.7,5.0,,
390,377757_13,32,77.4,4.3,,
391,396463_01,4,66.7,4.3,,
392,378459_01,0,,0.0,,
393,396463_09,4,66.7,4.3,,
394,397263_02,0,,0.0,,
395,377757_19,32,77.4,4.3,,
396,394799_02,0,,0.0,,
397,397263_01,0,,0.0,,
398,377757_18,32,77.4,4.3,,
399,376807_19,28,81.5,4.3,,
400,376807_20,28,81.5,4.3,,
401,308181_01,0,,0.0,,
402,392086_01,0,,0.0,,
403,377745_06,1,100.0,5.0,,
404,308271_01,1,,3.0,,
405,195337_19,44,79.5,4.4,,
406,376151_17,18,78.6,4.2,,
407,385754_01,2,100.0,4.5,,
408,396463_07,4,66.7,4.3,,
409,379286_01,0,,0.0,,
410,394684_01,0,,0.0,,
411,393314_02,1,100.0,3.0,,
412,377315_07,10,87.5,4.0,,
413,392085_01,3,66.7,3.7,,
414,379557_01,0,,0.0,,
415,107311_03,7,33.3,3.1,,
416,378096_02,2,0.0,3.5,,
417,396403_02,2,100.0,5.0,,
418,390932_09,1,,5.0,,
419,107293_01,1,100.0,5.0,,
420,393941_02,0,,0.0,,
421,393326_01,4,25.0,3.0,,
422,395281_01,0,,0.0,,
423,395033_01,1,0.0,5.0,,
424,107566_03,2,50.0,4.5,,
425,107340_02,1,0.0,3.0,,
426,384139_01,4,100.0,5.0,,
427,107563_05,9,88.9,4.4,,
428,307954_01,0,,0.0,,
429,107563_04,9,88.9,4.4,,
430,107422_03,2,100.0,3.0,,
431,376591_08,2,100.0,4.5,,
432,393196_01,0,,0.0,,
433,378222_03,2,50.0,3.0,,
434,396464_01,9,75.0,3.9,,
435,396403_03,2,100.0,5.0,,
436,307920_01,4,75.0,5.0,,
437,378550_05,0,,0.0,,
438,378436_02,1,,5.0,,
439,396464_03,9,75.0,3.9,,
440,195337_16,44,79.5,4.4,,
441,107374_03,1,100.0,5.0,,
442,107296_04,11,55.6,3.7,,
443,396463_02,4,66.7,4.3,,
444,107311_04,7,33.3,3.1,,
445,396463_05,4,66.7,4.3,,
446,107355_03,20,26.3,1.9,,
447,380007_01,3,,4.7,,
448,307996_01,0,,0.0,,
449,393157_01,0,,0.0,,
450,308277_01,0,,0.0,,
451,378687_01,3,66.7,5.0,,
452,380190_02,55,82.0,4.1,,
453,107361_04,5,33.3,4.4,,
454,379081_04,2,50.0,3.5,,
455,107610_01,2,100.0,5.0,,
456,394223_01,1,0.0,1.0,,
457,307940_01,1,,5.0,,
458,107355_04,20,,1.9,,
459,378465_01,1,100.0,5.0,,
460,377507_04,1,100.0,2.0,,
461,380007_02,3,,4.7,,
462,395032_01,3,50.0,3.0,,
463,393167_02,6,100.0,4.3,,
464,393084_01,0,,0.0,,
465,107540_01,0,,0.0,,
466,378683_01,0,,0.0,,
467,379081_03,2,50.0,3.5,,
468,107521_03,2,50.0,2.5,,
469,107296_01,11,55.6,3.7,,
470,107539_01,0,,0.0,,
471,107522_03,1,,3.0,,
472,378734_01,0,,0.0,,
473,107566_02,2,50.0,4.5,,
474,107296_03,11,55.6,3.7,,
475,394684_02,0,,0.0,,
476,107296_02,11,55.6,3.7,,
477,394223_04,1,0.0,1.0,,
478,377001_01,1,,5.0,,
479,379113_01,0,,0.0,,
480,376151_15,18,78.6,4.2,,
481,107609_01,0,,0.0,,
482,107361_03,5,33.3,4.4,,
483,107375_03,3,50.0,3.7,,
484,391962_06,4,50.0,4.3,,
485,379652_01,4,75.0,4.0,,
486,378580_01,8,,4.6,,
487,385296_02,20,80.0,4.2,,
488,385296_03,20,80.0,4.2,,
489,386600_01,4,50.0,5.0,,
490,107311_01,7,33.3,3.1,,
491,397572_01,2,,4.5,,
492,391610_01,10,100.0,4.5,,
493,394981_02,16,81.8,4.3,,
494,397112_01,1,100.0,5.0,,
495,391610_02,10,100.0,4.5,,
496,397112_02,1,100.0,5.0,,
497,390717_01,5,60.0,3.4,,
498,392435_01,0,,0.0,,
499,396672_01,0,,0.0,,
500,382112_01,21,95.2,4.8,,
501,366608_07,57,,3.4,,
502,307891_01,8,80.0,4.6,,
503,392982_04,2,100.0,5.0,,
504,392982_05,2,100.0,5.0,,
505,307891_02,8,80.0,4.6,,
506,307778_03,10,85.7,4.3,,
507,386759_03,7,42.9,3.3,,
508,379087_01,1,,4.0,,
509,377044_07,8,62.5,3.6,,
510,307959_01,0,,0.0,,
511,393116_01,5,66.7,3.4,,
512,396106_01,2,50.0,4.0,,
513,377827_01,2,100.0,4.0,,
514,390717_04,5,60.0,3.4,,
515,392724_01,2,100.0,5.0,,
516,376582_32,23,23.8,2.0,,
517,392983_02,0,,0.0,,
518,392724_04,2,100.0,5.0,,
519,307959_02,0,,0.0,,
520,396087_01,0,,0.0,,
521,394628_01,0,,0.0,,
522,307649_01,1,100.0,5.0,,
523,307758_01,0,,0.0,,
524,390196_01,0,,0.0,,
525,394981_01,16,81.8,4.3,,
526,376999_01,1,100.0,5.0,,
527,394491_01,2,100.0,4.5,,
528,392434_01,1,,1.0,,
529,394885_01,0,,0.0,,
530,379096_01,1,100.0,5.0,,
531,396075_01,9,100.0,4.8,,
532,389160_01,2,100.0,4.5,,
533,394018_01,1,100.0,5.0,,
534,387499_01,4,,3.8,,
535,392724_05,2,100.0,5.0,,
536,393646_02,0,,0.0,,
537,377959_03,0,,0.0,,
538,376582_31,23,23.8,2.0,,
539,396138_01,0,,0.0,,
540,392724_07,2,100.0,5.0,,
541,377854_05,5,100.0,5.0,,
542,394933_09,0,,0.0,,
543,307859_01,1,,1.0,,
544,387654_01,7,100.0,4.6,,
545,307571_01,4,100.0,4.5,,
546,393752_01,1,100.0,5.0,,
547,378986_02,0,,0.0,,
548,386759_02,7,42.9,3.3,,
549,393390_01,6,,4.2,,
550,307475_02,0,,0.0,,
551,394933_01,0,,0.0,,
552,378052_05,13,91.7,4.8,,
553,107566_01,2,50.0,4.5,,
554,393231_04,0,,0.0,,
555,377007_01,2,100.0,5.0,,
556,394544_01,2,100.0,3.5,,
557,392865_02,0,,0.0,,
558,377962_03,0,,0.0,,
559,377000_02,1,100.0,5.0,,
560,379137_01,1,,5.0,,
561,307506_01,1,,4.0,,
562,393752_02,1,100.0,5.0,,
563,393813_02,1,100.0,5.0,,
564,307759_01,0,,0.0,,
565,394635_01,1,100.0,5.0,,
566,307760_02,0,,0.0,,
567,390972_01,3,66.7,4.0,,
568,379013_07,0,,0.0,,
569,388640_02,6,80.0,3.8,,
570,377961_01,1,,4.0,,
571,377005_01,0,,0.0,,
572,307897_01,0,,0.0,,
573,374862_02,14,100.0,4.8,,
574,379013_06,0,,0.0,,
575,392724_03,2,100.0,5.0,,
576,378278_01,4,100.0,4.8,,
577,377379_01,0,,0.0,,
578,374862_09,14,100.0,4.8,,
579,307897_02,0,,0.0,,
580,393266_02,3,66.7,4.7,,
581,387998_12,4,100.0,5.0,,
582,393813_01,1,100.0,5.0,,
583,390129_01,1,,4.0,,
584,394552_01,6,100.0,5.0,,
585,392435_02,0,,0.0,,
586,387327_06,1,100.0,5.0,,
587,194478_04,0,,0.0,,
588,374862_10,14,100.0,4.8,,
589,393176_03,0,,0.0,,
590,194475_02,1,0.0,1.0,,
591,393161_01,7,83.3,4.3,,
592,393647_01,0,,0.0,,
593,387327_07,1,100.0,5.0,,
594,307780_01,0,,0.0,,
595,390127_01,3,33.3,2.3,,
596,376615_01,6,50.0,3.2,,
597,388549_01,15,86.7,4.5,,
598,307576_02,0,,0.0,,
599,307913_01,1,0.0,5.0,,
600,376922_01,3,33.3,3.0,,
601,106879_04,4,75.0,4.3,,
602,388557_02,0,,0.0,,
603,194095_09,95,70.4,3.9,,
604,107521_01,2,50.0,2.5,,
605,394017_01,0,,0.0,,
606,107522_01,1,,3.0,,
607,388920_06,2,100.0,5.0,,
608,307462_05,4,100.0,5.0,,
609,307322_01,3,100.0,4.7,,
610,390052_02,0,,0.0,,
611,392725_07,14,100.0,4.8,,
612,353572_04,188,80.4,4.1,,
613,353572_11,188,80.4,4.1,,
614,353572_12,188,80.4,4.1,,
615,307171_01,77,91.9,4.4,,
616,307171_07,77,91.9,4.4,,
617,307171_05,77,91.9,4.4,,
618,353572_17,188,80.4,4.1,,
619,380205_03,31,70.4,4.4,,
620,307171_04,77,91.9,4.4,,
621,380205_01,31,70.4,4.4,,
622,307171_06,77,91.9,4.4,,
623,380205_02,31,70.4,4.4,,
624,380205_16,31,70.4,4.4,,
625,396057_01,0,,0.0,,
626,379098_01,0,,0.0,,
627,393199_01,0,,0.0,,
