,count_of_sizes,colors,product_code,reviews,quality
0,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['Puma Black-Harbor Mist-Cherry Tomato', 'Cherry Tomato-Puma Black', 'Puma Black-CASTLEROCK', 'PUMA Black-Cayenne-Wood Violet', 'PUMA White-Platinum Gray-Dark Night', 'PUMA Black-Gray Tile-Fast Yellow', 'PUMA Black', 'Myrtle-PUMA Black-Yellow Burst']",['Style: 376151_19'],['Reviews (18)Average: 4.2 / 5Write A ReviewRead All ReviewsRead All'],['78.6']
1,"['4', '4.5', '5', '5.5', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']",['Sand Dune-Bold Blue-PUMA White'],['Style: 307211_07'],['Reviews (19)Average: 4.3 / 5Write A ReviewRead All ReviewsRead All'],['88.2']
2,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",['Rosso Corsa-PUMA Black'],['Style: 307997_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
3,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12']","['Puma White-Silver', 'PUMA Black-PUMA Black']",['Style: 376941_12'],['Reviews (37)Average: 4.1 / 5Write A ReviewRead All ReviewsRead All'],['78.1']
4,"['4', '4.5', '5', '5.5', '6', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['Puma White-Puma Team Gold', 'Puma Black-Puma Team Gold']",['Style: 366408_02'],['Reviews (36)Average: 4.1 / 5Write A ReviewRead All ReviewsRead All'],['73.5']
5,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']",['PUMA White-PUMA Navy-PUMA Silver'],['Style: 397418_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
6,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['Puma Black-Harbor Mist-Cherry Tomato', 'Cherry Tomato-Puma Black', 'Puma Black-CASTLEROCK', 'PUMA Black-Cayenne-Wood Violet', 'PUMA White-Platinum Gray-Dark Night', 'PUMA Black-Gray Tile-Fast Yellow', 'PUMA Black', 'Myrtle-PUMA Black-Yellow Burst']",['Style: 376151_04'],['Reviews (18)Average: 4.2 / 5Write A ReviewRead All ReviewsRead All'],['78.6']
7,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']",['PUMA White-PUMA Black'],['Style: 307999_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
8,"['4', '4.5', '5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13']",['PUMA Black-Dusty Green-Neon Sun'],['Style: 307648_04'],['Reviews (9)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['85.7']
9,"['4', '4.5', '5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['Puma White-Puma Team Gold', 'Puma White-Puma Black', 'Puma Black-Puma White', 'PUMA White-Malachite']",['Style: 386759_01'],['Reviews (7)Average: 3.3 / 5Write A ReviewRead All ReviewsRead All'],['42.9']
10,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['Puma White-Puma Black-Puma Team Gold', 'Puma White-Puma New Navy-Puma Team Gold']",['Style: 364669_02'],['Reviews (47)Average: 4.2 / 5Write A ReviewRead All ReviewsRead All'],['80.0']
11,"['4', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['Alpine Snow-Warm White', 'Icy Blue-Warm White']",['Style: 393747_01'],['Reviews (2)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['50.0']
12,"['4', '5', '6', '7', '8', '9', '10', '11', '12', '13']","['Puma Black-Puma White', 'Puma White-Puma Black', 'Peacoat-Puma White']",['Style: 384139_02'],['Reviews (4)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
13,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['Cobalt Glaze-Pelé Yellow', 'Pink Delight-PUMA Green']",['Style: 393473_18'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
14,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13']","['PUMA White-PUMA Silver-Cherry Tomato', 'Cherry Tomato-PUMA Black']",['Style: 380017_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
15,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14', '15', '16']",['Passionfruit-PUMA Green-Peach Fizz'],['Style: 379908_07'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
16,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['Alpine Snow-Chocolate Chip-Puma Team Gold', 'Granola-PUMA Black-Puma Team Gold']",['Style: 393490_04'],['Reviews (2)Average: 4.5 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
17,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '13.5', '14']",['PUMA White-PUMA Black-Vapor Gray'],['Style: 397116_01'],['Reviews (1)Average: 3.0 / 5Write A ReviewRead All ReviewsRead All'],['0.0']
18,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['PUMA Black-PUMA White', 'Rosso Corsa-PUMA White']",['Style: 307822_01'],['Reviews (4)Average: 4.0 / 5Write A ReviewRead All ReviewsRead All'],['66.7']
19,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['Club Navy', 'Dark Myrtle']",['Style: 398352_02'],['Reviews (4)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
20,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']",['Rosso Corsa-Frosted Ivory'],['Style: 307817_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
21,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']",['Sedate Gray-PUMA White'],['Style: 396704_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
22,"['4', '4.5', '5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['Cobalt Glaze-Pelé Yellow', 'Pink Delight-PUMA Green']",['Style: 393473_17'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
