,count_of_sizes,colors,color,product_code
63,['40'],"['RED_NAVY', 'AQUA_GREY', 'LGREY_RBLUE', 'OLIVE_BLACK']",['RED/NAVY'],['FGC0Y9032772A']
64,"['43', '44']","['GREY', 'BLACK']",['GREY'],['FGC0Y9039172A']
65,[],"['OLIVE', 'NAVY', 'GREY']",['OLIVE'],['FGC0Z7039792A']
66,['40'],"['WHITE', 'NAVY', 'GREY']",['WHITE'],['FGC0Z7041622A']
67,"['42', '44']","['LKHAKI', 'BLACK']",['LKHAKI'],['FGC0260U2742A']
68,[],"['OLIVE_BLACK', 'GREY_BLUE', 'DGREY_MAROON']",['OLIVE/BLACK'],['FGC0Y9032092A']
69,['45'],"['NAVY_WHITE', 'DGREY_APPLE_GREEN', 'BLACK_RED']",['NAVY/WHITE'],['FGC0Y9040952A']
70,"['44', '45']","['GREY', 'NAVY']",['GREY'],['FGC0DY0T7782A']
71,[],"['GREY', 'BLACK']",['GREY'],['FGC0510R2052A']
72,[],"['BLACK', 'GREY']",['BLACK'],['FGC0Y9037612A']
73,[],"['NAVY', 'GREY']",['NAVY'],['FGC0Z7041562A']
74,"['44', '45']",['GREY_GREEN'],['GREY/GREEN'],['FGC0EM0S0162A']
75,[],"['WHITE', 'GREY']",['WHITE'],['FGC0Z7040102A']
76,['44'],['TAUPE'],['TAUPE'],['FGC0150S0122A']
77,['44'],['BROWN'],['BROWN'],['FGC0DY0S0082A']
78,[],"['PARIS_KHAKI', 'DNAVY_4', 'DBROWN']",['PARIS KHAKI'],['FGC0L4033131A']
79,['44'],"['DUBAI_KHAKI', 'BLACK', 'OLIVE_GREEN', 'CAMEL']",['DUBAI KHAKI'],['FGC0L4037301A']
80,[],"['NAVY', 'BLACK']",['NAVY'],['FGC0Y9032792A']
81,[],"['BLACK', 'DGREY']",['BLACK'],['FGC0Z7041652A']
