,count_of_sizes,colors,color,product_code,reviews,star_rating,Size,comfort,quality
0,"['5.5', '6']","['Cloud White / Core Black / Grey Six', 'Cloud White / Core Black / Cloud White', 'Cloud White / Core Black / Cloud White', 'Cloud White / Cloud White / Cloud White', 'Cloud White / Copper Metallic / Core Black', 'Cloud White / Off White / Crystal White', 'Magic Beige F22 / Magic Beige F22 / Cloud White', 'Cloud White / Magic Lime S22 / Cloud White', 'Cloud White / Wonder White F21 / Off White', 'Cloud White / Semi Lucid Blue S23 / Gold Metallic', 'Sand Strata / Wonder Taupe / Core Black', 'Cloud White / Wonder White F21 / Better Scarlet S23', 'Core Black / Core Black / Cloud White', 'Core Black / Glow Blue / Off White', 'Core Black / Energy Ink / Silver Metallic', 'Cloud White / Orange / Royal Blue', 'Cloud White / Clear Pink / Semi Court Green', 'Off White / Core Black / Off White', 'Core Black / Off White / Magic Beige', 'Maroon / Wonder White / Maroon', 'Earth Strata / Wonder White / Earth Strata', 'Cloud White / Bright Red / Wonder Clay F23']",[],['Product code: ID4279'],['Reviews (11282)'],['4.7'],['55.727'],['80.1694'],['86.5514']
1,[],"['Shadow Brown / Shadow Brown / Gum', 'Core Black / Iron Metallic / Core Black', 'Cloud White / Cloud White / Core Black', 'Halo Silver S21 / Orbit Grey / Grey Two', 'Cloud White / Chalk White / Zero Metalic', 'Core Black / Cloud White / Grey Six', 'Shadow Olive S22 / Olive Strata S23 / Gold Metallic', 'Off White / Bliss Lilac F22 / Wonder Blue F23', 'Core Black / Silver Metallic / Wonder Blue F23', 'Grey Two / Cloud White / Silver Metallic', 'Off White / Bright Red / Pulse Lime', 'Charcoal Solid Grey / Silver Metallic / Bliss Lilac F22', 'Cloud White / Gold Metallic / Wonder White F21', 'Cloud White / Putty Mauve S24 / Cloud White']",[],['Product code: IG7376'],[],[],[],[],[]
2,['M 5 / W 6'],"['Bold Green / Signal Orange / Vivid Berry', 'Bahia Magenta / Bahia Magenta / Collegiate Green', 'Royal Blue / Cloud White / Royal Blue', 'Core Black / Cloud White / Core Black', 'Mystery Blue / Hi-Res Yellow / Mystery Blue', 'Vision Met. / Vision Met. / Grey Two', 'Core Black / Grey Six / Core Black', 'Core Black / Core Black / Core Black', 'Core Black / Gold Metallic / Core Black', 'Core Black / Core Black / Beam Pink F22', 'Cloud White / Cloud White / Matte Gold', 'Grey Two / Silver Metallic / Grey Two', 'Sand Strata / Purple / Sand Strata', 'Ecru Tint / Coral Fusion / Ecru Tint', 'Night Indigo / Cloud White / Night Indigo']",[],['Product code: H03619'],['Reviews (6108)'],['4.7'],['54.7224'],['90.9001'],['90.6966']
3,"['10', '11']","['Cloud White / Cloud White / Core Black', 'Cloud White / Cloud White / Core Black', 'Bliss / Bliss / Off White', 'Cloud White / Core Black / Cloud White', 'Cloud White / Cloud White / Aluminium', 'Off White / Core Black / Core Black', 'Wonder Quartz / Grey One / Wonder Quartz']",[],['Product code: HQ1985'],['Reviews (427)'],['4.6'],['54.6362'],['80.6338'],['89.7541']
4,"['M 7 / W 8', 'M 7.5 / W 8.5', 'M 8.5 / W 9.5', 'M 9 / W 10']","['Cloud White / Cloud White / Core Black', 'Core Black / Cloud White / Team Shock Pink 2', 'Cloud White / Core Black / Lucid Lemon F23', 'Bright Royal / Cloud White / Bliss Blue']",[],['Product code: GZ0004'],['Reviews (193)'],['4.2'],['40.0259'],['64.7668'],['79.1451']
5,['6'],"['Core Black / Matt Purple Met. F22 / Almost Pink S22', 'Core Black / Pulse Magenta F22 / Pulse Blue', 'Crew Navy S21 / Iron Metallic / Halo Blush F21', 'Core Black / Cloud White / Carbon', 'Core Black / Core Black / Cloud White', 'Cloud White / Cloud White / Core Black', 'Wonder Quartz / Wonder Quartz / Almost Pink', 'Silver Dawn / Silver Dawn / Silver Violet']",[],['Product code: HP6237'],['Reviews (2764)'],['4.5'],['48.7033'],['83.3515'],['85.0308']
6,"['5', '8.5', '11']","['Cloud White / Silver Metallic / Grey Two', 'Lucid Pink / Cloud White / Flash Aqua', 'Cloud White / Core Black / Core Black', 'Core Black / Cloud White / Core Black', 'Cloud White / Aurora Met. / Bright Red', 'Ice Blue / Cloud White / Bright Red']",[],['Product code: HR0634'],['Reviews (53)'],['4.6'],['50.4717'],['85.3774'],['90.0943']
7,"['M 4.5 / W 5.5', 'M 5 / W 6', 'M 7 / W 8']",[],[],['Product code: HR1980'],['Reviews (41)'],['4.6'],['53.0488'],['91.4634'],['92.6829']
8,['M 7 / W 8'],"['Cloud White / Cloud White / Cloud White', 'Cloud White / Core Black / Lucid Lemon', 'Bright Royal / Cloud White / Bliss Blue']",[],['Product code: GW4559'],['Reviews (25)'],['4.7'],['55'],['82'],['86']
9,[],"['Sand Strata / Off White / Wonder Beige', 'Crystal White / Grey Two / Cloud White']",[],['Product code: IG7993'],['Reviews (37)'],['4.2'],['73.6486'],['75.6757'],['76.3514']
