,count_of_sizes,colors,product_code,reviews,quality
0,"['8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12']",['Flat Medium Gray-Pop Red-PUMA Black'],['Style: 308277_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
1,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['PUMA Black-PUMA White', 'Eucalyptus-PUMA Black', 'PUMA White-Club Navy']",['Style: 378687_01'],['Reviews (3)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['66.7']
2,"['4', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12']","['Puma White', 'Puma Black']",['Style: 380190_02'],['Reviews (55)Average: 4.1 / 5Write A ReviewRead All ReviewsRead All'],['82.0']
3,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13']","['Persian Blue-PUMA White-Pro Green', 'Sedate Gray-Asphalt-Yellow Blaze']",['Style: 107361_04'],['Reviews (5)Average: 4.4 / 5Write A ReviewRead All ReviewsRead All'],['33.3']
4,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14', '15', '16']","['PUMA White-PUMA Navy-Lime Squeeze', 'PUMA White-For All Time Red']",['Style: 379081_04'],['Reviews (2)Average: 3.5 / 5Write A ReviewRead All ReviewsRead All'],['50.0']
5,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13']",['PUMA White-Racing Blue-Lemon Meringue-Parakeet Green'],['Style: 107610_01'],['Reviews (2)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
6,"['7', '8', '9', '10', '11', '12', '13']","['Green Gecko-Prism Violet', 'PUMA Green-Fluro Yellow Pes-Fluro Green Pes']",['Style: 394223_01'],['Reviews (1)Average: 1.0 / 5Write A ReviewRead All ReviewsRead All'],['0.0']
7,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']",['PUMA Black-Pop Red'],['Style: 307940_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],[]
8,"['4.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']","['Persian Blue-PUMA White-Pro Green', 'Sedate Gray-Asphalt-Yellow Blaze']",['Style: 107355_04'],['Reviews (20)Average: 1.9 / 5Write A ReviewRead All ReviewsRead All'],[]
9,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12']",['PUMA Black-Yellow Blaze-Strawberry Burst'],['Style: 378465_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
10,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5']",['PUMA Black-Malachite-Yellow Burst'],['Style: 377507_04'],['Reviews (1)Average: 2.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
11,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13']","['PUMA Black-Luminous Blue-Electric Orchid', 'PUMA White-Luminous Blue-Electric Orchid']",['Style: 380007_02'],['Reviews (3)Average: 4.7 / 5Write A ReviewRead All ReviewsRead All'],[]
12,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12']",['PUMA Green-Spring Fern-PUMA Black'],['Style: 395032_01'],['Reviews (3)Average: 3.0 / 5Write A ReviewRead All ReviewsRead All'],['50.0']
