,ShoeName,URL,no_colors,price_reduce,price,price_,Category
0,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IG9777.html,12 colors,$88,$110,-,WOMEN Originals
1,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IG2530.html,2 colors,$45,$75,-,Women's Essentials
2,AdiFOM SST Boot Shoes,https://www.adidas.com/us/adifom-sst-boot-shoes/IE4614.html,3 colors,$44,$110,-,Women's Originals
3,Racer TR23 Shoes,https://www.adidas.com/us/racer-tr23-shoes/IF3330.html,11 colors,$56,$80,-,Women's Sportswear
4,Gazelle Indoor Shoes,https://www.adidas.com/us/gazelle-indoor-shoes/IG4994.html,2 colors,$105,$150,-,WOMEN Originals
5,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IF3393.html,2 colors,$45,$75,-,Women's Sportswear
6,Stan Smith Shoes,https://www.adidas.com/us/stan-smith-shoes/G58184.html,2 colors,$80,$100,-,Women's Originals
7,Gazelle Indoor Shoes,https://www.adidas.com/us/gazelle-indoor-shoes/IG4996.html,2 colors,$105,$150,-,WOMEN Originals
8,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IF7677.html,22 colors,$44,$110,-,Women's Originals
9,OZMILLEN Shoes,https://www.adidas.com/us/ozmillen-shoes/IF6581.html,2 colors,$44,$110,-,Women's Originals
10,AdiFOM SST Boot Shoes,https://www.adidas.com/us/adifom-sst-boot-shoes/IE4613.html,3 colors,$44,$110,-,Women's Originals
11,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/HR0066.html,2 colors,$160,$200,-,Women's Sportswear
12,Stan Smith Lux Shoes,https://www.adidas.com/us/stan-smith-lux-shoes/HQ6787.html,8 colors,$120,$150,-,WOMEN Originals
13,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IF7676.html,22 colors,$44,$110,-,Women's Originals
14,AdiFOM SST Boot Shoes,https://www.adidas.com/us/adifom-sst-boot-shoes/IG2682.html,3 colors,$44,$110,-,Women's Originals
15,Adizero SL Running Shoes,https://www.adidas.com/us/adizero-sl-running-shoes/ID6933.html,7 colors,$48,$120,-,Women's Running
16,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IE3000.html,22 colors,$80,$100,-,Women's Originals
17,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/IG2372.html,18 colors,$63,$140,-,WOMEN Sportswear
18,Puremotion Adapt Shoes,https://www.adidas.com/us/puremotion-adapt-shoes/ID4430.html,7 colors,$42,$70,-,Women's Essentials
19,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IF8114.html,12 colors,$77,$110,-,WOMEN Originals
20,Superstar Millencon Boot Shoes,https://www.adidas.com/us/superstar-millencon-boot-shoes/IG5320.html,2 colors,$49,$140,-,Women's Originals
21,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IF7615.html,22 colors,$88,$110,-,Women's Originals
22,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IE7377.html,3 colors,$77,$110,-,Women's Originals
23,Y-3 Rivalry,https://www.adidas.com/us/y-3-rivalry/FZ6396.html,4 colors,$240,$400,-,WOMEN Y-3
24,TERREX Swift R3 GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-swift-r3-gore-tex-hiking-shoes/IF2403.html,4 colors,$64,$160,-,Women's TERREX
25,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IG2972.html,3 colors,$77,$110,-,Women's Originals
26,Crazy 8 Shoes,https://www.adidas.com/us/crazy-8-shoes/IE7198.html,4 colors,$98,$140,-,WOMEN Originals
27,Duramo SL Running Shoes,https://www.adidas.com/us/duramo-sl-running-shoes/IF7877.html,7 colors,$49,$70,-,Women's Running
28,Five Ten Freerider Pro Mountain Bike Shoes,https://www.adidas.com/us/five-ten-freerider-pro-mountain-bike-shoes/FX4453.html,5 colors,$56,$160,-,Women's Five Ten
29,Stan Smith CS Shoes,https://www.adidas.com/us/stan-smith-cs-shoes/IG0344.html,4 colors,$80,$100,-,Women's Originals
30,Avacourt Tennis Shoes,https://www.adidas.com/us/avacourt-tennis-shoes/ID2080.html,4 colors,$45,$150,-,Women's Tennis
31,TERREX FREE HIKER 2 C.RDY W,https://www.adidas.com/us/terrex-free-hiker-2-c.rdy-w/IG2368.html,2 colors,$208,$260,-,Women's TERREX
32,X_PLRBOOST Shoes,https://www.adidas.com/us/x_plrboost-shoes/ID9600.html,11 colors,$64,$160,-,Women's Sportswear
33,Copa Icon Firm Ground Soccer Cleats,https://www.adidas.com/us/copa-icon-firm-ground-soccer-cleats/GZ2528.html,"2 colors, Firm Ground",$108,$180,-,WOMEN Soccer
34,Stan Smith Shoes,https://www.adidas.com/us/stan-smith-shoes/IE4634.html,2 colors,$88,$110,-,Women's Originals
35,TERREX Swift R3 Mid GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-swift-r3-mid-gore-tex-hiking-shoes/IF2401.html,-,$72,$180,-,Women's TERREX
36,NMD_V3 Shoes,https://www.adidas.com/us/nmd_v3-shoes/HQ9115.html,11 colors,$85,$170,-,Women's Originals
37,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IG2971.html,3 colors,$77,$110,-,Women's Originals
38,RunFalcon Wide 3 Running Shoes,https://www.adidas.com/us/runfalcon-wide-3-running-shoes/HP6651.html,2 colors,$43,$65,-,Women's Running
39,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/ID9676.html,2 colors,$67,$190,-,Women's Sportswear
40,Predator Accuracy.1 Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.1-firm-ground-soccer-cleats/GW4569.html,"6 colors, Firm Ground",$125,$250,-,WOMEN Soccer
41,TERREX SOULSTRIDE FLOW GTX W,https://www.adidas.com/us/terrex-soulstride-flow-gtx-w/ID6715.html,2 colors,$72,$160,-,Women's TERREX
42,NMD_V3 Shoes,https://www.adidas.com/us/nmd_v3-shoes/GZ2133.html,11 colors,$60,$170,-,Women's Originals
43,Adicane Clogs,https://www.adidas.com/us/adicane-clogs/HQ9918.html,3 colors,$38,$50,-,WOMEN Sportswear
44,TERREX Free Hiker 2.0 Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2-hiking-shoe/GV8920.html,9 colors,$100,$200,-,Women's TERREX
45,Texas A&M Ultraboost 1.0 Shoes,https://www.adidas.com/us/texas-a-m-ultraboost-1.0-shoes/IG5876.html,17 colors,$70,$200,-,WOMEN Sportswear
46,Adizero Boston 12 Running Shoes,https://www.adidas.com/us/adizero-boston-12-running-shoes/IF8170.html,5 colors,$64,$160,-,Women's Running
47,Adilette Comfort Slides,https://www.adidas.com/us/adilette-comfort-slides/GX9835.html,17 colors,$20,$40,-,WOMEN Sportswear
0,Duramo SL Wide Running Shoes,https://www.adidas.com/us/duramo-sl-wide-running-shoes/IG0310.html,2 colors,-,-,-,Women's Running
1,adizero Ubersonic 4 Tennis Shoes,https://www.adidas.com/us/adizero-ubersonic-4-tennis-shoes/HQ8392.html,3 colors,-,-,-,Women's Tennis
2,TERREX Free Hiker 2.0 Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2.0-hiking-shoes/HP7496.html,9 colors,$80,$200,-,Women's TERREX
3,NMD_V3 Shoes,https://www.adidas.com/us/nmd_v3-shoes/GY4189.html,11 colors,$112,$160,-,Women's Originals
4,TERREX AX4 Mid GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-ax4-mid-gore-tex-hiking-shoes/HQ1049.html,2 colors,-,-,-,Women's TERREX
5,Kaptir Flow Shoes,https://www.adidas.com/us/kaptir-flow-shoes/IF6603.html,6 colors,-,-,-,Women's Sportswear
6,Adizero SL Running Shoes,https://www.adidas.com/us/adizero-sl-running-shoes/ID6946.html,-,-,-,-,Women's Running
7,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GZ9257.html,2 colors,-,-,-,WOMEN Originals
8,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GZ9260.html,2 colors,$120,$150,-,WOMEN Originals
9,Terrex Free Hiker 2.0 Low GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2.0-low-gore-tex-hiking-shoes/IE7657.html,3 colors,$81,$180,-,Women's TERREX
10,Ultraboost Light Shoes,https://www.adidas.com/us/ultraboost-light-shoes/HQ8600.html,5 colors,$67,$190,-,Women's Running
11,Predator Accuracy Injection+ Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy-injection-plus-firm-ground-soccer-cleats/IG0769.html,Firm Ground,$225,$300,-,WOMEN Soccer
12,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GW5699.html,50 colors,$45,$150,-,Women's Originals
13,Adilette Shower Slides,https://www.adidas.com/us/adilette-shower-slides/GZ3779.html,9 colors,$24,$30,-,WOMEN Yoga
14,Copa Icon Firm Ground Soccer Cleats,https://www.adidas.com/us/copa-icon-firm-ground-soccer-cleats/GZ2528.html,"2 colors, Firm Ground",$108,$180,-,WOMEN Soccer
15,AdiFOM SST Boot Shoes,https://www.adidas.com/us/adifom-sst-boot-shoes/ID4280.html,7 colors,$44,$110,-,Women's Originals
16,Miami Ultraboost 1.0 Shoes,https://www.adidas.com/us/miami-ultraboost-1.0-shoes/IG5877.html,3 colors,$70,$200,-,WOMEN Sportswear
17,Barricade Tennis Shoes,https://www.adidas.com/us/barricade-tennis-shoes/ID1555.html,4 colors,$112,$160,-,Women's Tennis
18,Ultra 4D Running Shoes,https://www.adidas.com/us/ultra-4d-running-shoes/IG2260.html,7 colors,$154,$220,-,WOMEN Running
19,Nizza Platform Mid Shoes,https://www.adidas.com/us/nizza-platform-mid-shoes/FY2782.html,7 colors,$60,$85,-,Women's Originals
20,Supernova 2.0 Running Shoes,https://www.adidas.com/us/supernova-2.0-running-shoes/GY3528.html,7 colors,$60,$100,-,Women's Running
21,Predator Accuracy.1 Indoor Soccer Shoes,https://www.adidas.com/us/predator-accuracy.1-indoor-soccer-shoes/GZ0039.html,Indoor,$105,$140,-,WOMEN Soccer
22,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IE1775.html,5 colors,$67,$190,-,Women's Running
23,TERREX Swift R3 Hiking Shoes,https://www.adidas.com/us/terrex-swift-r3-hiking-shoes/HQ1059.html,-,$60,$150,-,Women's TERREX
24,Five Ten Trailcross GORE-TEX Mountain Bike Shoes,https://www.adidas.com/us/five-ten-trailcross-gore-tex-mountain-bike-shoes/IF4941.html,3 colors,$176,$220,-,WOMEN Five Ten
25,OZELIA Shoes,https://www.adidas.com/us/ozelia-shoes/IE9535.html,8 colors,$44,$110,-,Women's Originals
26,Adizero Boston 12 Running Shoes,https://www.adidas.com/us/adizero-boston-12-running-shoes/HQ2170.html,2 colors,$128,$160,-,Women's Running
27,Adicane Clogs,https://www.adidas.com/us/adicane-clogs/HQ9916.html,3 colors,$38,$50,-,WOMEN Sportswear
28,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ6347.html,5 colors,$67,$190,-,Women's Running
29,Predator Accuracy.1 Turf Soccer Shoes,https://www.adidas.com/us/predator-accuracy.1-turf-soccer-shoes/GZ0009.html,"2 colors, Turf",$112,$140,-,WOMEN Soccer
30,Five Ten Trailcross LT Mountain Bike Shoes,https://www.adidas.com/us/five-ten-trailcross-lt-mountain-bike-shoes/FV4720.html,2 colors,$56,$140,-,Women's Five Ten
31,Adicane Clogs,https://www.adidas.com/us/adicane-clogs/HQ9917.html,3 colors,$40,$50,-,WOMEN Sportswear
32,Rutgers Ultraboost 1.0 Shoes,https://www.adidas.com/us/rutgers-ultraboost-1.0-shoes/IG5893.html,3 colors,$70,$200,-,WOMEN Sportswear
33,Shmoofoil Shoes,https://www.adidas.com/us/shmoofoil-shoes/IG5268.html,3 colors,$53,$75,-,WOMEN Originals
34,OZMILLEN Shoes,https://www.adidas.com/us/ozmillen-shoes/IF6582.html,2 colors,$99,$110,-,Women's Originals
35,Five Ten Trailcross LT Mountain Bike Shoes,https://www.adidas.com/us/five-ten-trailcross-lt-mountain-bike-shoes/IF4942.html,2 colors,$56,$140,-,Women's Five Ten
36,ZG23 Golf Shoes,https://www.adidas.com/us/zg23-golf-shoes/GZ2174.html,3 colors,$90,$200,-,Women's Golf
37,Stan Smith Lux Shoes,https://www.adidas.com/us/stan-smith-lux-shoes/HP2201.html,8 colors,$95,$145,-,WOMEN Originals
38,adidas Five Ten Trailcross Pro Clip-in Mountain Bike Shoes,https://www.adidas.com/us/adidas-five-ten-trailcross-pro-clip-in-mountain-bike-shoes/HP9929.html,-,$160,$200,-,Women's Five Ten
39,The Velosamba Made with Nature Cycling Shoes,https://www.adidas.com/us/the-velosamba-made-with-nature-cycling-shoes/HQ9036.html,5 colors,$135,$150,-,WOMEN Cycling
40,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GZ9259.html,2 colors,$120,$150,-,WOMEN Originals
41,Adizero Ubersonic 4.1 Tennis Shoes,https://www.adidas.com/us/adizero-ubersonic-4.1-tennis-shoes/IG5467.html,4 colors,$98,$140,-,Women's Tennis
42,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HP9477.html,5 colors,$67,$190,-,Women's Running
43,ZG23 BOA Golf Shoes,https://www.adidas.com/us/zg23-boa-golf-shoes/GZ2171.html,-,$110,$220,-,Women's Golf
44,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ6345.html,5 colors,$67,$190,-,Women's Running
45,Brevard Shoes,https://www.adidas.com/us/brevard-shoes/HR0277.html,2 colors,$40,$100,-,Women's Sportswear
46,Y-3 Superstar,https://www.adidas.com/us/y-3-superstar/IG3043.html,4 colors,$264,$330,-,WOMEN Y-3
47,TERREX Free Hiker GORE-TEX 2.0 Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-gore-tex-2.0-hiking-shoes/HP7494.html,8 colors,$138,$230,-,Women's TERREX
0,Ultraboost 1.0 ATR Shoes,https://www.adidas.com/us/ultraboost-1.0-atr-shoes/ID1747.html,4 colors,$140,$200,-,WOMEN Sportswear
1,Duramo Speed Running Shoes,https://www.adidas.com/us/duramo-speed-running-shoes/ID9854.html,11 colors,$63,$90,-,Women's Running
2,Terrex Free Hiker 2.0 Low GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2.0-low-gore-tex-hiking-shoes/IG3204.html,2 colors,$108,$180,-,Women's TERREX
3,Forum Bonega X Shoes,https://www.adidas.com/us/forum-bonega-x-shoes/GY1549.html,-,$72,$120,-,Women's Originals
4,Shmoofoil Shoes,https://www.adidas.com/us/shmoofoil-shoes/IG5266.html,2 colors,$53,$75,-,WOMEN Originals
5,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IF7610.html,23 colors,$88,$110,-,Women's Originals
6,TERREX AX4 GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-ax4-gore-tex-hiking-shoes/IF4863.html,2 colors,$66,$120,-,Women's TERREX
7,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/IG8337.html,50 colors,$48,$160,-,Women's Originals
8,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IE1776.html,11 colors,$67,$190,-,Women's Running
9,TERREX Free Hiker 2.0 Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2.0-hiking-shoes/HP7498.html,9 colors,$100,$200,-,Women's TERREX
10,TERREX Skychaser 2.0 GORE-TEX Hiking Shoes,https://www.adidas.com/us/terrex-skychaser-2.0-gore-tex-hiking-shoes/HP8706.html,-,$77,$170,-,Women's TERREX
11,Crazy 8 Shoes,https://www.adidas.com/us/crazy-8-shoes/IF2448.html,4 colors,$98,$140,-,WOMEN Originals
12,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ8599.html,11 colors,$95,$190,-,Women's Running
13,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IG7964.html,11 colors,$76,$190,-,Women's Running
14,Retrocross Spikeless Golf Shoes,https://www.adidas.com/us/retrocross-spikeless-golf-shoes/GV6916.html,2 colors,$77,$110,-,Women's Golf
15,X Crazyfast.1 USA Firm Ground Soccer Cleats,https://www.adidas.com/us/x-crazyfast.1-usa-firm-ground-soccer-cleats/IG0664.html,Firm Ground,$104,$260,-,WOMEN Soccer
16,Hyperturf Adventure Shoes,https://www.adidas.com/us/hyperturf-adventure-shoes/HQ4312.html,13 colors,$56,$140,-,WOMEN Originals
17,Superstar Millencon Boot Shoes,https://www.adidas.com/us/superstar-millencon-boot-shoes/ID4263.html,2 colors,$49,$140,-,Women's Originals
18,Ultraboost 1.0 Nebraska,https://www.adidas.com/us/ultraboost-1.0-nebraska/HQ5873.html,39 colors,$120,$200,-,WOMEN Sportswear
19,Top Ten RB Shoes,https://www.adidas.com/us/top-ten-rb-shoes/HP9549.html,2 colors,$70,$100,-,Women's Originals
20,Adilette Platform Slides,https://www.adidas.com/us/adilette-platform-slides/HQ6179.html,2 colors,$35,$50,-,WOMEN Sportswear
21,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IE1757.html,11 colors,$76,$190,-,Women's Running
22,Stan Smith Lux Shoes,https://www.adidas.com/us/stan-smith-lux-shoes/HQ6785.html,2 colors,$116,$145,-,WOMEN Originals
23,Adizero Boston 12 Running Shoes,https://www.adidas.com/us/adizero-boston-12-running-shoes/ID6898.html,5 colors,$64,$160,-,Women's Running
24,Switch FWD Running Shoes,https://www.adidas.com/us/switch-fwd-running-shoes/ID1790.html,6 colors,$98,$140,-,Women's Running
25,The Velosamba Made with Nature Cycling Shoes,https://www.adidas.com/us/the-velosamba-made-with-nature-cycling-shoes/IE7022.html,5 colors,$135,$150,-,WOMEN Cycling
26,Adizero SL Running Shoes,https://www.adidas.com/us/adizero-sl-running-shoes/HQ7232.html,7 colors,$48,$120,-,Women's Running
27,S2G Spikeless Golf Shoes,https://www.adidas.com/us/s2g-spikeless-golf-shoes/GV9427.html,2 colors,$70,$100,-,Women's Golf
28,ULTRABOOST LIGHT,https://www.adidas.com/us/ultraboost-light/IE8155.html,22 colors,$76,$190,-,WOMEN Running
29,4DFWD 2 Running Shoes,https://www.adidas.com/us/4dfwd-2-running-shoes/GX9271.html,8 colors,$90,$200,-,Women's Running
30,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IG0747.html,11 colors,$86,$190,-,Women's Running
31,Superstar PRIDE RM Shoes,https://www.adidas.com/us/superstar-pride-rm-shoes/ID7493.html,-,$33,$110,-,WOMEN Originals
32,Stan Smith Shoes,https://www.adidas.com/us/stan-smith-shoes/HQ4404.html,2 colors,$66,$110,-,Women's Originals
33,Astir SN Shoes,https://www.adidas.com/us/astir-sn-shoes/HP2815.html,-,$66,$110,-,Women's Originals
34,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IE1692.html,11 colors,$76,$190,-,Women's Running
35,Box Hog 4 Shoes,https://www.adidas.com/us/box-hog-4-shoes/HP6880.html,6 colors,$117,$130,-,WOMEN Boxing
36,Duramo SL Wide Running Shoes,https://www.adidas.com/us/duramo-sl-wide-running-shoes/IF9905.html,2 colors,$49,$70,-,Women's Running
37,Adizero Select Basketball Shoes,https://www.adidas.com/us/adizero-select-basketball-shoes/IG5336.html,3 colors,$60,$120,-,WOMEN Basketball
38,The Road BOA Cycling Shoes,https://www.adidas.com/us/the-road-boa-cycling-shoes/HQ6713.html,2 colors,$200,$250,-,WOMEN Cycling
39,4DFWD 2 Running Shoes,https://www.adidas.com/us/4dfwd-2-running-shoes/HP7648.html,8 colors,$140,$200,-,Women's Running
40,ULTRABOOST 22  Running Shoes,https://www.adidas.com/us/ultraboost-22--running-shoes/GX6670.html,10 colors,$95,$190,-,Women's Running
41,Exhibit Select Basketball Shoes,https://www.adidas.com/us/exhibit-select-basketball-shoes/IE9325.html,2 colors,$84,$120,-,Women's Basketball
42,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/GY9904.html,3 colors,$147,$210,-,Women's Sportswear
43,Hyperturf Adventure Shoes,https://www.adidas.com/us/hyperturf-adventure-shoes/HQ9119.html,13 colors,$84,$140,-,WOMEN Originals
44,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/IG2374.html,18 colors,$63,$140,-,WOMEN Sportswear
45,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/ID9675.html,3 colors,$133,$190,-,Women's Sportswear
46,NMD_R1 Strap Shoes,https://www.adidas.com/us/nmd_r1-strap-shoes/HQ4245.html,2 colors,$48,$160,-,Women's Originals
47,Y-3 Superstar,https://www.adidas.com/us/y-3-superstar/ID4122.html,4 colors,$198,$330,-,WOMEN Y-3
0,Y-3 Superstar,https://www.adidas.com/us/y-3-superstar/ID4122.html,4 colors,$198,$330,-,WOMEN Y-3
1,adidas TERREX + and wander Free Hiker 2.0 Hiking Shoes,https://www.adidas.com/us/adidas-terrex--plus-and-wander-free-hiker-2.0-hiking-shoes/HQ1443.html,-,$88,$250,-,Women's TERREX
2,X Crazyfast.1 Artificial Grass Soccer Cleats,https://www.adidas.com/us/x-crazyfast.1-artificial-grass-soccer-cleats/IE6631.html,"2 colors, Artificial Grass",$195,$260,-,WOMEN Soccer
3,Adicross Hi BOOST Golf Shoes,https://www.adidas.com/us/adicross-hi-boost-golf-shoes/H03662.html,2 colors,$126,$180,-,WOMEN Golf
4,Adizero SL Running Shoes,https://www.adidas.com/us/adizero-sl-running-shoes/ID6928.html,2 colors,$48,$120,-,Women's Running
5,Crazy IIInfinity Shoes,https://www.adidas.com/us/crazy-iiinfinity-shoes/IE7689.html,3 colors,$112,$160,-,WOMEN Originals
6,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/HP3012.html,50 colors,$90,$150,-,Women's Originals
7,CODECHAOS 22 Spikeless Golf Shoes,https://www.adidas.com/us/codechaos-22-spikeless-golf-shoes/GX2613.html,4 colors,$98,$140,-,Women's Golf
8,Dropset 2 Training Shoes,https://www.adidas.com/us/dropset-2-training-shoes/IF3197.html,4 colors,$59,$130,-,Women's Training
9,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/HP5972.html,18 colors,$56,$140,-,WOMEN Sportswear
10,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/HP5970.html,18 colors,$56,$140,-,WOMEN Sportswear
11,Stan Smith Millencon Shoes,https://www.adidas.com/us/stan-smith-millencon-shoes/HQ6041.html,2 colors,$63,$125,-,Women's Originals
12,Louisville Ultraboost 1.0 Shoes,https://www.adidas.com/us/louisville-ultraboost-1.0-shoes/IG5892.html,17 colors,$140,$200,-,WOMEN Sportswear
13,4DFWD 2 Running Shoes,https://www.adidas.com/us/4dfwd-2-running-shoes/GX9265.html,8 colors,$80,$200,-,Women's Running
14,Nizza Platform Shoes,https://www.adidas.com/us/nizza-platform-shoes/IG5058.html,10 colors,$56,$80,-,Women's Originals
15,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GW9473.html,50 colors,$83,$150,-,Women's Originals
16,Stan Smith PRIDE RM Shoes,https://www.adidas.com/us/stan-smith-pride-rm-shoes/ID7494.html,-,$39,$110,-,WOMEN Originals
17,Five Ten Trailcross Clip-In Mountain Bike Shoes,https://www.adidas.com/us/five-ten-trailcross-clip-in-mountain-bike-shoes/GZ9840.html,4 colors,$132,$165,-,Women's Five Ten
18,Five Ten Freerider Canvas Mountain Bike Shoes,https://www.adidas.com/us/five-ten-freerider-canvas-mountain-bike-shoes/GZ4655.html,4 colors,$55,$110,-,Women's Five Ten
19,Dropset 2 Training Shoes,https://www.adidas.com/us/dropset-2-training-shoes/HQ8775.html,5 colors,$104,$130,-,WOMEN Training
20,Hyperturf Shoes,https://www.adidas.com/us/hyperturf-shoes/GX2022.html,13 colors,$56,$140,-,WOMEN Originals
21,Web BOOST Shoes,https://www.adidas.com/us/web-boost-shoes/IF5282.html,4 colors,$56,$160,-,WOMEN Sportswear
22,NC State Ultraboost 1.0 Shoes,https://www.adidas.com/us/nc-state-ultraboost-1.0-shoes/IG5878.html,17 colors,$140,$200,-,WOMEN Sportswear
23,KU Ultraboost 1.0 Shoes,https://www.adidas.com/us/ku-ultraboost-1.0-shoes/IG5890.html,17 colors,$140,$200,-,WOMEN Sportswear
24,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/IF5274.html,4 colors,$105,$190,-,Women's Sportswear
25,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/HP5974.html,18 colors,$56,$140,-,WOMEN Sportswear
26,X_PLRBOOST Shoes,https://www.adidas.com/us/x_plrboost-shoes/ID9584.html,11 colors,$56,$160,-,Women's Sportswear
27,Indiana Ultraboost 1.0 Shoes,https://www.adidas.com/us/indiana-ultraboost-1.0-shoes/IG5880.html,17 colors,$140,$200,-,WOMEN Sportswear
28,Georgia Tech Ultraboost 1.0 Shoes,https://www.adidas.com/us/georgia-tech-ultraboost-1.0-shoes/IG5887.html,17 colors,$140,$200,-,WOMEN Sportswear
29,PureHustle 2 Elite Cleats,https://www.adidas.com/us/purehustle-2-elite-cleats/FY4393.html,-,$44,$110,-,Women's Softball
30,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GZ9593.html,50 colors,$90,$150,-,Women's Originals
31,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GW9477.html,50 colors,$90,$150,-,Women's Originals
32,NMD_R1 V3 Shoes,https://www.adidas.com/us/nmd_r1-v3-shoes/HQ4277.html,11 colors,$60,$170,-,Women's Originals
33,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ1399.html,-,$77,$220,-,Women's Running
34,Mississippi State Ultraboost 1.0 Shoes,https://www.adidas.com/us/mississippi-state-ultraboost-1.0-shoes/IG5888.html,17 colors,$120,$200,-,WOMEN Sportswear
35,Five Ten Sleuth Mountain Bike Shoes,https://www.adidas.com/us/five-ten-sleuth-mountain-bike-shoes/IG0374.html,5 colors,$72,$90,-,Women's Five Ten
36,Y-3 Gazelle,https://www.adidas.com/us/y-3-gazelle/IG0804.html,2 colors,$198,$330,-,WOMEN Y-3
37,Adizero Adios Pro 3 Running Shoes,https://www.adidas.com/us/adizero-adios-pro-3-running-shoes/ID8473.html,3 colors,$175,$250,-,Women's Running
38,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/ID9777.html,50 colors,$48,$160,-,Women's Originals
39,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/ID9559.html,18 colors,$63,$140,-,WOMEN Sportswear
40,Ultraboost 1.0 Texas A&M,https://www.adidas.com/us/ultraboost-1.0-texas-a-m/HQ5878.html,3 colors,$140,$200,-,WOMEN Sportswear
41,Ultraboost 1.0 Washington,https://www.adidas.com/us/ultraboost-1.0-washington/HQ5867.html,3 colors,$140,$200,-,WOMEN Sportswear
42,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ8598.html,7 colors,$133,$190,-,Women's Running
43,TERREX Free Hiker GORE-TEX 2.0 Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-gore-tex-2.0-hiking-shoes/IF4926.html,8 colors,$92,$230,-,Women's TERREX
44,Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IF8067.html,12 colors,$77,$110,-,WOMEN Originals
