,ShoeName,URL,no_colors,price_reduce,price,price_,Category
6,Court Team Bounce 2.0 Shoes,https://www.adidas.com/us/court-team-bounce-2.0-shoes/HP3342.html,2 colors,$34,$85,-,Women's Training
7,Bounce Legends Basketball Shoes,https://www.adidas.com/us/bounce-legends-basketball-shoes/IE9277.html,4 colors,$64,$85,-,WOMEN Basketball
8,Forum Bold Shoes,https://www.adidas.com/us/forum-bold-shoes/GY5921.html,2 colors,$88,$110,-,Women's Originals
9,TERREX Trail Rider Trail Running Shoes,https://www.adidas.com/us/terrex-trail-rider-trail-running-shoes/HR1182.html,4 colors,$60,$120,-,Women's TERREX
10,Mahomes 1 Black Panther Impact FLX Shoes,https://www.adidas.com/us/mahomes-1-black-panther-impact-flx-shoes/GX9654.html,6 colors,$98,$140,-,WOMEN Football
11,Ultraboost Made to Be Remade 2.0 Running Shoes,https://www.adidas.com/us/ultraboost-made-to-be-remade-2.0-running-shoes/GX9634.html,-,$105,$210,-,Women's Running
12,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IE1745.html,4 colors,$76,$190,-,Women's Running
13,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/IE3063.html,4 colors,$67,$190,-,Women's Running
14,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/HQ8605.html,50 colors,$60,$150,-,Women's Originals
15,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/HQ4248.html,50 colors,$64,$160,-,Women's Originals
16,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/GW9783.html,23 colors,$60,$100,-,Women's Originals
17,Ultraboost 1.0 Miami,https://www.adidas.com/us/ultraboost-1.0-miami/HQ5884.html,39 colors,$80,$200,-,WOMEN Sportswear
18,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GW9475.html,50 colors,$120,$150,-,Women's Originals
19,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IG7378.html,15 colors,$49,$75,-,Women's Essentials
20,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/IF7816.html,50 colors,$48,$160,-,Women's Originals
21,OZWEEGO Shoes,https://www.adidas.com/us/ozweego-shoes/GY6177.html,3 colors,$72,$120,-,Women's Originals
22,Nebraska Ultraboost 1.0 Shoes,https://www.adidas.com/us/nebraska-ultraboost-1.0-shoes/IG5889.html,17 colors,$140,$200,-,WOMEN Sportswear
23,Retropy E5 Shoes,https://www.adidas.com/us/retropy-e5-shoes/IE7728.html,12 colors,$48,$135,-,Women's Originals
24,Racer TR23 Shoes,https://www.adidas.com/us/racer-tr23-shoes/IF8652.html,11 colors,$56,$80,-,Women's Sportswear
25,Ozelia Shoes,https://www.adidas.com/us/ozelia-shoes/H04268.html,8 colors,$44,$110,-,Women's Originals
26,Y-3 Hokori II,https://www.adidas.com/us/y-3-hokori-ii/HR1976.html,-,$198,$330,-,WOMEN Y-3
27,Retropy E5 Shoes,https://www.adidas.com/us/retropy-e5-shoes/IE7062.html,12 colors,$95,$135,-,Women's Originals
28,Runfalcon 3 Running Shoes,https://www.adidas.com/us/runfalcon-3-running-shoes/ID2274.html,2 colors,$46,$65,-,Women's Running
29,Y-3 Idoso Boost,https://www.adidas.com/us/y-3-idoso-boost/HQ5970.html,-,$240,$400,-,WOMEN Y-3
30,X_PLRBOOST Shoes,https://www.adidas.com/us/x_plrboost-shoes/HP3143.html,11 colors,$72,$160,-,Women's Sportswear
31,X_PLRPHASE Shoes,https://www.adidas.com/us/x_plrphase-shoes/ID2413.html,7 colors,$77,$110,-,Women's Sportswear
32,Ultraboost 1.0 Shoes,https://www.adidas.com/us/ultraboost-1.0-shoes/HR0061.html,24 colors,$120,$200,-,Women's Sportswear
33,Ultraboost Light Running Shoes,https://www.adidas.com/us/ultraboost-light-running-shoes/HQ6354.html,4 colors,$67,$190,-,Women's Running
34,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/HP9662.html,50 colors,$53,$150,-,Women's Originals
35,Pureboost 22 Running Shoes,https://www.adidas.com/us/pureboost-22-running-shoes/HQ8576.html,5 colors,$56,$140,-,Women's Running
36,adidas x Merimekko Ultraboost 1.0 Shoes,https://www.adidas.com/us/adidas-x-merimekko-ultraboost-1.0-shoes/GZ2564.html,-,$63,$210,-,Women's Sportswear
37,Y-3 Hicho,https://www.adidas.com/us/y-3-hicho/HR1944.html,4 colors,$120,$300,-,WOMEN Y-3
38,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IF5580.html,15 colors,$45,$75,-,Women's Essentials
39,NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/IG8336.html,50 colors,$45,$150,-,Women's Originals
40,Ultra 4D Running Shoes,https://www.adidas.com/us/ultra-4d-running-shoes/IG2263.html,7 colors,$165,$220,-,WOMEN Running
41,OZWEEGO Shoes,https://www.adidas.com/us/ozweego-shoes/IE9508.html,3 colors,$84,$120,-,Women's Originals
42,Edge Lux 6.0 Shoes,https://www.adidas.com/us/edge-lux-6.0-shoes/ID1949.html,6 colors,$63,$90,-,Women's Training
43,Adistar CS 2.0 Running Shoes,https://www.adidas.com/us/adistar-cs-2.0-running-shoes/HP9643.html,3 colors,$56,$160,-,Women's Running
44,Runfalcon 3 Running Shoes,https://www.adidas.com/us/runfalcon-3-running-shoes/ID2271.html,2 colors,$46,$65,-,Women's Running
45,Cloudfoam Pure Shoes,https://www.adidas.com/us/cloudfoam-pure-shoes/IG7379.html,15 colors,$53,$75,-,Women's Sportswear
46,Stan Smith Shoes,https://www.adidas.com/us/stan-smith-shoes/FX5509.html,2 colors,$40,$100,-,WOMEN Originals
