,count_of_sizes,colors,color,product_code,reviews,star_rating,Size,comfort,quality
0,"['23201252:5', '23201248:5.5', '23201251:6', '23201246:6.5', '23201250:7', '23201245:7.5', '23201255:8', '23201244:8.5', '23201254:9', '23201253:9.5', '23201243:10', '23201242:10.5', '23201249:11', '23201241:11.5', '23201247:12']","['Black/White', 'White/Gym Red/Black/White']",['Shown: White/Gym Red/Black/White'],['Style: AV3918-102'],['Reviews (22)'],['4.8'],['50% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],[]
1,[],[],[],[],[],[],[],[],[]
2,"['21510569:5', '21510577:5.5', '21510570:6', '21510573:6.5', '21510565:7', '21510575:7.5', '21510566:8', '21510571:8.5', '21510564:9', '21510572:9.5', '21510576:10', '21510568:10.5', '21510578:11', '21510567:11.5', '21510574:12']",[],['Shown: White/White'],['Style: AQ1779-100'],['Reviews (16)'],['4.4'],['50% between Runs Small and True to Size'],['79% between Uncomfortable and Average'],['Yes (2)']
3,"['30505707:5', '30505702:5.5', '30505706:6', '30505698:6.5', '30505709:7', '30505697:7.5', '30505708:8', '30505701:8.5', '30505705:9', '30505700:9.5', '30505704:10', '30505710:10.5', '30505703:11', '30505711:11.5', '30505699:12']","['Legend Light Brown/Sail/Legend Medium Brown', 'Pale Vanilla/Coconut Milk/Sail/Metallic Gold', 'Red Stardust/White/Sail/Metallic Copper', 'Black/Light Smoke Grey/Sail/Metallic Silver', 'Bleached Turquoise/Barely Green/Sail/Sky J Teal', 'Muslin/Celestial Gold/Sail/Desert', 'Coconut Milk/Black/Sail/Sport Spice', 'Team Red/Sail/Muslin/University Red', 'Purple Smoke/White/Purple Smoke']",['Shown: Legend Light Brown/Sail/Legend Medium Brown'],['Style: FJ3448-200'],['Reviews (0)'],['0'],[],[],[]
4,"['28272576:5', '28272581:5.5', '28272590:6', '28272695:6.5']",[],['Shown: White/Vast Grey/Metallic Gold'],['Style: DQ7688-170'],['Reviews (4)'],['5'],['50% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],['Yes (1)']
5,['27997055:5'],[],['Shown: Habanero Red/Coconut Milk/Vivid Sulfur/Light Curry'],['Style: DV4462-600'],['Reviews (1)'],['5'],['50% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],[]
6,"['30483408:4', '30483410:5', '30483411:6', '30483412:7', '30483406:8', '30483407:9', '30483405:10', '30483401:11', '30483402:12', '30483403:13', '30483404:14', '30483409:15']",[],['Shown: Black/Black/Clear/White'],['Style: FJ2708-001'],['Reviews (0)'],['0'],[],[],[]
7,"['28638677:5.5', '28638676:6.5', '28638671:7', '28638683:7.5', '28638672:8', '28638679:8.5', '28638673:9', '28638674:9.5', '28638684:10', '28638675:10.5', '28638682:11', '28638678:11.5', '28638680:12']","['Desert Berry/Mars Stone/Burgundy Crush/Light Silver', 'Sanddrift/Hemp/Bright Crimson/Black']",['Shown: Desert Berry/Mars Stone/Burgundy Crush/Light Silver'],['Style: CW2386-603'],['Reviews (456)'],['4.7'],['43% between Runs Small and True to Size'],['80% between Uncomfortable and Average'],['Yes (1)']
8,"['29671059:8', '29671053:8.5']",[],['Shown: Light Iron Ore/Photon Dust/Flat Pewter/Metallic Silver'],['Style: FN6838-012'],['Reviews (5)'],['4.6'],['30% between Runs Small and True to Size'],['80% between Uncomfortable and Average'],['Yes (4)']
9,['29266682:5'],[],['Shown: Black/Hot Punch/Pink Bloom/Barely Volt'],['Style: FJ2985-001'],['Reviews (3)'],['5'],['50% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],[]
