,ShoeName,URL,price_reduce,price,price_,Category
169,Navy/White Mesh Pu Mens Sports Shoe,/productinfo/FGC0Y9040952A-NAVY_WHITE,2096,2995,₹2995₹2096,Men
170,Grey sneakers for men,/productinfo/FGC0DY0T7782A-GREY,3997,7995,₹7995₹3997,Men
171,Grey Sneakers for Men,/productinfo/FGC0510R2052A-GREY,5397,8995,₹8995₹5397,Men
172,Black Slip-on shoes,/productinfo/FGC0Y9037612A-BLACK,2096,2795,₹2795₹2096,Men
173,Navy Sneaker for Men,/productinfo/FGC0Z7041562A-NAVY,2021,2695,₹2695₹2021,Men
174,Grey/Green Sports Shoe for men,/productinfo/FGC0EM0S0162A-GREY_GREEN,4797,7995,₹7995₹4797,Men
175,White Slip-on Shoes for men,/productinfo/FGC0Z7040102A-WHITE,1721,2295,₹2295₹1721,Men
176,Taupe Sports shoe for men,/productinfo/FGC0150S0122A-TAUPE,4797,7995,₹7995₹4797,Men
177,Brown Sports Shoe for men,/productinfo/FGC0DY0S0082A-BROWN,4797,7995,₹7995₹4797,Men
178,PARIS KHAKI sneaker for men,/productinfo/FGC0L4033131A-PARIS_KHAKI,2997,4995,₹4995₹2997,Men
179,Dubai Khaki sneakers for men,/productinfo/FGC0L4037301A-DUBAI_KHAKI,3695,3695,₹3695,Men
180,Navy sneakers for men,/productinfo/FGC0Y9032792A-NAVY,1977,3295,₹3295₹1977,Men
181,Black Slip-on Shoes for men,/productinfo/FGC0Z7041652A-BLACK,1346,1795,₹1795₹1346,Men
