,count_of_sizes,colors,color,product_code,reviews,star_rating,Size,comfort,quality
10,"['5.5', '6.5', '7.5', '8.5']","['Wonder Taupe S23 / Wonder Taupe S23 / Core Black', 'Silver Metallic / Silver Metallic / Core Black', 'Silver Green S23 / Silver Green S23 / Core Black', 'Pulse Yellow F21 / Pulse Yellow F21 / Core Black', 'Core Black / Core Black / Grey Six', 'Halo Green S21 / Core Black / Halo Green S21', 'Collegiate Green / Core Black / Collegiate Green']",[],['Product code: IE4613'],['Reviews (167)'],['4.8'],['52.994'],['88.9222'],['92.3653']
11,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Cloud White / Cloud White / Violet Fusion S23', 'Silver Dawn / Silver Dawn / Silver Violet', 'Core Black / Core Black / Beam Pink F22', 'Grey One / Grey Three / Cloud White', 'Core Black / Core Black / Cloud White', 'Cloud White / Cloud White / Cloud White', 'Off White / Off White / Silver Metallic', 'Light Solid Grey / Silver Dawn / Solar Red', 'Cloud White / Zero Metalic / Lucid Pink', 'Arctic Night / Arctic Night / Lucid Pink', 'Silver Dawn / Silver Dawn / Almost Pink', 'Pink Fusion / Pink Fusion / Gold Metallic', 'Off White / Off White / Gold Metallic', 'Off White / Crew Blue / Bliss Lilac', 'Carbon / Carbon / Bright Red', 'Shadow Red / Shadow Red / Core Black', 'Magic Beige / Magic Beige / Off White', 'Wonder Beige / Wonder Beige / Wonder White', 'Cloud White / Cloud White / Silver Metallic', 'Wonder Beige / Wonder Taupe / Impact Orange', 'Grey Five / Grey Five / Pink Fusion', 'Off White / Off White / Wonder Quartz']",[],['Product code: HR0066'],['Reviews (467)'],['4.6'],['50'],['84.3148'],['90.6852']
12,"['M 4 / W 5', 'M 4.5 / W 5.5', 'M 5 / W 6', 'M 5.5 / W 6.5', 'M 6 / W 7', 'M 6.5 / W 7.5', 'M 7 / W 8', 'M 7.5 / W 8.5', 'M 8 / W 9', 'M 8.5 / W 9.5', 'M 9 / W 10', 'M 9.5 / W 10.5', 'M 10 / W 11', 'M 10.5 / W 11.5', 'M 11 / W 12', 'M 11.5 / W 12.5', 'M 12 / W 13', 'M 12.5 / W 13.5', 'M 13 / W 14', 'M 14 / W 15']","['Off White / Cream White / Shadow Green', 'Crystal White / Off White / Core Black', 'Core Black / Core Black / Carbon', 'Off White / Cream White / Olive Strata S23', 'Off White / Silver Metallic / Sandy Beige', 'Crystal White / Grey / Off White', 'Off White / Cream White / Royal Blue', 'Wonder Quartz S23 / Wonder Quartz S23 / Wonder Taupe S23']",[],['Product code: HQ6787'],['Reviews (373)'],['4.7'],['53.7534'],['85.2547'],['92.0241']
13,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '10']","['Cloud White / Core Black / Grey Six', 'Cloud White / Core Black / Cloud White', 'Cloud White / Core Black / Cloud White', 'Cloud White / Cloud White / Cloud White', 'Cloud White / Copper Metallic / Core Black', 'Cloud White / Off White / Crystal White', 'Cloud White / Night Sky / Green', 'Magic Beige F22 / Magic Beige F22 / Cloud White', 'Cloud White / Magic Lime S22 / Cloud White', 'Cloud White / Wonder White F21 / Off White', 'Cloud White / Semi Lucid Blue S23 / Gold Metallic', 'Sand Strata / Wonder Taupe / Core Black', 'Cloud White / Wonder White F21 / Better Scarlet S23', 'Cloud White / Cloud White / Core Black', 'Core Black / Core Black / Cloud White', 'Core Black / Glow Blue / Off White', 'Core Black / Energy Ink / Silver Metallic', 'Cloud White / Orange / Royal Blue', 'Cloud White / Clear Pink / Semi Court Green', 'Off White / Core Black / Off White', 'Core Black / Off White / Magic Beige', 'Maroon / Wonder White / Maroon', 'Earth Strata / Wonder White / Earth Strata', 'Cloud White / Bright Red / Wonder Clay F23']",[],['Product code: IF7676'],['Reviews (11277)'],['4.7'],['55.7318'],['80.167'],['86.5473']
14,"['5.5', '6.5', '7.5', '8.5', '9.5']","['Wonder Taupe S23 / Wonder Taupe S23 / Core Black', 'Silver Metallic / Silver Metallic / Core Black', 'Silver Green S23 / Silver Green S23 / Core Black', 'Pulse Yellow F21 / Pulse Yellow F21 / Core Black', 'Core Black / Core Black / Grey Six', 'Halo Green S21 / Core Black / Halo Green S21', 'Collegiate Green / Core Black / Collegiate Green']",[],['Product code: IG2682'],['Reviews (167)'],['4.8'],['52.994'],['88.9222'],['92.3653']
15,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Pulse Mint / Zero Metalic / Lucid Fuchsia', 'Grey One / Silver Metallic / Silver Dawn', 'Core Black / Cloud White / Carbon', 'Cloud White / Core Black / Arctic Fusion', 'Wonder Blue / Lucid Lemon / Arctic Night', 'Silver Violet / Zero Metalic / Silver Dawn', 'Light Aqua / Carbon / Solar Red', 'Chalk White / Silver Metallic / Wonder Blue']",[],['Product code: ID6933'],['Reviews (158)'],['4.6'],['47.6266'],['83.8608'],['91.2975']
16,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5']","['Cloud White / Core Black / Grey Six', 'Cloud White / Core Black / Cloud White', 'Cloud White / Core Black / Cloud White', 'Cloud White / Cloud White / Cloud White', 'Cloud White / Copper Metallic / Core Black', 'Cloud White / Off White / Crystal White', 'Cloud White / Night Sky / Green', 'Magic Beige F22 / Magic Beige F22 / Cloud White', 'Cloud White / Magic Lime S22 / Cloud White', 'Cloud White / Wonder White F21 / Off White', 'Cloud White / Semi Lucid Blue S23 / Gold Metallic', 'Sand Strata / Wonder Taupe / Core Black', 'Cloud White / Wonder White F21 / Better Scarlet S23', 'Cloud White / Cloud White / Core Black', 'Core Black / Core Black / Cloud White', 'Core Black / Glow Blue / Off White', 'Core Black / Energy Ink / Silver Metallic', 'Cloud White / Orange / Royal Blue', 'Cloud White / Clear Pink / Semi Court Green', 'Off White / Core Black / Off White', 'Core Black / Off White / Magic Beige', 'Maroon / Wonder White / Maroon', 'Earth Strata / Wonder White / Earth Strata', 'Cloud White / Bright Red / Wonder Clay F23']",[],['Product code: IE3000'],['Reviews (11277)'],['4.7'],['55.7318'],['80.167'],['86.5473']
17,"['M 5 / W 6', 'M 6 / W 7', 'M 6.5 / W 7.5', 'M 7 / W 8', 'M 7.5 / W 8.5', 'M 8 / W 9', 'M 8.5 / W 9.5', 'M 9 / W 10', 'M 9.5 / W 10.5', 'M 10 / W 11', 'M 10.5 / W 11.5', 'M 11 / W 12', 'M 11.5 / W 12.5', 'M 12 / W 13', 'M 12.5 / W 13.5', 'M 13 / W 14', 'M 14 / W 15']","['Grey Three / Grey Three / Grey Two', 'Core Black / Grey Three / Carbon', 'Core Black / Core Black / Solar Red', 'Core Black / Core Black / Solar Gold', 'Shadow Navy / Shadow Navy / Acid Orange', 'Cloud White / Zero Metalic / Crystal White', 'Grey One / Cloud White / Solar Red', 'Silver Violet S23 / Silver Violet S23 / Silver Dawn S23', 'Core Black / Core Black / Solar Red', 'Core Black / Core Black / Carbon', 'Grey One / Silver Metallic / Core White', 'Core Black / Core Black / Coral Fusion', 'Orange / Orange / Core Black', 'Aluminium / Off White / Wonder Beige', 'Cloud White / Cloud White / Lucid Pink', 'Shadow Navy / Shadow Navy / Silver Metallic', 'Core Black / Core Black / Grey Six', 'Olive Strata / Core Black / Silver Pebble']",[],['Product code: IG2372'],['Reviews (193)'],['4.4'],['56.3472'],['76.2953'],['81.9948']
18,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Core Black / Cloud White / Cloud White', 'Core Black / Grey Two / Cloud White', 'Cloud White / Grey Two / Cloud White', 'Core Black / Core Black / Carbon', 'Off White / Acid Orange / Core Black', 'Dash Grey / Silver Violet / Silver Dawn', 'Aluminium / Putty Grey / Silver Pebble', 'Grey Two / Charcoal Solid Grey / Silver Metallic']",[],['Product code: ID4430'],['Reviews (326)'],['4.4'],['50.6135'],['83.0521'],['86.7331']
19,"['M 5 / W 6', 'M 6 / W 7', 'M 7 / W 8', 'M 7.5 / W 8.5', 'M 8 / W 9', 'M 8.5 / W 9.5', 'M 9 / W 10', 'M 9.5 / W 10.5', 'M 10 / W 11', 'M 10.5 / W 11.5', 'M 11 / W 12', 'M 11.5 / W 12.5', 'M 12 / W 13', 'M 12.5 / W 13.5', 'M 13 / W 14']","['Collegiate Green / Cloud White / Bold Gold', 'Cloud White / Cloud White / Gold Metallic', 'Crew Blue S21 / Preloved Red S23 / Dark Blue', 'Core Black / Core Black / Gold Metallic', 'Collegiate Burgundy / Cloud White / Collegiate Navy', 'Cloud White / Better Scarlet S23 / Cloud White', 'Cloud White / Blue / Cloud White', 'Cloud White / Green / Cloud White', 'Grey Four / Grey Four / Core Black', 'Cloud White / Core Black / Gold Metallic', 'Shadow Olive / Shadow Olive / Core Black', 'Core Black / Cloud White / Gold Metallic']",[],['Product code: IF8114'],['Reviews (152)'],['4.8'],['53.9474'],['81.4145'],['92.4342']
