,product_code,count_of_sizes,colors
71,396463_07,13,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']"
72,378482_02,12,"['PUMA Black-Koral Ice-Speed Green-PUMA Silver', 'Koral Ice-Speed Green']"
73,393078_01,19,['Sedate Gray-Pinktastic']
74,377746_05,12,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']"
75,309758_01,12,"['PUMA White-Cherry Tomato', 'Cherry Tomato-PUMA Black']"
76,395461_11,12,['PUMA White-Frosty Pink']
77,378823_01,12,['PUMA Black-PUMA White-Dark Coal']
78,393326_01,17,['Persian Blue-Orange Brick']
79,390932_01,12,"['PUMA White-PUMA Black', 'PUMA Black-PUMA White', 'Warm White-Yellow Burst-Parakeet Green']"
80,307826_02,19,"['PUMA Black-Warm White', 'Rosso Corsa-Warm White']"
81,307826_01,19,"['PUMA Black-Warm White', 'Rosso Corsa-Warm White']"
82,378688_02,12,"['PUMA Black-PUMA White', 'PUMA White-Speed Green', 'PUMA Black-Bold Blue-Future Pink']"
83,378906_01,14,['PUMA Black-Koral Ice-Speed Green']
84,393314_02,16,['Sedate Gray-Sedate Gray']
85,378482_01,12,"['PUMA Black-Koral Ice-Speed Green-PUMA Silver', 'Koral Ice-Speed Green']"
86,378456_03,12,"['PUMA Black-PUMA Silver', 'PUMA Black-Peach Smoothie-Speed Green', 'Fire Orchid-Ultra Blue']"
87,309758_02,12,"['PUMA White-Cherry Tomato', 'Cherry Tomato-PUMA Black']"
88,394508_03,12,['PUMA Black-Intense Lavender']
89,396449_01,9,['Pristine-Prairie Tan']
90,378688_03,12,"['PUMA Black-PUMA White', 'PUMA White-Speed Green', 'PUMA Black-Bold Blue-Future Pink']"
91,394749_01,12,['PUMA White-Warm White']
92,396463_01,0,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']"
93,394786_04,12,"['PUMA Black', 'Chocolate']"
94,378437_02,11,"['Vibrant Red', 'Dusty Tan']"
95,378437_01,12,"['Vibrant Red', 'Dusty Tan']"
96,396463_09,0,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']"
97,393764_03,12,"['Frosted Ivory-PUMA White', 'PUMA White-Icy Blue-Warm White']"
98,377540_05,11,"['Icy Blue-Ultra Blue', 'Ash Gray-PUMA White-Yellow Burst-Vivid Violet']"
99,393764_02,12,"['Frosted Ivory-PUMA White', 'PUMA White-Icy Blue-Warm White']"
100,378454_01,12,['PUMA Black-Strawberry Burst-Yellow Blaze']
101,376169_10,12,"['Puma Black-Metallic Gold', 'PUMA White-Fire Orchid-PUMA Black', 'PUMA Black-Icy Blue-Speed Green']"
102,377746_01,12,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']"
103,378096_02,19,['Ultra Orange-PUMA Black']
104,377746_03,12,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']"
105,107356_03,13,['Persian Blue-PUMA White-Pro Green']
106,379114_01,11,['Warm White-Bright Melon']
107,378791_01,12,['PUMA Black-Cool Dark Gray-PUMA Silver']
108,377316_07,12,"['Icy Blue-PUMA Silver-Regal Blue', 'Fire Orchid-PUMA Silver-Icy Blue']"
109,377063_04,12,['PUMA Black-Fire Orchid']
110,377855_01,12,"['PUMA Black-Platinum Gray', 'Ash Gray-Alpine Snow-Koral Ice', 'Dark Jasper-PUMA Black-Fire Orchid']"
111,377839_02,12,['Astro Red-Fire Orchid-PUMA Black']
112,378456_05,12,"['PUMA Black-PUMA Silver', 'PUMA Black-Peach Smoothie-Speed Green', 'Fire Orchid-Ultra Blue']"
113,377316_09,12,"['Icy Blue-PUMA Silver-Regal Blue', 'Fire Orchid-PUMA Silver-Icy Blue']"
114,377508_04,12,['PUMA Black-Purple Pop-Yellow Burst']
115,378684_01,12,['PUMA Black-Strawberry Burst-Yellow Blaze']
116,397858_01,12,['Pink Delight-PUMA Green-Gum']
117,396383_02,0,['Eucalyptus-PUMA White: out of stock']
118,377855_06,12,"['PUMA Black-Platinum Gray', 'Ash Gray-Alpine Snow-Koral Ice', 'Dark Jasper-PUMA Black-Fire Orchid']"
119,396463_05,12,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']"
120,379288_01,12,['PUMA Black']
121,390932_09,12,"['PUMA White-PUMA Black', 'PUMA Black-PUMA White', 'Warm White-Yellow Burst-Parakeet Green']"
122,307761_01,11,['PUMA Black-Cool Cobalt-Pop Red']
123,307685_04,12,"['Ash Gray-PUMA Black-Koral Ice', 'Neon Sun-Alpine Snow-PUMA Black']"
124,307685_03,12,"['Ash Gray-PUMA Black-Koral Ice', 'Neon Sun-Alpine Snow-PUMA Black']"
125,377942_01,13,['PUMA Black-Cool Dark Gray']
126,377787_03,13,"['Fire Orchid-Ultra Blue-PUMA White', 'PUMA White-Fire Orchid-Ultra Blue-PUMA Black']"
127,377746_07,0,"['PUMA Black-Cool Dark Gray-PUMA Silver', 'Cool Dark Gray-Koral Ice', 'Eucalyptus-Alpine Snow-PUMA Black', 'Alpine Snow-Ultra Blue-Yellow Burst', 'Active Red-Ocean Tropic-Lime Pow: out of stock']"
128,395997_01,0,['Pure Green-Green Illusion: out of stock']
129,378551_04,12,['Koral Ice-Cool Mid Gray-PUMA Black']
130,379115_01,14,['Ghost Pepper-PUMA Black-Pink Glimmer']
131,378435_02,11,['Dusty Tan']
132,376592_05,11,['Fire Orchid-Ultra Blue-PUMA White']
133,377855_08,12,"['PUMA Black-Platinum Gray', 'Ash Gray-Alpine Snow-Koral Ice', 'Dark Jasper-PUMA Black-Fire Orchid']"
134,378688_01,14,"['PUMA Black-PUMA White', 'PUMA White-Speed Green', 'PUMA Black-Bold Blue-Future Pink']"
135,397647_01,9,"['PUMA White-Vapor Gray-Gum', 'PUMA Black-Feather Gray-Gum']"
136,379040_01,12,['Yellow Burst-Racing Blue-Pink Glimmer']
137,396463_02,13,"['Pelé Yellow-Club Red: out of stock', 'Fresh Mint-Fast Pink', 'Vine-Clementine', 'Cobalt Glaze-PUMA White', 'Club Red-Club Navy: out of stock']"
138,376855_25,13,"['PUMA Black-Fire Orchid', 'Fire Orchid-PUMA Black-Icy Blue', 'Poison Pink-PUMA Black-PUMA White']"
139,383157_02,12,['Puma Black']
140,377787_02,13,"['Fire Orchid-Ultra Blue-PUMA White', 'PUMA White-Fire Orchid-Ultra Blue-PUMA Black']"
141,376169_01,14,"['Puma Black-Metallic Gold', 'PUMA White-Fire Orchid-PUMA Black', 'PUMA Black-Icy Blue-Speed Green']"
142,376311_04,9,"['For All Time Red-Ultra Blue', 'PUMA White-Fire Orchid']"
143,376946_08,12,['Adriatic-PUMA Black-Ravish']
144,379082_05,23,"['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']"
145,379082_04,23,"['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']"
146,376311_05,9,"['For All Time Red-Ultra Blue', 'PUMA White-Fire Orchid']"
147,379082_03,23,"['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']"
148,379082_02,23,"['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']"
149,379082_01,22,"['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']"
150,379082_06,23,"['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']"
151,396444_01,12,['Warm White-Toasted Almond-Cashew']
152,393084_01,12,['Bright Melon-Frosted Ivory']
153,397643_07,10,"['Fresh Mint-Fast Pink', 'Cobalt Glaze-PUMA White']"
154,379181_01,19,['Frosted Ivory-Pebble']
155,378469_01,10,['Koral Ice-Speed Green']
156,310565_01,20,['Electric Peppermint-PUMA Gold']
157,394175_01,19,['Vine-Frosted Ivory']
158,376169_12,9,"['Puma Black-Metallic Gold', 'PUMA White-Fire Orchid-PUMA Black', 'PUMA Black-Icy Blue-Speed Green']"
159,394174_01,19,['Frosted Ivory-Eggnog']
160,387468_06,9,['PUMA White-Icy Blue']
161,377892_10,0,[]
162,195027_02,12,['Puma Black-Gold']
163,382829_01,12,"['Puma Black', 'Taffy']"
164,392699_01,9,['PUMA White-Frosted Ivory-Puma Team Gold']
165,396073_01,12,['PUMA White-Peach Smoothie-Flaxen']
166,394750_02,12,['Feather Gray-Warm White']
167,382829_04,12,"['Puma Black', 'Taffy']"
168,396672_01,19,['Inky Blue-PUMA Black-Sand Dune']
169,392514_01,12,['Hot Heat-Frosted Ivory']
170,191667_02,12,['Puma White-Metallic Gold']
171,381410_85,10,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']"
172,389082_01,5,"['PUMA Black-PUMA Black', 'Pristine-Pristine']"
173,393771_01,12,['Island Pink-PUMA White']
174,393201_03,12,"['Chocolate Chip', 'PUMA Black']"
175,393085_01,12,['PUMA Black']
176,393031_02,12,"['Warm White-Granola', 'Ash Gray-Frosted Ivory']"
177,393031_01,12,"['Warm White-Granola', 'Ash Gray-Frosted Ivory']"
178,393343_01,12,['Parisian Night-Pristine-Warm Earth']
179,393201_02,12,"['Chocolate Chip', 'PUMA Black']"
180,389876_02,11,['PUMA White-Warm White-Pearl Pink']
181,387150_01,12,['Puma White-Nimbus Cloud']
182,393987_01,12,['Ghost Pepper-Frosty Pink']
183,107507_01,13,"['PUMA White-PUMA Black-Fire Orchid', 'Ultra Blue-PUMA White-Pro Green']"
184,107262_02,13,['PUMA White-PUMA Black-Fast Yellow-Electric Peppermint']
185,389844_01,11,['Warm White-PUMA White']
186,394885_01,12,['Warm White-PUMA Black']
187,395480_01,12,['PUMA Black-Hot Heat']
188,386270_15,12,"['Puma White-Marshmallow-Purple Charcoal', 'PUMA White-Lavender Fog-Anise Flower', 'PUMA White-Spring Lavender', 'PUMA White-Peach Smoothie']"
189,107565_01,13,"['Silver Sky-PUMA Black-Fire Orchid', 'Alpine Snow-Asphalt-Yellow Blaze']"
190,389082_02,5,"['PUMA Black-PUMA Black', 'Pristine-Pristine']"
191,395119_01,12,['Ash Gray-Concrete Gray-Sedate Gray-Alpine Snow-PUMA Silver']
192,389853_04,9,"['PUMA White-Marshmallow', 'PUMA White-Warm White-Dark Jasper']"
193,393752_01,11,"['Flat Dark Gray-Frosted Ivory', 'Concrete Gray-Frosted Ivory']"
194,394009_01,12,['Frosty Pink-Ghost Pepper']
195,389894_02,12,['Granola-Day Dream']
196,393752_02,13,"['Flat Dark Gray-Frosted Ivory', 'Concrete Gray-Frosted Ivory']"
197,392884_02,12,['Glowing Pink-Desert Clay-PUMA White']
198,386270_09,10,"['Puma White-Marshmallow-Purple Charcoal', 'PUMA White-Lavender Fog-Anise Flower', 'PUMA White-Spring Lavender', 'PUMA White-Peach Smoothie']"
199,391096_02,10,['PUMA White-Pearl Pink']
200,391098_07,12,"['PUMA White-Warm White', 'PUMA White-Summer Green']"
201,393032_01,12,"['Frosty Pink-Flaxen', 'Warm White-Spring Fern']"
202,307874_01,11,['PUMA White-Pop Red']
203,391013_01,12,"['PUMA Black-Vivid Violet', 'PUMA White-Vivid Violet']"
204,391086_01,12,['PUMA White']
205,393777_01,12,['Toasted-PUMA White']
206,393032_02,12,"['Frosty Pink-Flaxen', 'Warm White-Spring Fern']"
207,391013_02,12,"['PUMA Black-Vivid Violet', 'PUMA White-Vivid Violet']"
208,393193_01,11,['Granola-PUMA White']
209,391098_01,9,"['PUMA White-Warm White', 'PUMA White-Summer Green']"
210,389893_01,12,['PUMA White-Ravish']
211,387289_01,12,['Puma Black-Poppy Red-Blue Glow']
212,396115_01,12,['Sand Dune-Green Fog-Fall Foliage']
213,381410_73,12,"['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']"
214,383380_06,7,['Fast Yellow-Marble-Warm White']
215,384412_02,11,['Puma Black']
216,391226_01,9,['PUMA White-Pristine']
217,107329_01,13,['PUMA White-PUMA Black-Spring Lavender-Minty Burst']
218,387157_01,9,['Puma White-Nimbus Cloud']
219,386270_14,9,"['Puma White-Marshmallow-Purple Charcoal', 'PUMA White-Lavender Fog-Anise Flower', 'PUMA White-Spring Lavender', 'PUMA White-Peach Smoothie']"
220,391570_01,11,['Vine-Pristine']
221,393402_03,10,['Dusty Tan-Granola-PUMA White']
222,389161_01,11,['Platinum Gray-Platinum Gray']
