,count_of_sizes,colors,color,product_code,reviews,star_rating,Size,comfort,quality
0,"['M 5.5 / W 6.5', 'M 6 / W 7', 'M 7 / W 8', 'M 7.5 / W 8.5', 'M 8 / W 9', 'M 9 / W 10', 'M 10 / W 11']","['Grey Two / Arctic Night F23 / Lucid Lemon F23', 'Crystal Jade S24 / Aurora Met. S24 / Green Spark S24']",[],['Product code: HP6846'],['Reviews (118)'],['4.6'],['47.2458'],['76.9068'],['89.4068']
1,"['M 11.5 / W 12.5', 'M 12 / W 13', 'M 12.5 / W 13.5', 'M 13 / W 14', 'M 13.5 / W 14.5', 'M 14 / W 15', 'M 15 / W 16']","['Core Black / Gold Metallic / Tribe Purple', 'Core Black / Cloud White / Grey Three', 'Cloud White / Core Black / Off White', 'Cloud White / Team Collegiate Red / Cloud White', 'Team Solar Orange / Core Black / Team Solar Green']",[],['Product code: HQ2074'],['Reviews (351)'],['4.5'],['44.5157'],['79.8433'],['88.604']
2,"['M 8 / W 9', 'M 11 / W 12', 'M 14 / W 15']",[],['Light Brown / Brown Black / Light Brown'],['Product code: GY2555'],['Reviews (33)'],['4.7'],['53.0303'],['80.303'],['93.1818']
3,"['M 5 / W 6', 'M 6 / W 7', 'M 7 / W 8', 'M 8 / W 9', 'M 9 / W 10', 'M 10 / W 11', 'M 11 / W 12', 'M 12 / W 13']","['Sand Strata / Sand Strata / Earth Strata', 'Carbon / Carbon / Core Black', 'Dash Grey / Dash Grey / Grey Three', 'Wonder Clay / Wonder Clay / Clay Strata']",[],['Product code: ID7189'],['Reviews (483)'],['4.4'],['46.5321'],['76.0352'],['86.853']
4,"['5', '5.5', '6', '6.5', '7', '7.5', '8', '9', '9.5', '10', '10.5', '11']","['Core Black / Crystal White / Turbo', 'Blue Dawn S23 / Blue Fusion Met. S23 / Coral Fusion S23', 'Acid Orange S21 / Wonder White F21 / Silver Violet S23']",[],['Product code: HR1152'],['Reviews (7)'],['3.9'],['32.1429'],['67.8571'],['82.1429']
5,"['6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",[],['Cloud White / Violet Fusion S23 / Silver Metallic'],['Product code: HQ8390'],['Reviews (38)'],['4.6'],['46.0526'],['83.5526'],['90.7895']
6,"['M 7 / W 8', 'M 13 / W 14']","['Cloud White / Platinum Metallic / Cloud White', 'Legend Ink / Bright Cyan / Legend Ink', 'Core Black / Gold Metallic / Core Black', 'Cloud White / Core Black / Cloud White', 'Dark Blue / Cloud White / Dark Blue', 'Core Black / Cloud White / Core Black', 'Core Black / Core Black / Core Black', 'Off White / Off White / Off White', 'Core Black / Core Black / Core Black', 'Olive Strata S23 / Olive Strata S23 / Olive Strata S23', 'Pink Fusion F23 / Pink Fusion F23 / Pink Fusion F23']",[],['Product code: EG1758'],['Reviews (10618)'],['4.5'],['41.3277'],['76.6034'],['85.0584']
7,"['M 9.5 / W 10.5', 'M 12.5 / W 13.5', 'M 13 / W 14']","['Core Black / Cloud White / Off White', 'Cloud White / Cloud White / Off White', 'Victory Crimson / Orbit Indigo F21 / Off White']",[],['Product code: EF1883'],['Reviews (214)'],['4.5'],['58.1776'],['74.6495'],['84.229']
8,"['M 8 / W 9', 'M 10.5 / W 11.5', 'M 12.5 / W 13.5', 'M 13 / W 14', 'M 14 / W 15']","['Wonder Steel F22 / Cloud White / Cloud White', 'Cloud White / Cloud White / Core Black', 'Core Black / Cloud White / Core Black', 'Cloud White / Team Navy Blue 2 / Better Scarlet S23', 'Team Navy Blue 2 / Better Scarlet S23 / Cloud White', 'Lucid Blue S23 / Off White / Pulse Mint S22', 'Grey One / Off White / Lucid Fuchsia S23']",[],['Product code: GY5597'],['Reviews (565)'],['4.4'],['47.8242'],['74.3339'],['85.1327']
9,"['M 6.5 / W 7.5', 'M 7 / W 8']","['Core Black / Cloud White / Team Shock Pink 2', 'Cloud White / Cloud White / Core Black', 'Core Black / Core Black / Cloud White', 'Team Solar Orange / Core Black / Core Black', 'Cloud White / Core Black / Lucid Lemon', 'Bright Royal / Cloud White / Bliss Blue']",[],['Product code: GW4571'],['Reviews (135)'],['4.6'],['50.1852'],['80.1852'],['85']
