,count_of_sizes,colors,product_code,reviews,quality
0,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14', '14.5', '15', '15.5', '16', '16.5']","['PUMA White-Platinum Gray', 'PUMA White-PUMA Black', 'PUMA White-For All Time Red', 'PUMA White-Clyde Royal', 'PUMA Black-PUMA White', 'Platinum Gray-PUMA White']",['Style: 379082_06'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
1,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Warm White-Toasted Almond-Cashew'],['Style: 396444_01'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
2,"['8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5']",['Bright Melon-Frosted Ivory'],['Style: 393084_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
3,"['6', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Fresh Mint-Fast Pink', 'Cobalt Glaze-PUMA White']",['Style: 397643_07'],['Reviews (2)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
4,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13.5', '14.5', '15.5', '16.5']",['Frosted Ivory-Pebble'],['Style: 379181_01'],['Reviews (2)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
5,"['5.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Koral Ice-Speed Green'],['Style: 378469_01'],['Reviews (3)Average: 3.7 / 5Write A ReviewRead All ReviewsRead All'],['50.0']
6,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5', '15.5', '16.5']",['Electric Peppermint-PUMA Gold'],['Style: 310565_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
7,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13.5', '14.5', '15.5', '16.5']",['Vine-Frosted Ivory'],['Style: 394175_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
8,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma Black-Metallic Gold', 'PUMA White-Fire Orchid-PUMA Black', 'PUMA Black-Icy Blue-Speed Green']",['Style: 376169_12'],['Reviews (6)Average: 4.5 / 5Write A ReviewRead All ReviewsRead All'],['80.0']
9,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13.5', '14.5', '15.5', '16.5']",['Frosted Ivory-Eggnog'],['Style: 394174_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
10,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA White-Icy Blue'],['Style: 387468_06'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
11,[],[],['Style: 377892_10'],['Reviews (17)Average: 4.8 / 5Write A ReviewRead All ReviewsRead All'],['93.3']
12,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Puma Black-Gold'],['Style: 195027_02'],['Reviews (88)Average: 4.5 / 5Write A ReviewRead All ReviewsRead All'],[]
13,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma Black', 'Taffy']",['Style: 382829_01'],['Reviews (24)Average: 4.0 / 5Write A ReviewRead All ReviewsRead All'],['62.5']
14,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA White-Frosted Ivory-Puma Team Gold'],['Style: 392699_01'],['Reviews (3)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
15,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA White-Peach Smoothie-Flaxen'],['Style: 396073_01'],['Reviews (2)Average: 3.0 / 5Write A ReviewRead All ReviewsRead All'],['50.0']
16,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Feather Gray-Warm White'],['Style: 394750_02'],['Reviews (6)Average: 4.3 / 5Write A ReviewRead All ReviewsRead All'],['66.7']
17,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma Black', 'Taffy']",['Style: 382829_04'],['Reviews (24)Average: 4.0 / 5Write A ReviewRead All ReviewsRead All'],['62.5']
18,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '13.5', '14.5', '15.5']",['Inky Blue-PUMA Black-Sand Dune'],['Style: 396672_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
19,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Hot Heat-Frosted Ivory'],['Style: 392514_01'],['Reviews (3)Average: 2.3 / 5Write A ReviewRead All ReviewsRead All'],['50.0']
20,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Puma White-Metallic Gold'],['Style: 191667_02'],['Reviews (50)Average: 4.8 / 5Write A ReviewRead All ReviewsRead All'],['93.8']
21,"['6', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Puma Black-Puma White', 'High Risk Red-Puma White', 'Marshmallow-Puma White', 'Lily Pad-Lily Pad', 'Icy Blue-PUMA White', 'Granola-Warm White']",['Style: 381410_85'],['Reviews (160)Average: 4.2 / 5Write A ReviewRead All ReviewsRead All'],['82.3']
22,"['6', '7', '8', '9', '10']","['PUMA Black-PUMA Black', 'Pristine-Pristine']",['Style: 389082_01'],['Reviews (12)Average: 3.5 / 5Write A ReviewRead All ReviewsRead All'],['72.7']
23,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['Island Pink-PUMA White'],['Style: 393771_01'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
24,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Chocolate Chip', 'PUMA Black']",['Style: 393201_03'],['Reviews (1)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
25,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']",['PUMA Black'],['Style: 393085_01'],['Reviews (2)Average: 5.0 / 5Write A ReviewRead All ReviewsRead All'],['100.0']
26,"['5.5', '6', '6.5', '7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11']","['Warm White-Granola', 'Ash Gray-Frosted Ivory']",['Style: 393031_02'],['Reviews (0)Average: 0.0 / 5Write The First Review'],[]
