,ShoeName,URL,no_colors,price_reduce,price,Category,Brand,product_code
40,Nike Waffle Debut,https://www.nike.com/t/waffle-debut-womens-shoes-5Rl1KL/DH9523-100,5,63.97,75,Women,Nike,DH9523-100
41,Nike Pegasus Trail 4,https://www.nike.com/t/pegasus-trail-4-womens-trail-running-shoes-CQT261/DJ6159-002,9,105.97,140,Women,Nike,DJ6159-002
42,Nike InfinityRN 4 GORE-TEX,https://www.nike.com/t/infinityrn-4-gore-tex-womens-waterproof-road-running-shoes-QwxP9x/FB2197-600,4,180.0,180,Women,Nike,FB2197-600
43,Nike Air Force 1 '07,https://www.nike.com/t/air-force-1-07-womens-shoes-b19lqD/DD8959-100,5,115.0,115,Women,Nike,DD8959-100
44,Nike Air Force 1 Shadow,https://www.nike.com/t/air-force-1-shadow-womens-shoes-kTgn9J/CI0919-100,14,135.0,135,Women,Nike,CI0919-100
45,Nike Pegasus Trail 4 GORE-TEX,https://www.nike.com/t/pegasus-trail-4-gore-tex-womens-waterproof-trail-running-shoes-9knDsQ/DJ7929-001,10,160.0,160,Women,Nike,DJ7929-001
46,Nike Alphafly 2,https://www.nike.com/t/alphafly-2-womens-road-racing-shoes-6grcms/DN3559-003,4,285.0,285,Women,Nike,DN3559-003
47,Nike Blazer Low Platform,https://www.nike.com/t/blazer-low-platform-womens-shoes-X8Nl4M/DJ0292-101,4,100.0,100,Women,Nike,DJ0292-101
48,Nike Cortez,https://www.nike.com/t/cortez-womens-shoes-tZtTd5/DN1791-100,5,90.0,90,Women,Nike,DN1791-100
49,Nike Kiger 9,https://www.nike.com/t/kiger-9-womens-trail-running-shoes-bsbcr4/DR2694-500,7,120.97,160,Women,Nike,DR2694-500
50,Nike Wildhorse 8,https://www.nike.com/t/wildhorse-8-womens-trail-running-shoes-TlD93l/DR2689-601,5,119.97,140,Women,Nike,DR2689-601
51,Nike Juniper Trail 2 GORE-TEX,https://www.nike.com/t/juniper-trail-2-gore-tex-womens-waterproof-trail-running-shoes-XmqHnc/FB2065-500,3,110.97,130,Women,Nike,FB2065-500
52,Nike Zegama,https://www.nike.com/t/zegama-womens-trail-running-shoes-FWN4lV/DH0625-500,7,127.97,170,Women,Nike,DH0625-500
53,Nike Calm,https://www.nike.com/t/calm-womens-slides-7XtJSh/DX4816-200,4,37.97,50,Women,Nike,DX4816-200
54,Nike Air Huarache Craft,https://www.nike.com/t/air-huarache-craft-womens-shoes-Cp4dSR/DQ8031-201,6,97.97,130,Women,Nike,DQ8031-201
55,Nike SuperRep 4 NN Premium,https://www.nike.com/t/superrep-4-nn-premium-womens-workout-shoes-Q9thvJ/FB7154-001,5,127.97,150,Women,Nike,FB7154-001
56,Nike MC Trainer 2,https://www.nike.com/t/mc-trainer-2-womens-workout-shoes-lGD4Lj/DM0824-003,3,68.97,80,Women,Nike,DM0824-003
57,Nike Air VaporMax Plus,https://www.nike.com/t/air-vapormax-plus-womens-shoes-xbt7zf/FQ8895-100,8,210.0,210,Women,Nike,FQ8895-100
58,Nike Air Max Plus,https://www.nike.com/t/air-max-plus-womens-shoes-47Sxw5/FV0952-100,4,157.97,185,Women,Nike,FV0952-100
59,Nike Air Force 1 '07,https://www.nike.com/t/air-force-1-07-womens-shoes-2pN8fN/FB8251-100,1,106.97,125,Women,Nike,FB8251-100
60,Nike Burrow,https://www.nike.com/t/burrow-womens-slippers-Mwlm1j/FJ6041-600,3,51.97,60,Women,Nike,FJ6041-600
61,Chuck Taylor All Star Lift Platform Canvas,https://www.nike.com/t/chuck-taylor-all-star-lift-platform-canvas-womens-shoes-WnnZFz/560845F-001,1,75.0,75,Women,Nike,560845F-001
62,Chuck Taylor All Star Lift Platform Canvas,https://www.nike.com/t/chuck-taylor-all-star-lift-platform-canvas-womens-shoes-1kxzVW/560846F-102,1,75.0,75,Women,Nike,560846F-102
63,Nike Air Force 1 '07,https://www.nike.com/t/air-force-1-07-womens-shoes-PqdxJw/FD1448-664,6,110.0,110,Women,Nike,FD1448-664
64,Air Jordan 1 Low,https://www.nike.com/t/air-jordan-1-low-womens-shoes-rJrHLw/DC0774-080,6,115.0,115,Women,Nike,DC0774-080
65,Air Jordan 1 Elevate Low,https://www.nike.com/t/air-jordan-1-elevate-low-womens-shoes-Q630Pk/DH7004-600,16,81.97,135,Women,Nike,DH7004-600
66,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-Kg3nnj/BQ6472-414,9,125.0,125,Women,Nike,BQ6472-414
67,Nike Dunk Low,https://www.nike.com/t/dunk-low-womens-shoes-0lZ7gG/DD1503-118,2,115.0,115,Women,Nike,DD1503-118
68,Air Jordan 1 Elevate High,https://www.nike.com/t/air-jordan-1-elevate-high-womens-shoes-BCspwg/DN3253-061,6,87.97,145,Women,Nike,DN3253-061
69,Nike Court Vision Alta,https://www.nike.com/t/court-vision-alta-womens-shoes-k5tLbc/CW6536-600,4,68.97,85,Women,Nike,CW6536-600
70,Nike Air Max Correlate,https://www.nike.com/t/air-max-correlate-womens-shoes-29Vjp0/511417-136,3,100.0,100,Women,Nike,511417-136
71,Air Jordan 1 Low SE,https://www.nike.com/t/air-jordan-1-low-se-womens-shoes-jxMXgH/DV0426-200,3,72.97,120,Women,Nike,DV0426-200
72,Nike Air Force 1 '07 Premium,https://www.nike.com/t/air-force-1-07-premium-womens-shoes-CrFc5p/DZ2786-400,3,110.97,130,Women,Nike,DZ2786-400
73,Nike Air Force 1 '07 Next Nature,https://www.nike.com/t/air-force-1-07-next-nature-womens-shoes-fvxZ0g/DC9486-100,4,97.97,115,Women,Nike,DC9486-100
74,Nike Dunk Low,https://www.nike.com/t/dunk-low-womens-shoes-hLKTKG/FQ8893-397,1,106.97,125,Women,Nike,FQ8893-397
75,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-womens-shoes-wkMdft/DV1302-100,6,81.97,135,Women,Nike,DV1302-100
76,Air Jordan 1 Low SE,https://www.nike.com/t/air-jordan-1-low-se-womens-shoes-SW3r5H/FV3623-151,1,125.0,125,Women,Nike,FV3623-151
77,Nike Dunk High 1985,https://www.nike.com/t/dunk-high-1985-shoes-L05QbB/DV1143-800,2,77.97,140,Women,Nike,DV1143-800
78,Nike Free Metcon 4,https://www.nike.com/t/free-metcon-4-womens-workout-shoes-pxHVt9/CZ0596-010,3,120.0,120,Women,Nike,CZ0596-010
79,Nike Revolution 6,https://www.nike.com/t/revolution-6-womens-road-running-shoes-6QLh9B/DC3729-003,2,46.97,70,Women,Nike,DC3729-003
80,Nike Waffle Debut Vintage,https://www.nike.com/t/waffle-debut-vintage-womens-shoes-rfRkv2/DX2931-400,4,64.97,80,Women,Nike,DX2931-400
81,Air Jordan 1 Zoom CMFT 2,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-womens-shoes-DdXxlf/DV1305-001,5,127.97,150,Women,Nike,DV1305-001
82,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-tXSJ73/DQ8426-106,2,106.97,125,Women,Nike,DQ8426-106
83,Nike Air Force 1 High,https://www.nike.com/t/air-force-1-high-womens-shoes-vBhHD4/DZ7338-001,3,62.97,125,Women,Nike,DZ7338-001
84,Nike Air Force 1 PLT.AF.ORM,https://www.nike.com/t/air-force-1-pltaform-womens-shoes-XL2m2Q/DJ9946-100,8,120.0,120,Women,Nike,DJ9946-100
85,Nike Revolution 5,https://www.nike.com/t/revolution-5-womens-road-running-shoes-hC41Vf/BQ3207-002,1,60.0,60,Women,Nike,BQ3207-002
86,Nike Free RN 2018,https://www.nike.com/t/free-rn-2018-womens-running-shoes-zE8Je3/942837-001,3,70.97,100,Women,Nike,942837-001
87,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-BVgBmq/DV0991-101,1,125.0,125,Women,Nike,DV0991-101
88,Nike Court Royale 2,https://www.nike.com/t/court-royale-2-womens-shoe-pgRlMB/DH3159-100,1,51.97,60,Women,Nike,DH3159-100
89,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-womens-shoes-0k55l8/FB9892-670,2,135.0,135,Women,Nike,FB9892-670
90,Nike Calm,https://www.nike.com/t/calm-mens-mules-m5tTKn/FD5130-200,2,60.0,60,Women,Nike,FD5130-200
91,Air Jordan 1 Low,https://www.nike.com/t/air-jordan-1-low-mens-shoes-0LXhbn/553558-136,3,115.0,115,Women,Nike,553558-136
92,Air Jordan 1 Mid,https://www.nike.com/t/air-jordan-1-mid-shoes-X5pM09/554724-136,3,125.0,125,Women,Nike,554724-136
93,"Air Jordan 1 High OG ""Mauve""",https://www.nike.com/t/air-jordan-1-high-og-mauve-mens-shoes-JHpxkn/DZ5485-105,1,180.0,180,Women,Nike,DZ5485-105
94,Air Jordan 1 Low SE Craft,https://www.nike.com/t/air-jordan-1-low-se-craft-mens-shoes-W9Kpp9/FD6819-300,1,125.0,125,Women,Nike,FD6819-300
95,Air Jordan XXXVII Low,https://www.nike.com/t/air-jordan-xxxvii-low-basketball-shoes-00ZHpg/DQ4122-100,3,96.97,175,Women,Nike,DQ4122-100
96,LeBron Witness 6,https://www.nike.com/t/lebron-witness-6-basketball-shoes-HXbMw7/CZ4052-101,8,73.97,105,Women,Nike,CZ4052-101
97,Air Jordan 1 Zoom CMFT 2,https://www.nike.com/t/air-jordan-1-zoom-cmft-2-mens-shoes-Tw02qw/DV1307-100,7,90.97,150,Women,Nike,DV1307-100
98,Air Jordan 1 Mid SE,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-vw6Hxn/DX4332-800,1,87.97,135,Women,Nike,DX4332-800
99,Nike Celso Girl,https://www.nike.com/t/celso-girl-womens-slides-9AwYMr/314870-011,1,19.97,26,Women,Nike,314870-011
100,Air Jordan 1 Retro High OG,https://www.nike.com/t/air-jordan-1-retro-high-og-womens-shoes-SsFGW3/FN6622-201,1,180.0,180,Women,Nike,FN6622-201
101,"Air Jordan 13 ""Wheat""",https://www.nike.com/t/air-jordan-13-wheat-mens-shoes-zp4pp0/414571-171,1,200.0,200,Women,Nike,414571-171
102,"Air Jordan 8 ""Winterized""",https://www.nike.com/t/air-jordan-8-winterized-mens-shoes-HBQzn3/FD1334-001,1,210.0,210,Women,Nike,FD1334-001
103,Air Jordan 1 Element,https://www.nike.com/t/air-jordan-1-element-shoes-Kcsdzl/DB2889-501,2,170.97,200,Women,Nike,DB2889-501
104,"Air Jordan 3 ""Fear""",https://www.nike.com/t/air-jordan-3-fear-mens-shoes-5M3ZlK/CT8532-080,2,210.0,210,Women,Nike,CT8532-080
105,Dunk High Warped Unlocked By You Greatest Gift,https://www.nike.com/u/custom-dunk-high-unlocked-warped-by-you-10001728/9866555322,1,165.0,165,Women,Nike,FZ4653-900
106,"Air Jordan 1 High OG ""Royal Reimagined""",https://www.nike.com/t/air-jordan-1-high-og-royal-reimagined-mens-shoes-gX9FS0/DZ5485-042,1,180.0,180,Women,Nike,DZ5485-042
107,"Tatum 1 ""Wave Runner""",https://www.nike.com/t/tatum-1-wave-runner-basketball-shoes-98vPwk/FV0169-400,2,120.0,120,Women,Nike,FV0169-400
108,"Jordan Why Not .6 ""Childhood""",https://www.nike.com/t/jordan-why-not-6-childhood-basketball-shoes-T5Gl76/DO7189-100,3,105.97,150,Women,Nike,DO7189-100
109,"Air Jordan 1 Low OG ""White/Red""",https://www.nike.com/t/air-jordan-1-low-og-white-red-mens-shoes-v0FbJt/CZ0790-161,1,140.0,140,Women,Nike,CZ0790-161
110,"Sabrina 1 ""Grounded""",https://www.nike.com/t/sabrina-1-grounded-basketball-shoes-f8jr2H/FQ3381-002,5,110.97,130,Women,Nike,FQ3381-002
111,"Luka 2 ""Trick Shot""",https://www.nike.com/t/luka-2-trick-shot-basketball-shoes-vcXFrk/DX8733-103,3,130.0,130,Women,Nike,DX8733-103
112,LeBron Witness 7,https://www.nike.com/t/lebron-witness-7-basketball-shoes-43zKtc/DM1123-100,6,64.97,105,Women,Nike,DM1123-100
113,Giannis Immortality 2,https://www.nike.com/t/giannis-immortality-2-basketball-shoes-X7xj7b/DM0825-101,8,72.97,85,Women,Nike,DM0825-101
114,"LeBron XXI ""Tahitian""",https://www.nike.com/t/lebron-xxi-tahitian-basketball-shoes-lnQSsH/FB2238-001,4,150.97,200,Women,Nike,FB2238-001
115,LeBron NXXT Gen,https://www.nike.com/t/lebron-nxxt-gen-basketball-shoes-55g4w1/DR8784-301,9,127.97,170,Women,Nike,DR8784-301
116,"Ja 1 ""Fly""",https://www.nike.com/t/ja-1-fly-basketball-shoes-bCx2W3/DR8785-002,5,102.97,120,Women,Nike,DR8785-002
117,Nike SB React Leo,https://www.nike.com/t/sb-react-leo-skate-shoes-fWzQ6w/DX4361-001,4,95.0,95,Women,Nike,DX4361-001
118,Nike SB Zoom Janoski OG+,https://www.nike.com/t/sb-zoom-janoski-og-shoes-p7gRgw/DV5475-300,3,95.0,95,Women,Nike,DV5475-300
119,Nike Zoom Superfly Elite 2,https://www.nike.com/t/zoom-superfly-elite-2-track-field-sprinting-spikes-Lj6WXS/CD4382-400,2,160.0,160,Women,Nike,CD4382-400
120,Nike Air Max 95 Unlocked By You,https://www.nike.com/u/custom-nike-air-max-95-unlocked-by-you-10001344/2490770982,6,215.0,215,Women,Nike,DX5388-900
121,Nike Ultrafly,https://www.nike.com/t/ultrafly-womens-trail-running-shoes-tCnn3F/DZ0489-101,2,260.0,260,Women,Nike,DZ0489-101
122,Nike Zoom Superfly Elite 2,https://www.nike.com/t/zoom-superfly-elite-2-track-field-sprinting-spikes-dqWkz6/CD4382-600,1,160.0,160,Women,Nike,CD4382-600
123,Nike Elevate 3,https://www.nike.com/t/elevate-3-basketball-shoes-BQ8xtz/DD9304-602,6,63.97,85,Women,Nike,DD9304-602
124,Nike P-6000 Premium,https://www.nike.com/t/p-6000-premium-mens-shoes-XkgpKW/FQ8732-010,3,90.97,120,Women,Nike,FQ8732-010
125,Nike Renew Elevate 3,https://www.nike.com/t/renew-elevate-3-womens-basketball-shoes-VGFNfC/FQ8971-600,2,80.0,80,Women,Nike,FQ8971-600
126,Freak 5 (Team),https://www.nike.com/t/freak-5-team-basketball-shoes-6k9TNG/DZ2946-100,5,119.97,140,Women,Nike,DZ2946-100
127,"LeBron 20 ""Time Machine""",https://www.nike.com/t/lebron-20-time-machine-basketball-shoes-ct1qVm/DJ5423-300,8,200.0,200,Women,Nike,DJ5423-300
