,count_of_sizes,colors,color,product_code,reviews,star_rating,Size,comfort,quality
0,"['29849650:7.5', '29849652:8', '29849657:8.5', '29849666:9', '29849644:9.5', '29849662:10', '29849655:10.5', '29849649:11', '29849642:11.5', '29849664:12', '29849651:13', '29849658:14']",[],['Shown: Laser Orange/Black/Light Orewood Brown/Hyper Jade'],['Style: FQ9044-800'],['Reviews (1)'],['4'],['0% between Runs Small and True to Size'],['50% between Uncomfortable and Average'],['Yes (1)']
1,"['29658307:3.5', '29658413:8']","['White/Black/Game Royal', 'Sail/Anthracite/Coconut Milk/University Gold', 'Black/Iron Grey/Blue Tint/White', 'Black/Cement Grey/Picante Red', 'Black/Black/White', 'Black/Black/Black', 'White/University Red/Black/Wolf Grey', 'White/White/Black']",['Shown: Sail/Anthracite/Coconut Milk/University Gold'],['Style: FQ0205-133'],['Reviews (2)'],['4.5'],['50% between Runs Small and True to Size'],['75% between Uncomfortable and Average'],['Yes (2)']
2,"['27797285:4', '27797288:4.5', '27797284:5', '27797283:6', '27789732:7', '27789746:7.5', '27789735:8']",[],['Shown: White/Game Royal/Black'],['Style: DM9015-105'],['Reviews (1)'],['1'],['50% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],[]
3,"['29085235:7', '29085220:7.5', '29085226:8', '29085229:8.5', '29085222:9', '29085232:9.5', '29085227:10', '29085228:10.5', '29085225:11', '29085231:11.5', '29085230:12', '29085233:12.5', '29085234:13', '29085236:14']","['Green Strike/Mica Green/Opti Yellow/Black', 'University Red/Bright Crimson/Summit White/White', 'Game Royal/University Blue/Summit White/White', 'White/Pure Platinum/Black', 'Black/Iron Grey/White']",['Shown: Game Royal/University Blue/Summit White/White'],['Style: CT6649-414'],['Reviews (88)'],['4.7'],['50% between Runs Small and True to Size'],['75% between Uncomfortable and Average'],['Yes (1)']
4,"['28815986:7', '28815981:7.5', '28815988:8', '28815979:8.5', '28815987:9', '28815984:9.5', '28815975:10', '28815972:10.5', '28815978:11', '28815971:11.5', '28815977:12', '28815974:12.5', '28815982:13', '28815980:14']","['Metallic Silver/White/Light Smoke Grey/Black', 'White/Pure Platinum/Metallic Silver', 'Black/Anthracite/White', 'Volt/Mica Green/Opti Yellow/Black', 'University Red/Anthracite/Summit White/White', 'Game Royal/Anthracite/Summit White/White', 'Black/Blue Lightning/Active Fuchsia/White', 'Black/Dark Smoke Grey/Iron Grey/White', 'White/Pure Platinum/Metallic Silver']",['Shown: Black/Dark Smoke Grey/Iron Grey/White'],['Style: DA5457-010'],['Reviews (0)'],['0'],[],[],[]
5,"['29546442:6', '29546444:6.5', '29546439:7', '29546440:7.5', '29546436:8', '29546433:8.5', '29546430:9', '29546431:9.5', '29546428:10', '29546434:10.5', '29546443:11', '29546435:11.5', '29546437:12', '29546429:12.5', '29546438:13', '29546432:14', '29546441:15']",[],['Shown: Sail/Gum Light Brown/University Blue'],['Style: FJ1683-100'],['Reviews (4)'],['5'],['50% between Runs Small and True to Size'],['88% between Uncomfortable and Average'],['Yes (4)']
6,"['27210234:6', '27210227:6.5', '27210236:7', '27210228:7.5', '27210238:8', '27210229:8.5', '27210240:9', '27210231:9.5', '27210239:10', '27210243:10.5', '27210237:11', '27210242:11.5', '27210241:12.5', '27210233:13', '27210232:14', '27210230:15']","['Black/Barely Volt/Black', 'Wolf Grey/Barely Volt/Black/White', 'Black/Barely Volt/Black/White', 'White/Barely Volt/Black']",['Shown: White/Barely Volt/Black'],['Style: DJ6258-100'],['Reviews (65)'],['4.3'],['39% between Runs Small and True to Size'],['89% between Uncomfortable and Average'],['Yes (3)']
7,"['29200660:7', '29200651:7.5', '29200665:8', '29200662:8.5', '29200661:9', '29200659:9.5', '29200654:10', '29200667:14']","['Metallic Silver/White/Light Smoke Grey/Black', 'Black/Black/White', 'White/White/Pure Platinum/Metallic Silver', 'White/Baltic Blue/Football Grey/Bright Crimson', 'Mica Green/Black/Volt/White', 'Game Royal/Anthracite/Summit White/White', 'University Red/Anthracite/Summit White/White', 'White/Pure Platinum/Metallic Silver', 'Black/Smoke Grey/White', 'Light Smoke Grey/Khaki/Metallic Silver/Black']",['Shown: University Red/Anthracite/Summit White/White'],['Style: DA5455-616'],['Reviews (10)'],['4.5'],['50% between Runs Small and True to Size'],['78% between Uncomfortable and Average'],['Yes (5)No (1)']
8,"['29530399:4', '29530404:4.5', '29530401:5', '29530406:5.5', '29530408:6', '29530410:6.5', '29530412:7', '29530411:7.5', '29530403:8', '29530400:8.5', '29530394:9', '29530409:9.5', '29530405:10', '29530407:10.5', '29530398:11', '29530387:11.5', '29530393:12', '29530392:12.5', '29530402:13', '29530389:13.5', '29530391:14', '29530388:15', '29530395:16']","['University Red/White/White', 'Game Royal/White/White', 'Black/White', 'Midnight Navy/White/White', 'Wolf Grey/White/White']",['Shown: University Red/White/White'],['Style: DZ2906-600'],['Reviews (2)'],['4'],['25% between Runs Small and True to Size'],['50% between Uncomfortable and Average'],['Yes (2)']
9,"['28755041:6', '28755043:6.5']",[],['Shown: Khaki/White/White'],['Style: DV0804-200'],['Reviews (7)'],['4.9'],['50% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],['Yes (1)']
10,"['30510575:6', '30510573:7', '30510572:8', '30510571:9', '30510583:10', '30510582:11', '30510581:12', '30510580:13', '30510579:14', '30510578:15', '30510577:16', '30510576:17', '30510574:18']","['Thunder Blue/White', 'Black/Black/White']",['Shown: Thunder Blue/White'],['Style: DQ9624-400'],['Reviews (28)'],['4.9'],['50% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],['Yes (5)']
11,"['30366100:6', '30366101:6.5', '30366089:7', '30366103:7.5', '30366093:8', '30366096:8.5', '30366095:9', '30366090:9.5', '30366105:10', '30366097:10.5', '30366099:11', '30366091:11.5', '30366102:12', '30366104:12.5', '30366094:13', '30366098:14', '30366092:15']","['White/Light Photo Blue', 'White/Malachite/White/Black', 'White/White/Light Smoke Grey']",['Shown: White/White/Light Smoke Grey'],['Style: DH2987-112'],['Reviews (525)'],['4.7'],['56% between Runs Small and True to Size'],['69% between Uncomfortable and Average'],['Yes (13)No (1)']
12,"['29481130:7.5', '29481127:8', '29481133:9.5', '29481128:10', '29481122:11.5', '29481132:13']","['White/Football Grey/University Red/Hyper Violet', 'White/Pure Platinum/Blue Tint/Midnight Navy', 'White/Pure Platinum/Blue Tint/Wolf Grey', 'White/Black/Blue Tint/University Red', 'Black/Teal Nebula/Hyper Pink/White', 'White/Blue Tint/Pure Platinum/Black', 'Black/Blue Tint/Anthracite/White', 'White/Phantom/Laser Orange/Light Crimson', 'White/Wolf Grey/Pure Platinum/Black', 'Wolf Grey/Cool Grey/Pure Platinum/White', 'University Red/Team Red/Habanero Red/White']",['Shown: Black/Teal Nebula/Hyper Pink/White'],['Style: DJ6521-002'],['Reviews (19)'],['4.9'],[],[],[]
13,"['29167032:6', '29167025:6.5', '29167018:7', '29167040:7.5', '29167033:8', '29167028:8.5', '29167019:9', '29167015:9.5', '29167024:10', '29167020:10.5', '29167038:11', '29167034:11.5', '29167026:12', '29167021:12.5', '29167041:13', '29167029:14']","['Volt/Black/Hyper Pink/White', 'Black/Dark Smoke Grey/White/Metallic Silver', 'White/Pure Platinum/Metallic Silver/Black']",['Shown: Volt/Black/Hyper Pink/White'],['Style: DX7998-700'],['Reviews (14)'],['3.8'],['4% between Runs Small and True to Size'],['50% between Uncomfortable and Average'],['Yes (7)No (3)']
14,"['29207417:6', '29207413:6.5', '29207421:7', '29207410:7.5', '29207422:8', '29207416:8.5', '29207423:9', '29207411:9.5', '29207415:10', '29207414:10.5', '29207418:11', '29207424:11.5', '29207412:12', '29207408:12.5', '29207409:13', '29207420:14', '29207419:15']","['Picante Red/Sail/Earth/Dark Pony', 'Olive Flak/Spring Green/Black/White', 'Khaki/Deep Jungle/Safety Orange/Sea Glass', 'White/Khaki/Vivid Sulfur/Black', 'Black/Reflect Silver/Cool Grey/Wolf Grey']",['Shown: Olive Flak/Spring Green/Black/White'],['Style: DR2693-300'],['Reviews (134)'],['4.7'],['50% between Runs Small and True to Size'],['90% between Uncomfortable and Average'],['Yes (9)']
15,"['29481010:7', '29481004:7.5', '29481016:8', '29481003:8.5', '29481002:9', '29481007:9.5', '29481009:10', '29481015:10.5', '29481017:11', '29481008:11.5', '29481011:12', '29481018:12.5', '29481005:13', '29481006:13.5', '29481013:14', '29481014:15', '29481012:16']","['White/Pure Platinum/University Red', 'White/Pure Platinum/Midnight Navy', 'White/Football Grey/University Red/Hyper Violet', 'Black/Blue Tint/Anthracite/White', 'White/Blue Tint/Pure Platinum/Black', 'Black/Dark Smoke Grey/Light Smoke Grey/White']",['Shown: Black/Blue Tint/Anthracite/White'],['Style: DJ6517-001'],['Reviews (2)'],['5'],['50% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],[]
16,"['27807287:3.5', '27807274:6', '27807276:10.5', '27807283:14', '27807269:15']","['Enigma Stone/Black/Dutch Blue/Boarder Blue', 'Multi-Color/Crimson Bliss/Citron Tint/White']",['Shown: Multi-Color/Crimson Bliss/Citron Tint/White'],['Style: DM0259-900'],['Reviews (1)'],['4'],[],['50% between Uncomfortable and Average'],[]
