,product_code,n_reviews,quality,star_rating,Size,comfort
114,FB2238-001,27.0,68.4,4.4,34.0,86.0
115,DR8784-301,191.0,52.85,4.8,42.0,93.0
116,DR8785-002,252.0,44.41,4.5,38.0,75.0
117,DX4361-001,13.0,74.21,4.8,50.0,88.0
118,DV5475-300,9.0,56.81,4.7,38.0,88.0
119,CD4382-400,30.0,37.89,4.9,17.0,90.0
120,DX5388-900,,,,,
121,DZ0489-101,26.0,,4.8,,
122,CD4382-600,30.0,37.89,4.9,17.0,90.0
123,DD9304-602,171.0,41.09,4.5,40.0,78.0
124,FQ8732-010,6.0,83.33,5,50.0,100.0
125,FQ8971-600,2.0,75.0,4,50.0,75.0
126,DZ2946-100,1.0,83.33,3,50.0,100.0
127,DJ5423-300,201.0,45.16,4.8,39.0,92.0
128,FZ3620-001,0.0,,0,,
129,864349-302,55.0,48.18,4.6,46.0,84.0
130,DX5051-400,,,,,
131,942839-600,351.0,44.19,4.6,39.0,91.0
132,DV2917-401,39.0,52.03,4.4,46.0,87.0
133,FQ7223-900,,,,,
134,CW7586-100,9.0,61.11,5,50.0,100.0
135,,,,,,
136,FB9752-100,15.0,52.78,4.6,50.0,75.0
137,DV3907-900,,,,,
138,DQ5601-003,20.0,63.67,4.6,61.0,95.0
139,FJ8893-900,,,,,
140,CZ5920-400,37.0,,4.5,,
141,DQ1470-002,133.0,,4.4,,
142,FJ2253-901,,,,,
143,DR9631-801,127.0,51.43,4.8,61.0,87.0
144,,,,,,
145,DV3282-103,2.0,83.33,5,50.0,100.0
146,CW3406-004,66.0,49.5,4.2,29.0,70.0
147,DM1206-174,26.0,69.74,4.7,52.0,88.0
148,DC8753-100,83.0,25.4,4.6,25.0,50.0
149,314352-998,,,,,
150,CD4385-400,21.0,75.5,4.2,61.0,90.0
151,CW7637-991,,,,,
152,FJ9302-104,53.0,28.63,3.9,27.0,57.0
153,A03938C-206,0.0,,0,,
154,DR5540-102,30.0,49.67,4.4,43.0,96.0
155,FD9782-900,,,,,
156,DD9285-400,233.0,47.77,4.5,53.0,83.0
157,DO9456-100,1.0,75.0,5,50.0,100.0
158,CW3400-001,275.0,46.33,4.8,48.0,87.0
159,DQ7572-200,19.0,48.19,4.4,44.0,69.0
160,FQ8887-100,1.0,83.33,5,50.0,100.0
161,DJ9405-302,19.0,73.74,4.5,50.0,87.0
162,DZ2653-900,,,,,
163,DV2228-300,13.0,,4.4,,
164,DH0224-200,239.0,44.45,4.4,38.0,92.0
165,DO9327-102,99.0,44.37,4.6,43.0,80.0
166,BQ4632-002,442.0,46.45,4.7,41.0,97.0
167,FB2383-900,,,,,
168,FB2391-900,,,,,
169,DV3285-300,8.0,,4,,
170,DJ6257-004,400.0,36.0,4.4,33.0,73.0
171,168817C-102,1.0,100.0,4,100.0,100.0
172,CN9677-002,479.0,49.54,4.7,56.0,92.0
173,FJ4036-900,,,,,
174,DZ3407-800,10.0,71.33,4.9,44.0,100.0
175,DD9538-012,192.0,48.91,4.8,47.0,94.0
176,DX4219-400,2.0,66.67,5,50.0,100.0
177,FJ8896-900,,,,,
178,DC7695-102,17.0,48.92,4.9,47.0,88.0
179,FJ2975-001,267.0,46.37,4.3,45.0,84.0
180,DV2757-003,72.0,46.76,4.3,40.0,85.0
181,DC2533-600,285.0,,4.6,,
182,CZ5918-012,184.0,50.36,4.7,50.0,100.0
183,FN7104-010,0.0,,0,,
184,DD3024-101,479.0,45.89,4.6,41.0,90.0
185,FB6877-100,0.0,,0,,
186,DZ2906-600,2.0,58.33,4,25.0,50.0
187,DJ7383-800,30.0,43.56,4.2,47.0,77.0
188,FD4849-106,0.0,,0,,
189,DJ6521-002,19.0,,4.9,,
190,DX7998-700,14.0,50.0,3.8,,50.0
191,DM8974-004,74.0,43.68,4.4,45.0,82.0
192,DX2044-201,42.0,57.67,4.6,43.0,80.0
193,DM3494-105,151.0,46.99,4.8,49.0,86.0
194,CT1725-106,161.0,45.29,4.5,47.0,87.0
195,DX7999-100,10.0,42.67,4.4,13.0,75.0
196,FJ8894-900,,,,,
197,AO1523-500,25.0,44.67,4,40.0,90.0
198,DV5477-401,50.0,53.67,4.7,42.0,89.0
199,FZ0814-900,,,,,
200,FB9891-100,16.0,81.33,4.9,50.0,94.0
201,DV2272-900,,,,,
202,DV3903-900,,,,,
203,FJ8895-900,,,,,
204,846440-998,,,,,
205,DX2314-200,4.0,36.33,4.5,17.0,67.0
206,FV0400-001,0.0,,0,,
207,DZ3299-002,9.0,80.0,4.8,45.0,95.0
208,DV7006-200,82.0,,4.6,,
209,DD9291-600,119.0,56.5,4.5,38.0,75.0
210,166800C-001,9.0,57.41,5,50.0,100.0
211,FD6409-003,31.0,49.63,4.7,47.0,89.0
212,FJ4036-900,,,,,
213,DQ2904-002,22.0,66.0,4.6,55.0,93.0
214,DC7695-100,17.0,48.92,4.9,47.0,88.0
215,DJ4471-121,0.0,,0,,
216,DV5472-001,0.0,,0,,
217,DX4985-003,29.0,69.55,4.5,47.0,72.0
218,DV2957-001,10.0,81.67,5,55.0,90.0
219,FN3435-148,1.0,,5,,
220,DR7880-001,4.0,,4,,
221,DH9227-101,15.0,35.56,4.2,37.0,63.0
222,FJ8890-905,,,,,
223,DV7903-003,93.0,47.55,4.3,47.0,72.0
224,DD9283-011,213.0,34.47,4.4,39.0,63.0
225,,,,,,
226,CZ6559-110,18.0,51.85,4.2,50.0,100.0
227,DV7409-100,4.0,,4.5,,
228,FB9894-001,6.0,64.11,4.5,34.0,75.0
229,DX4400-005,3.0,,4,,
230,FD0090-101,0.0,,0,,
231,CI2964-610,4.0,50.0,4.5,25.0,75.0
232,,,,,,
233,DR6192-104,9.0,57.78,4.6,50.0,90.0
234,432997-111,118.0,44.69,4.7,57.0,72.0
235,DV5468-300,12.0,50.33,3.6,37.0,64.0
236,DR9831-001,359.0,46.61,4.6,47.0,92.0
237,DJ6945-200,55.0,51.82,4.8,50.0,100.0
238,DC1975-001,74.0,75.5,4.9,63.0,88.0
239,FB2863-600,12.0,81.11,4.7,65.0,95.0
240,DZ4874-300,3.0,67.0,5,50.0,84.0
241,CV5708-010,32.0,40.87,4.4,25.0,82.0
242,CZ3668-017,55.0,57.0,4.2,31.0,83.0
243,CU4874-600,120.0,,4.6,,
244,560251F-102,27.0,,4.5,,
245,DO7436-900,,,,,
246,FQ8706-300,26.0,54.95,4.5,34.0,77.0
247,DZ6763-102,3.0,78.0,5,50.0,84.0
248,FD0268-100,1.0,83.33,5,50.0,100.0
249,DR2733-400,2.0,50.0,4,50.0,50.0
250,DM1124-002,62.0,45.91,4.6,30.0,90.0
251,DZ3638-900,,,,,
252,FV3526-600,0.0,,0,,
253,DC3590-105,54.0,48.75,4.6,54.0,83.0
254,FQ3391-010,0.0,,0,,
255,DR2756-400,7.0,,4.3,,
256,DC0496-100,174.0,44.91,4.5,40.0,93.0
257,DV1163-100,0.0,,0,,
258,FJ4036-900,,,,,
259,CU4152-101,20.0,45.0,4.5,50.0,75.0
260,DH7546-101,12.0,66.89,4.3,46.0,88.0
261,CZ4099-400,564.0,55.5,4.6,39.0,72.0
262,CQ9545-556,293.0,37.05,4.2,28.0,77.0
263,DO8863-660,18.0,44.7,4.1,59.0,64.0
264,DM8019-005,16.0,60.0,3.8,45.0,75.0
265,CU3959-004,97.0,43.68,4.7,55.0,75.0
266,DJ9976-100,17.0,55.88,4.8,50.0,100.0
267,DD9294-104,140.0,45.43,4.4,38.0,94.0
268,DM9073-700,139.0,78.5,4.5,66.0,91.0
269,DH1537-002,145.0,42.97,4.4,48.0,74.0
270,DR5377-001,1.0,,5,,
271,CT0079-101,19.0,50.5,4.5,42.0,59.0
272,FZ4655-900,,,,,
273,FJ8902-900,,,,,
274,DZ2927-400,4.0,50.33,3,63.0,63.0
275,DR6965-300,6.0,58.67,3.8,63.0,63.0
276,FD1643-300,3.0,61.33,3.7,34.0,50.0
277,CZ0931-003,48.0,47.42,4.4,56.0,80.0
278,FV1699-801,1.0,66.67,5,50.0,50.0
279,FZ5758-004,9.0,74.0,4.8,50.0,72.0
