,ShoeName,URL,no_colors,price_reduce,price,Category,Brand,product_code
527,Predator Accuracy.1 Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.1-firm-ground-soccer-cleats/GW4570.html,6,200,250,WOMEN Soccer,Adidas,GW4570
528,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/IF7611.html,2,66,110,Women's Originals,Adidas,IF7611
529,Predator Accuracy.1 Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.1-firm-ground-soccer-cleats/GW4570.html,6,200,250,WOMEN Soccer,Adidas,GW4570
530,Exhibit Select Mid Basketball Shoes,https://www.adidas.com/us/exhibit-select-mid-basketball-shoes/IE9333.html,3,91,130,Women's Basketball,Adidas,IE9333
531,OZWEEGO Shoes,https://www.adidas.com/us/ozweego-shoes/IE7354.html,14,108,120,Women's Originals,Adidas,IE7354
532,PureHustle 2 TPU Cleats,https://www.adidas.com/us/purehustle-2-tpu-cleats/FY4397.html,2,32,80,Women's Softball,Adidas,FY4397
533,ASU Ultraboost 1.0 Shoes,https://www.adidas.com/us/asu-ultraboost-1.0-shoes/IG5869.html,17,140,200,WOMEN Sportswear,Adidas,IG5869
534,PureHustle 2 TPU Cleats,https://www.adidas.com/us/purehustle-2-tpu-cleats/H02347.html,2,64,80,Women's Softball,Adidas,H02347
535,Retrocross Spikeless Golf Shoes,https://www.adidas.com/us/retrocross-spikeless-golf-shoes/GV6917.html,2,77,110,Women's Golf,Adidas,GV6917
536,Adizero SL Running Shoes,https://www.adidas.com/us/adizero-sl-running-shoes/ID6929.html,2,108,120,Women's Running,Adidas,ID6929
537,Superstar Shoes,https://www.adidas.com/us/superstar-shoes/GY5986.html,2,77,110,Women's Originals,Adidas,GY5986
538,Rivalry Low TR Shoes,https://www.adidas.com/us/rivalry-low-tr-shoes/IE1666.html,2,55,110,WOMEN Originals,Adidas,IE1666
539,Predator Accuracy.3 Firm Ground Soccer Cleats,https://www.adidas.com/us/predator-accuracy.3-firm-ground-soccer-cleats/HQ1077.html,5,68,90,WOMEN Soccer,Adidas,HQ1077
540,Solarmotion Spikeless Shoes,https://www.adidas.com/us/solarmotion-spikeless-shoes/GX6422.html,3,60,120,Women's Golf,Adidas,GX6422
541,Mahomes 1 Impact FLX Training Shoes,https://www.adidas.com/us/mahomes-1-impact-flx-training-shoes/IF4806.html,2,98,140,WOMEN Football,Adidas,IF4806
542,Adizero SL Running Shoes,https://www.adidas.com/us/adizero-sl-running-shoes/HQ1338.html,2,54,120,Women's Running,Adidas,HQ1338
543,Switch FWD Running Shoes,https://www.adidas.com/us/switch-fwd-running-shoes/IG0676.html,6,98,140,Women's Running,Adidas,IG0676
544,Rivalry Low Shoes,https://www.adidas.com/us/rivalry-low-shoes/ID7560.html,2,77,110,Women's Originals,Adidas,ID7560
545,X_PLRBOOST Shoes,https://www.adidas.com/us/x_plrboost-shoes/ID9590.html,2,112,160,Women's Sportswear,Adidas,ID9590
546,Adilette Clogs,https://www.adidas.com/us/adilette-clogs/GZ5888.html,5,20,50,WOMEN Yoga,Adidas,GZ5888
547,Retropy E5 Shoes,https://www.adidas.com/us/retropy-e5-shoes/GX1813.html,12,78,130,Women's Originals,Adidas,GX1813
548,OZWEEGO Shoes,https://www.adidas.com/us/ozweego-shoes/IE7097.html,14,108,120,Women's Originals,Adidas,IE7097
549,X Crazyfast.3 Turf Soccer Shoes,https://www.adidas.com/us/x-crazyfast.3-turf-soccer-shoes/ID9337.html,3,86,95,WOMEN Soccer,Adidas,ID9337
550,Predator Accuracy.3 Turf Soccer Shoes,https://www.adidas.com/us/predator-accuracy.3-turf-soccer-shoes/FZ6116.html,4,68,90,WOMEN Soccer,Adidas,FZ6116
551,Cloudfoam Pure 2.0  Shoes,https://www.adidas.com/us/cloudfoam-pure-2.0--shoes/H00947.html,10,53,75,Women's Essentials,Adidas,H00947
552,Adilette Ayoon Slides,https://www.adidas.com/us/adilette-ayoon-slides/IF7629.html,5,43,50,WOMEN Originals,Adidas,IF7629
553,adidas by Stella McCartney Seeulater Shoes,https://www.adidas.com/us/adidas-by-stella-mccartney-seeulater-shoes/ID1889.html,3,154,220,WOMEN adidas by Stella McCartney,Adidas,ID1889
554,Puremotion 2.0 Shoes,https://www.adidas.com/us/puremotion-2.0-shoes/IF2772.html,5,60,75,Women's Sportswear,Adidas,IF2772
555,Racer TR23 Shoes,https://www.adidas.com/us/racer-tr23-shoes/IF0041.html,11,52,80,Women's Essentials,Adidas,IF0041
556,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/IF0227.html,2,56,140,Women's Sportswear,Adidas,IF0227
557,BYW Select Shoes,https://www.adidas.com/us/byw-select-shoes/IF0006.html,6,90,150,WOMEN Basketball,Adidas,IF0006
558,Hyperturf Adventure Shoes,https://www.adidas.com/us/hyperturf-adventure-shoes/HQ4304.html,4,70,140,Women's Originals,Adidas,HQ4304
559,Avryn Shoes,https://www.adidas.com/us/avryn-shoes/IG0649.html,2,63,140,Women's Sportswear,Adidas,IG0649
560,Predator Accuracy.1 Artificial Grass Soccer Cleats,https://www.adidas.com/us/predator-accuracy.1-artificial-grass-soccer-cleats/IE9488.html,2,208,260,WOMEN Soccer,Adidas,IE9488
561,TERREX FREE HIKER 2 BCA HIKING SHOES,https://www.adidas.com/us/terrex-free-hiker-2-bca-hiking-shoes/GZ0688.html,9,100,200,Women's TERREX,Adidas,GZ0688
