,count_of_sizes,colors,color,product_code,reviews,star_rating,Size,comfort,quality
0,"['29904498:3.5', '29904502:4', '29904496:4.5', '29904494:5', '29904504:5.5', '29904503:6', '29904490:6.5', '29904510:7', '29904509:7.5', '29904491:8', '29904492:8.5', '29904488:9', '29904495:9.5', '29904507:10', '29904497:10.5', '29904493:11']",[],['Shown: Black/Multi-Color/Picante Red/Black'],['Style: FV4145-001'],['Reviews (3)'],['5'],['67% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],['Yes (3)']
1,"['29904472:3.5', '29904485:5', '29904470:7.5', '29904483:8', '29904468:8.5', '29904479:9', '29904465:9.5', '29904469:10', '29904466:10.5', '29904461:11', '29904480:11.5', '29904475:12', '29904462:13', '29904473:14', '29904482:18']","['Track Red/Mystic Red/Fir/Metallic Silver', 'Black/Multi-Color/Picante Red/Black', 'Luminous Green/Vivid Sulfur/Sail/Barely Volt', 'White/Black', 'Black/White/Pink Foam/Pure Platinum', 'Cyber/White/Siren Red/Vivid Sulfur']",['Shown: Black/Multi-Color/Picante Red/Black'],['Style: FV4137-001'],['Reviews (1)'],['3'],['50% between Runs Small and True to Size'],['50% between Uncomfortable and Average'],['No (1)']
2,"['29913880:3.5', '29913882:4', '29913871:8', '29913881:8.5', '29913883:9', '29913866:9.5', '29913873:10', '29913870:10.5']","['Wolf Grey/Blue Tint/University Blue/White', 'Black/Anthracite/Picante Red/Metallic Black', 'Light Fusion Red/Noble Red/Track Red/Bright Crimson', 'Black/White/Blue Tint/Black', 'Mica Green/Jade Ice/Industrial Blue/Bright Crimson']",['Shown: Black/Anthracite/Picante Red/Metallic Black'],['Style: FV1895-001'],['Reviews (3)'],['5'],['50% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],['Yes (3)']
3,"['29813727:3.5', '29813725:4', '29813745:4.5', '29813724:5', '29813747:5.5', '29813736:6', '29813737:6.5', '29813749:7', '29813726:7.5', '29813744:8', '29813746:8.5', '29813748:9', '29813738:9.5', '29813740:10', '29813732:10.5', '29813733:11', '29813728:11.5', '29813731:12', '29813741:12.5', '29813743:13', '29813734:14', '29813730:15', '29813742:16', '29813739:17', '29813735:18']","['Noble Red/Desert Berry/Guava Ice/Ice Peach', 'Geode Teal/Purple Ink/Total Orange/Jade Ice', 'Fossil Stone/Alabaster/Desert Berry/Celestial Gold', 'Black/Pure Platinum/White', 'Blue Lightning/Phantom/Ice Peach/Emerald Rise', 'Light Orewood Brown/Medium Soft Pink/Blue Lightning/Emerald Rise', 'White/White/Black', 'Black/Fuchsia Dream/Baltic Blue/Phantom', 'Gym Red/Fir/Court Purple/Metallic Gold']",['Shown: Noble Red/Desert Berry/Guava Ice/Ice Peach'],['Style: DX4985-600'],['Reviews (29)'],['4.5'],['47% between Runs Small and True to Size'],['72% between Uncomfortable and Average'],['Yes (26)No (1)']
4,"['29818371:3.5', '29818374:4', '29818386:8.5', '29818388:9', '29818376:9.5', '29818380:10', '29818384:10.5', '29818381:11', '29818383:11.5', '29818394:12', '29818373:13', '29818390:14', '29818385:17', '29818377:18']","['Noble Red/Desert Berry/Medium Soft Pink/Ice Peach', 'Geode Teal/Purple Ink/Jade Ice/Stadium Green', 'Fossil Stone/Desert Berry/Guava Ice/Celestial Gold', 'Black/Black/Black', 'Black/White/White/Black', 'Malachite/Medium Soft Pink/Coconut Milk/Malachite', 'Phantom/Ice Peach/Blue Lightning', 'White/Black']",['Shown: Noble Red/Desert Berry/Medium Soft Pink/Ice Peach'],['Style: DZ7533-600'],['Reviews (57)'],['4.5'],['29% between Runs Small and True to Size'],['75% between Uncomfortable and Average'],['Yes (32)No (5)']
5,"['29764183:6', '29764172:6.5', '29764181:7', '29764190:7.5', '29764180:8', '29764188:8.5', '29764179:9', '29764186:9.5', '29764175:10', '29764178:10.5', '29764174:11', '29764177:11.5', '29764173:12', '29764191:13', '29764189:14', '29764187:15']","['Sea Glass/Blue Tint/Total Orange/Purple Ink', 'Deep Jungle/Geode Teal/Total Orange/Black', 'Black/Anthracite/Volt/White']",['Shown: Sea Glass/Blue Tint/Total Orange/Purple Ink'],['Style: FB2204-002'],['Reviews (25)'],['4.6'],['44% between Runs Small and True to Size'],['85% between Uncomfortable and Average'],['Yes (21)No (2)']
6,"['29517203:6', '29517208:6.5', '29517209:7', '29517201:7.5', '29517214:8', '29517213:8.5', '29517206:9', '29517207:10.5', '29517216:11', '29517210:11.5', '29517204:12', '29517212:12.5', '29517198:13', '29517211:14', '29517197:15']","['Light Armory Blue/Star Blue/Court Blue/Black', 'Black/Bronzine/Olive Aura/Sea Glass', 'White/White', 'Cool Grey/College Navy/White', 'Sesame/Buff Gold/Luminous Green/Purple Ink', 'Black/Bright Crimson/Sundial/Reflective Silver', 'Wolf Grey/Pure Platinum/Cool Grey/Black', 'University Red/Campfire Orange/Rugged Orange/Midnight Navy', 'Cool Grey/Team Maroon/White', 'Cool Grey/Gorge Green/White', 'College Navy/Black/Sail/Platinum Tint', 'Cool Grey/Vegas Gold/White', 'Black/Dark Grey/White', 'White/Light Lemon Twist/Volt/Black', 'White/Platinum Tint/Light Crimson/Velvet Brown', 'White/Fuchsia Dream/Blue Lightning/Black', 'Black/White/Black', 'Black/Anthracite/Racer Blue/White', 'Black/Anthracite/Black']",['Shown: White/Platinum Tint/Light Crimson/Velvet Brown'],['Style: DR2665-100'],['Reviews (189)'],['4.5'],['29% between Runs Small and True to Size'],['86% between Uncomfortable and Average'],['Yes (51)No (12)']
7,"['29965816:6', '29965609:6.5', '29965815:7', '29965821:7.5', '29965818:8', '29965819:8.5', '29965817:9', '29965823:9.5', '29965608:10', '29965813:10.5', '29965611:11', '29965612:11.5', '29965610:12']","['White/Black/Metallic Silver/Varsity Royal', 'Black/White/Varsity Royal', 'Stadium Green/White/Mystic Green/Metallic Gold', 'White/Black/Opti Yellow', 'Photon Dust/Summit White/Coconut Milk/Black', 'White/Summit White/Pure Platinum', 'Black/Vast Grey/White/Black', 'Black/Anthracite/Dark Pony/Faded Spruce']",['Shown: Stadium Green/White/Mystic Green/Metallic Gold'],['Style: FQ8827-324'],['Reviews (1)'],['5'],['50% between Runs Small and True to Size'],['100% between Uncomfortable and Average'],['Yes (1)']
8,"['29814427:3.5', '29814416:4', '29814423:4.5', '29814112:5', '29814425:5.5', '29814413:6', '29814419:6.5', '29814110:7', '29814421:7.5', '29814111:8', '29814414:8.5', '29814109:9', '29814417:9.5', '29814424:10', '29814430:10.5', '29814426:11', '29814428:11.5', '29814420:12', '29814429:12.5', '29814422:13', '29814415:14', '29814418:15']","['Dark Smoke Grey/Cool Grey/Black/Summit White', 'Medium Olive/Cargo Khaki/Burgundy Crush/Neutral Olive', 'Black/Anthracite/Mica Green/Honeydew']",['Shown: Medium Olive/Cargo Khaki/Burgundy Crush/Neutral Olive'],['Style: FD5810-200'],['Reviews (12)'],['4.4'],['25% between Runs Small and True to Size'],['63% between Uncomfortable and Average'],['Yes (7)No (1)']
9,"['28283047:6', '28283043:6.5', '28283046:7', '28283041:7.5', '28283051:8', '28283039:8.5', '28283049:15']","['Sea Glass/Total Orange/Blue Tint/Purple Ink', 'Pale Ivory/Sail/Jade Ice/Bright Mandarin', 'Deep Jungle/Night Maroon/Ashen Slate/Khaki', 'Black/Coconut Milk/Vivid Sulfur/White', 'Medium Olive/Neutral Olive/Infinite Gold/Velvet Brown', 'Spring Green/Olive Flak/Mint Foam/Black', 'Phantom/Summit White/Light Orewood Brown', 'Black/Velvet Brown/Anthracite', 'Black/Reflect Silver/Wolf Grey', 'Light Carbon/Dark Stucco/Light Orewood Brown/Cosmic Clay']",['Shown: Black/Reflect Silver/Wolf Grey'],['Style: DJ7926-001'],"['Reviews (176)', ""Most of my runs are on a mixture of country lanes and paths in Cambridgeshire. In the winter months, these become wet and muddy.So far these shoes have fared well against the wet, but I'm a bit disappointed with them overall. Reviews here suggested that they run small, so I moved up half a size, but after two runs they still feel small. There does not appear to any give in the uppers. It""]",['4.3'],['46% between Runs Small and True to Size'],['89% between Uncomfortable and Average'],['Yes (37)No (3)']
