,ShoeName,URL,no_colors,price_reduce,price,Category,Brand,product_code
28,ForeverRun NITRO™ Knit Women's Running ShoesPUMA White-Feather Gray,https://us.puma.com/us/en/pd/foreverrun-nitro%E2%84%A2-knit-womens-running-shoes/379140?swatch=01&referrer-category=womens-shop-all-womens,1,150.00,150.00,Women,Puma,379140_01
29,Mayze Women's SneakersPuma White-Peyote,https://us.puma.com/us/en/pd/mayze-womens-sneakers/381983?swatch=02&referrer-category=womens-shop-all-womens,2,90.00,90.00,Women,Puma,381983_02
30,FENTY x PUMA AVANTI L Women's SneakersClub Navy,https://us.puma.com/us/en/pd/fenty-x-puma-avanti-l-womens-sneakers/399262?swatch=01&referrer-category=womens-shop-all-womens,2,160.00,160.00,Women,Puma,399262_01
31,Slipstream Iridescent Women's Sneaker Iridescent-PUMA White,https://us.puma.com/us/en/pd/slipstream-iridescent-womens-sneaker%C2%A0/392886?swatch=01&referrer-category=womens-shop-all-womens,1,90.00,90.00,Women,Puma,392886_01
32,Blacktop Rider Glimmer Women's SneakersFrosted Ivory-Warm White-Cashew,https://us.puma.com/us/en/pd/blacktop-rider-glimmer-womens-sneakers/397090?swatch=01&referrer-category=womens-shop-all-womens,1,90.00,90.00,Women,Puma,397090_01
33,CA Pro Suede Nubuck SneakersSedate Gray-PUMA White,https://us.puma.com/us/en/pd/ca-pro-suede-nubuck-sneakers/396704?swatch=02&referrer-category=womens-shop-all-womens,1,100.00,100.00,Women,Puma,396704_02
34,Cali Wedge Tonal Women's SneakersPristine-Marshmallow,https://us.puma.com/us/en/pd/cali-wedge-tonal-womens-sneakers/385248?swatch=01&referrer-category=womens-shop-all-womens,1,90.00,90.00,Women,Puma,385248_01
35,CA Pro Classic Women's SneakersPuma White,https://us.puma.com/us/en/pd/ca-pro-classic-womens-sneakers/396172?swatch=01&referrer-category=womens-shop-all-womens,1,80.00,80.00,Women,Puma,396172_01
36,Mayze Stack Soft Winter Women's SneakersWarm White,https://us.puma.com/us/en/pd/mayze-stack-soft-winter-womens-sneakers/393065?swatch=01&referrer-category=womens-shop-all-womens,2,110.00,110.00,Women,Puma,393065_01
37,PUMA Cali Court Leather Women's SneakersPUMA White-PUMA White-PUMA Gold,https://us.puma.com/us/en/pd/puma-cali-court-leather-womens-sneakers/393802?swatch=09&referrer-category=womens-shop-all-womens,2,85.00,85.00,Women,Puma,393802_09
38,Magnify NITRO™ 2 Women's Running ShoesIcy Blue-Ultra Blue,https://us.puma.com/us/en/pd/magnify-nitro%E2%84%A2-2-womens-running-shoes/377540?swatch=04&referrer-category=womens-shop-all-womens,2,140.00,140.00,Women,Puma,377540_04
