,count_of_sizes,colors,product_code,star_rating,comfort,quality,n_reviews,size
11,13,"['Cloud White / Cloud White / Violet Fusion S23', 'Silver Dawn / Silver Dawn / Silver Violet', 'Core Black / Core Black / Beam Pink F22', 'Grey One / Grey Three / Cloud White', 'Core Black / Core Black / Cloud White', 'Cloud White / Cloud White / Cloud White', 'Off White / Off White / Silver Metallic', 'Light Solid Grey / Silver Dawn / Solar Red', 'Cloud White / Zero Metalic / Lucid Pink', 'Arctic Night / Arctic Night / Lucid Pink', 'Silver Dawn / Silver Dawn / Almost Pink', 'Pink Fusion / Pink Fusion / Gold Metallic', 'Off White / Off White / Gold Metallic', 'Off White / Crew Blue / Bliss Lilac', 'Carbon / Carbon / Bright Red', 'Shadow Red / Shadow Red / Core Black', 'Magic Beige / Magic Beige / Off White', 'Wonder Beige / Wonder Beige / Wonder White', 'Cloud White / Cloud White / Silver Metallic', 'Wonder Beige / Wonder Taupe / Impact Orange', 'Grey Five / Grey Five / Pink Fusion', 'Off White / Off White / Wonder Quartz']",HR0066,4.6,84.3148,90.6852,467,50
12,20,"['Off White / Cream White / Shadow Green', 'Crystal White / Off White / Core Black', 'Core Black / Core Black / Carbon', 'Off White / Cream White / Olive Strata S23', 'Off White / Silver Metallic / Sandy Beige', 'Crystal White / Grey / Off White', 'Off White / Cream White / Royal Blue', 'Wonder Quartz S23 / Wonder Quartz S23 / Wonder Taupe S23']",HQ6787,4.7,85.2547,92.0241,373,53.7534
13,10,"['Cloud White / Core Black / Grey Six', 'Cloud White / Core Black / Cloud White', 'Cloud White / Core Black / Cloud White', 'Cloud White / Cloud White / Cloud White', 'Cloud White / Copper Metallic / Core Black', 'Cloud White / Off White / Crystal White', 'Cloud White / Night Sky / Green', 'Magic Beige F22 / Magic Beige F22 / Cloud White', 'Cloud White / Magic Lime S22 / Cloud White', 'Cloud White / Wonder White F21 / Off White', 'Cloud White / Semi Lucid Blue S23 / Gold Metallic', 'Sand Strata / Wonder Taupe / Core Black', 'Cloud White / Wonder White F21 / Better Scarlet S23', 'Cloud White / Cloud White / Core Black', 'Core Black / Core Black / Cloud White', 'Core Black / Glow Blue / Off White', 'Core Black / Energy Ink / Silver Metallic', 'Cloud White / Orange / Royal Blue', 'Cloud White / Clear Pink / Semi Court Green', 'Off White / Core Black / Off White', 'Core Black / Off White / Magic Beige', 'Maroon / Wonder White / Maroon', 'Earth Strata / Wonder White / Earth Strata', 'Cloud White / Bright Red / Wonder Clay F23']",IF7676,4.7,80.167,86.5473,11277,55.7318
14,5,"['Wonder Taupe S23 / Wonder Taupe S23 / Core Black', 'Silver Metallic / Silver Metallic / Core Black', 'Silver Green S23 / Silver Green S23 / Core Black', 'Pulse Yellow F21 / Pulse Yellow F21 / Core Black', 'Core Black / Core Black / Grey Six', 'Halo Green S21 / Core Black / Halo Green S21', 'Collegiate Green / Core Black / Collegiate Green']",IG2682,4.8,88.9222,92.3653,167,52.994
15,12,"['Pulse Mint / Zero Metalic / Lucid Fuchsia', 'Grey One / Silver Metallic / Silver Dawn', 'Core Black / Cloud White / Carbon', 'Cloud White / Core Black / Arctic Fusion', 'Wonder Blue / Lucid Lemon / Arctic Night', 'Silver Violet / Zero Metalic / Silver Dawn', 'Light Aqua / Carbon / Solar Red', 'Chalk White / Silver Metallic / Wonder Blue']",ID6933,4.6,83.8608,91.2975,158,47.6266
16,12,"['Cloud White / Core Black / Grey Six', 'Cloud White / Core Black / Cloud White', 'Cloud White / Core Black / Cloud White', 'Cloud White / Cloud White / Cloud White', 'Cloud White / Copper Metallic / Core Black', 'Cloud White / Off White / Crystal White', 'Cloud White / Night Sky / Green', 'Magic Beige F22 / Magic Beige F22 / Cloud White', 'Cloud White / Magic Lime S22 / Cloud White', 'Cloud White / Wonder White F21 / Off White', 'Cloud White / Semi Lucid Blue S23 / Gold Metallic', 'Sand Strata / Wonder Taupe / Core Black', 'Cloud White / Wonder White F21 / Better Scarlet S23', 'Cloud White / Cloud White / Core Black', 'Core Black / Core Black / Cloud White', 'Core Black / Glow Blue / Off White', 'Core Black / Energy Ink / Silver Metallic', 'Cloud White / Orange / Royal Blue', 'Cloud White / Clear Pink / Semi Court Green', 'Off White / Core Black / Off White', 'Core Black / Off White / Magic Beige', 'Maroon / Wonder White / Maroon', 'Earth Strata / Wonder White / Earth Strata', 'Cloud White / Bright Red / Wonder Clay F23']",IE3000,4.7,80.167,86.5473,11277,55.7318
17,17,"['Grey Three / Grey Three / Grey Two', 'Core Black / Grey Three / Carbon', 'Core Black / Core Black / Solar Red', 'Core Black / Core Black / Solar Gold', 'Shadow Navy / Shadow Navy / Acid Orange', 'Cloud White / Zero Metalic / Crystal White', 'Grey One / Cloud White / Solar Red', 'Silver Violet S23 / Silver Violet S23 / Silver Dawn S23', 'Core Black / Core Black / Solar Red', 'Core Black / Core Black / Carbon', 'Grey One / Silver Metallic / Core White', 'Core Black / Core Black / Coral Fusion', 'Orange / Orange / Core Black', 'Aluminium / Off White / Wonder Beige', 'Cloud White / Cloud White / Lucid Pink', 'Shadow Navy / Shadow Navy / Silver Metallic', 'Core Black / Core Black / Grey Six', 'Olive Strata / Core Black / Silver Pebble']",IG2372,4.4,76.2953,81.9948,193,56.3472
18,13,"['Core Black / Cloud White / Cloud White', 'Core Black / Grey Two / Cloud White', 'Cloud White / Grey Two / Cloud White', 'Core Black / Core Black / Carbon', 'Off White / Acid Orange / Core Black', 'Dash Grey / Silver Violet / Silver Dawn', 'Aluminium / Putty Grey / Silver Pebble', 'Grey Two / Charcoal Solid Grey / Silver Metallic']",ID4430,4.4,83.0521,86.7331,326,50.6135
19,15,"['Collegiate Green / Cloud White / Bold Gold', 'Cloud White / Cloud White / Gold Metallic', 'Crew Blue S21 / Preloved Red S23 / Dark Blue', 'Core Black / Core Black / Gold Metallic', 'Collegiate Burgundy / Cloud White / Collegiate Navy', 'Cloud White / Better Scarlet S23 / Cloud White', 'Cloud White / Blue / Cloud White', 'Cloud White / Green / Cloud White', 'Grey Four / Grey Four / Core Black', 'Cloud White / Core Black / Gold Metallic', 'Shadow Olive / Shadow Olive / Core Black', 'Core Black / Cloud White / Gold Metallic']",IF8114,4.8,81.4145,92.4342,152,53.9474
20,10,"['Wonder Beige / Wonder Beige / Silver Pebble', 'Core Black / Core Black / Grey Six']",IG5320,3.9,78.3333,68.3333,15,53.3333
