,count_of_sizes,colors,color,product_code,reviews,star_rating,Size,comfort,quality
0,"['M 4 / W 5', 'M 10 / W 11']","['Bold Green / Signal Orange / Vivid Berry', 'Bahia Magenta / Bahia Magenta / Collegiate Green', 'Royal Blue / Cloud White / Royal Blue', 'Core Black / Cloud White / Core Black', 'Mystery Blue / Hi-Res Yellow / Mystery Blue', 'Vision Met. / Vision Met. / Grey Two', 'Core Black / Grey Six / Core Black', 'Core Black / Core Black / Core Black', 'Core Black / Gold Metallic / Core Black', 'Core Black / Core Black / Beam Pink F22', 'Cloud White / Cloud White / Matte Gold', 'Grey Two / Silver Metallic / Grey Two', 'Sand Strata / Purple / Sand Strata', 'Ecru Tint / Coral Fusion / Ecru Tint', 'Night Indigo / Cloud White / Night Indigo']",[],['Product code: GZ6412'],['Reviews (6108)'],['4.7'],['54.7224'],['90.9001'],['90.6966']
1,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']","['Core Black / Grey Two / Solar Red', 'Orbit Green F21 / Core Black / Pulse Lime S22']",[],['Product code: GY5121'],['Reviews (295)'],['4.7'],['53.7288'],['84.9153'],['88.2203']
2,"['7', '8', '8.5', '11', '11.5', '12', '12.5', '13', '13.5']",[],['Chalk White / Silver Metallic / Preloved Blue S23'],['Product code: HQ5930'],['Reviews (69)'],['4.2'],['44.8529'],['72.4265'],['79.3478']
3,"['8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14', '15']","['Chalk White / Aluminium / Magic Beige', 'Silver Pebble S23 / Olive Strata S23 / Silver Pebble S23', 'Carbon / Carbon / Grey Two', 'Crew Navy / Collegiate Navy / Blue Fusion']",[],['Product code: GV6905'],['Reviews (18)'],['4.6'],['50'],['91.6667'],['91.6667']
4,"['5', '5.5', '6', '6.5', '7', '10.5', '11', '11.5', '12', '12.5', '13']","['Cloud White / Orbit Grey / Off White', 'Clay Strata / Cream White / Bold Gold', 'Silver Metallic / Preloved Blue / Grey Two', 'Wonder Quartz / Off White / Core Black', 'Linen Green / Metal Grey / Cream White', 'Off White / Collegiate Gold / Cream White', 'Off White / Hazy Yellow S21 / Cream White', 'Off White / Wonder Beige / Cream White']",[],['Product code: GX4537'],['Reviews (580)'],['4.8'],['52.5519'],['82.6125'],['91.8103']
5,"['8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']","['Team Light Grey / Cloud White / Silver Metallic', 'Cloud White / Silver Metallic / Silver Metallic']",[],['Product code: S23882'],['Reviews (33)'],['4.2'],['49.2424'],['78.7879'],['77.2727']
6,"['8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '13', '14']","['Cloud White / Core Black / Pulse Lime S22', 'Core Black / Cloud White / Pulse Lime S22', 'Cloud White / Dark Silver Metallic / Core Black', 'Grey Three / Cloud White / Impact Orange F22']",[],['Product code: GX9013'],['Reviews (76)'],['4.6'],['50.3289'],['88.4868'],['83.8816']
7,['M 13 / W 14'],"['Light Purple / Light Purple / Crystal White', 'Core Black / Utility Black / Utility Black', 'Magic Beige / Core Black / Cloud White', 'Cloud White / Cloud White / Cloud White']",[],['Product code: GX4634'],['Reviews (338)'],['4.8'],['52.145'],['86.7604'],['91.1243']
8,"['7', '7.5']","['Bright Blue / Cloud White / Core Black', 'Active Red / Active Red / Core Black', 'Cloud White / Team Maroon / Team Colleg Gold', 'Cloud White / Collegiate Orange / Dark Green', 'Cloud White / Team Dark Grey / Team Collegiate Red', 'Cloud White / Scarlet / Core Black', 'Light Solid Grey / Light Solid Grey / Bold Gold', 'Cloud White / Cloud White / Off White', 'Legend Ink / Legend Ink / Shadow Navy', 'Wonder Taupe / Wonder Taupe / Aluminium', 'Core Black / Silver Green / Carbon', 'Core Black / Core Black / Beam Green F22', 'Grey Three / Grey Five / Core Black', 'Core Black / Core Black / Beam Green F22', 'Cloud White / Cloud White / Cloud White', 'Shadow Navy / Core Blue / Impact Orange', 'Crystal White / Crystal White / Preloved Blue', 'Off White / Off White / Core Black', 'Silver Green / Silver Green / Olive Strata', 'Grey Three / Light Solid Grey / Lucid Fuchsia', 'Core Black / Core Black / Wonder Quartz', 'Lucid Blue / Cloud White / Blue Fusion', 'Grey One / Core Black / Grey Three', 'Semi Blue Burst / Preloved Ink / Solar Red', 'Cloud White / Core Black / Better Scarlet S23', 'Wonder Beige / Wonder Beige / Core Black', 'Off White / Semi Impact Orange / Crew Blue', 'Arctic Night / Arctic Night / Core Black', 'Carbon / Carbon / Bright Red', 'Earth Strata S23 / Earth Strata S23 / Core Black', 'Bright Royal / Blue Dawn S23 / Bright Red', 'Grey One / Collegiate Green / Grey Three', 'Core Black / Carbon / Lucid Lemon', 'Aluminium / Wonder Beige / Olive Strata', 'Core Black / Core Black / Solar Red', 'Grey One / Lucid Blue / Grey Three', 'Silver Green S23 / Silver Green S23 / Gold Metallic', 'Cloud White / Silver Metallic / Team Maroon', 'Cloud White / Gold Metallic / Team College Purple']",[],['Product code: HR0070'],['Reviews (2057)'],['4.7'],['50.073'],['87.3906'],['90.1799']
9,"['7', '7.5', '8', '8.5', '9', '9.5', '10', '10.5', '11', '11.5', '12', '12.5', '13', '14']","['Royal Blue / Cloud White / Silver Metallic', 'Cloud White / Silver Metallic / Silver Metallic', 'Core Black / Cloud White / Silver Metallic', 'Team Navy / Cloud White / Silver Metallic', 'Team Light Grey / Cloud White / Silver Metallic', 'Team Power Red / Cloud White / Silver Metallic']",[],['Product code: S23853'],['Reviews (34)'],['4.5'],['50.7353'],['78.6765'],['83.8235']
