,ShoeName,Category,no_colors,price_reduce,price,product_code
85,Nike Revolution 5,Women,1.0,60.0,60.0,BQ3207-002
86,Nike Free RN 2018,Women,3.0,70.97,100.0,942837-001
87,Air Jordan 1 Mid,Women,1.0,125.0,125.0,DV0991-101
88,Nike Court Royale 2,Women,1.0,51.97,60.0,DH3159-100
89,Air Jordan 1 Mid SE,Women,2.0,135.0,135.0,FB9892-670
90,Nike Calm,Women,2.0,60.0,60.0,FD5130-200
91,Air Jordan 1 Low,Women,3.0,115.0,115.0,553558-136
92,Air Jordan 1 Mid,Women,3.0,125.0,125.0,554724-136
93,"Air Jordan 1 High OG ""Mauve""",Women,1.0,180.0,180.0,DZ5485-105
94,Air Jordan 1 Low SE Craft,Women,1.0,125.0,125.0,FD6819-300
95,Air Jordan XXXVII Low,Women,3.0,96.97,175.0,DQ4122-100
96,LeBron Witness 6,Women,8.0,73.97,105.0,CZ4052-101
97,Air Jordan 1 Zoom CMFT 2,Women,7.0,90.97,150.0,DV1307-100
98,Air Jordan 1 Mid SE,Women,1.0,87.97,135.0,DX4332-800
99,Nike Celso Girl,Women,1.0,19.97,26.0,314870-011
100,Air Jordan 1 Retro High OG,Women,1.0,180.0,180.0,FN6622-201
101,"Air Jordan 13 ""Wheat""",Women,1.0,200.0,200.0,414571-171
102,"Air Jordan 8 ""Winterized""",Women,1.0,210.0,210.0,FD1334-001
103,Air Jordan 1 Element,Women,2.0,170.97,200.0,DB2889-501
104,"Air Jordan 3 ""Fear""",Women,2.0,210.0,210.0,CT8532-080
105,Dunk High Warped Unlocked By You Greatest Gift,Women,1.0,165.0,165.0,FZ4653-900
106,"Air Jordan 1 High OG ""Royal Reimagined""",Women,1.0,180.0,180.0,DZ5485-042
107,"Tatum 1 ""Wave Runner""",Women,2.0,120.0,120.0,FV0169-400
108,"Jordan Why Not .6 ""Childhood""",Women,3.0,105.97,150.0,DO7189-100
109,"Air Jordan 1 Low OG ""White/Red""",Women,1.0,140.0,140.0,CZ0790-161
110,"Sabrina 1 ""Grounded""",Women,5.0,110.97,130.0,FQ3381-002
111,"Luka 2 ""Trick Shot""",Women,3.0,130.0,130.0,DX8733-103
112,LeBron Witness 7,Women,6.0,64.97,105.0,DM1123-100
113,Giannis Immortality 2,Women,8.0,72.97,85.0,DM0825-101
114,"LeBron XXI ""Tahitian""",Women,4.0,150.97,200.0,FB2238-001
115,LeBron NXXT Gen,Women,9.0,127.97,170.0,DR8784-301
116,"Ja 1 ""Fly""",Women,5.0,102.97,120.0,DR8785-002
117,Nike SB React Leo,Women,4.0,95.0,95.0,DX4361-001
118,Nike SB Zoom Janoski OG+,Women,3.0,95.0,95.0,DV5475-300
119,Nike Zoom Superfly Elite 2,Women,2.0,160.0,160.0,CD4382-400
120,Nike Air Max 95 Unlocked By You,Women,6.0,215.0,215.0,DX5388-900
121,Nike Ultrafly,Women,2.0,260.0,260.0,DZ0489-101
122,Nike Zoom Superfly Elite 2,Women,1.0,160.0,160.0,CD4382-600
123,Nike Elevate 3,Women,6.0,63.97,85.0,DD9304-602
124,Nike P-6000 Premium,Women,3.0,90.97,120.0,FQ8732-010
125,Nike Renew Elevate 3,Women,2.0,80.0,80.0,FQ8971-600
126,Freak 5 (Team),Women,5.0,119.97,140.0,DZ2946-100
127,"LeBron 20 ""Time Machine""",Women,8.0,200.0,200.0,DJ5423-300
128,Nike Huarache 9 Varsity LAX SE,Women,1.0,95.0,95.0,FZ3620-001
129,Nike SB Zoom Blazer Mid,Women,3.0,67.97,90.0,864349-302
