,ShoeName,Category,no_colors,price_reduce,price,product_code
1179,Nike Air Force 1 Low x UNDEFEATED,Men,2.0,136.97,160.0,DV5255-200
1180,Nike React SFB Carbon Low,Men,3.0,98.97,140.0,CZ7399-330
1181,Nike Pegasus 40 (FAMU),Men,1.0,98.97,140.0,DZ5941-100
1182,Nike Pegasus 40 By You,Men,1.0,160.0,160.0,
1183,Nike Offline 2.0 PRM,Men,1.0,119.97,140.0,DN5079-300
1184,Nike Dunk Low By Emily,Men,1.0,150.0,150.0,FN0569-900
1185,Converse Custom Chuck Taylor All Star High Top,Men,1.0,85.0,85.0,CU1722-960
1186,Nike Air VaporMax Moc Roam,Men,2.0,220.0,220.0,
1187,Nike Pegasus 40 (Clemson),Men,1.0,98.97,140.0,DZ5966-100
1188,"Nike SFB 6"" Leather",Men,2.0,116.97,155.0,862507-201
1189,Nike Phantom Luna Elite,Men,2.0,275.0,275.0,FN8405-600
1190,Nike Air Force 1 '07 LV8,Men,2.0,114.97,135.0,FB8877-200
1191,Nike G.T. Cut 2 (Team),Men,4.0,144.97,170.0,FJ8915-400
1192,Nike Air Huarache By You,Men,6.0,130.0,130.0,FD9781-900
1193,Converse x TURBODRK Chuck 70 Laceless,Men,1.0,170.0,170.0,A05685C-650
1194,Nike Air Force 1 Mid Evo,Men,2.0,116.97,155.0,FB1374-101
1195,Nike Court Vision Low,Men,1.0,68.97,80.0,FQ8075-133
1196,Air Jordan 11 CMFT Low,Men,3.0,110.97,130.0,CW0784-161
1197,"Air Jordan 5 ""Navy""",Men,1.0,210.0,210.0,FD6812-400
1198,Nike Air Force 1 '07 LV8,Men,1.0,110.97,130.0,FN6840-657
1199,Nike Air Diamond Varsity Turf,Men,3.0,75.0,75.0,DZ0502-401
1200,Nike Air Force 1 SP,Men,2.0,155.0,155.0,
1201,Nike Air Force 1 '07 EasyOn,Men,2.0,115.0,115.0,DX5883-100
1202,Nike SFB Gen 2 8”,Men,1.0,123.97,145.0,922474-001
1203,Nike Zoom Metcon Turbo 2,Men,7.0,119.97,150.0,DH3392-004
1204,Bethune-Cookman,Men,1.0,28.97,40.0,DX5637-002
1205,Jordan Delta 3 Nitro Low,Men,1.0,90.97,150.0,DX1800-160
1206,Nike Metcon 8 AMP,Men,3.0,111.97,140.0,DV1206-100
1207,Nike Air Zoom Maxfly,Men,2.0,190.0,190.0,DH5359-400
1208,Nike SuperRep Go 3 Next Nature Flyknit,Men,3.0,79.97,100.0,DH3394-008
1209,Nike SB Force 58,Men,1.0,60.97,80.0,CZ2959-402
1210,Nike Structure 24,Men,1.0,77.97,130.0,DA8535-001
1211,Freak 5 By You,Men,1.0,160.0,160.0,HF0004-900
1212,Nike College Air Max SYSTM (Michigan),Men,1.0,110.0,110.0,DZ7739-700
1213,Nike Woodside II,Men,3.0,125.0,125.0,525393-770
1214,Nike Mercurial Vapor 15 Elite By You,Men,6.0,280.0,280.0,FN6749-906
1215,Nike Air Force 1 Crater Flyknit Next Nature,Men,2.0,103.97,130.0,DM0590-100
1216,Jordan Retro 6 G NRG,Men,3.0,220.0,220.0,FD0204-001
1217,Nike Air Force 1 '07 Pro-Tech,Men,3.0,131.97,155.0,FB8875-700
1218,Nike Oneonta Next Nature,Men,3.0,49.97,70.0,FB1950-001
1219,Nike Rival Distance,Men,5.0,75.0,75.0,DC8725-101
1220,Nike Mercurial Vapor 15 Pro,Men,3.0,160.0,160.0,DJ5603-040
1221,"Nike SFB Gen 2 8"" Leather",Men,1.0,123.97,145.0,922471-900
1222,"Nike SFB Jungle 8"" Leather",Men,1.0,153.97,180.0,828654-900
1223,KD16 By infamouskayce,Men,1.0,190.0,190.0,FB2390-900
1224,Nike Terminator High (Alabama A&M),Men,1.0,150.0,150.0,
1225,Morehouse,Men,1.0,28.97,40.0,DX5638-002
1226,Nike Air VaporMax 2021 FK,Men,2.0,131.97,210.0,DV2114-001
1227,Nike Premier 3,Men,1.0,100.0,100.0,AT6178-010
1228,Nike Triple Jump Elite 2,Men,2.0,135.0,135.0,AO0808-002
1229,Freak 5 By You,Men,6.0,160.0,160.0,HF0004-900
1230,Nike Air Max SC,Men,1.0,90.0,90.0,CW4555-015
1231,Nike ACG Air Deschütz +,Men,1.0,67.97,75.0,DC9093-001
1232,Jordan Retro 6 G,Men,3.0,230.0,230.0,DV1376-101
1233,Nike Alpha Menace 3 Shark,Men,1.0,38.97,45.0,CV0584-010
1234,Nike Offcourt (UNC),Men,1.0,28.97,40.0,DD0552-002
1235,UCLA,Men,1.0,28.97,40.0,DX5209-002
1236,Nike Pegasus 40 (Colorado),Men,1.0,140.0,140.0,FQ2140-100
1237,"Nike SFB Field 2 8"" Leather",Men,1.0,144.97,175.0,AQ1202-900
1238,Nike Cortez Platform Unlocked By You,Men,5.0,130.0,130.0,FQ7223-905
1239,Nike Air Force 1 Mid '07,Men,2.0,125.0,125.0,CW2289-001
1240,Nike Terminator Low,Men,6.0,120.0,120.0,FN6830-001
1241,Nike Pegasus Trail 4 By You,Men,7.0,170.0,170.0,FB5058-900
1242,Nike Pegasus 40 (Norfolk State),Men,1.0,98.97,140.0,DZ5947-100
1243,Nike SB Force 58 Premium,Men,3.0,85.0,85.0,DH7505-001
1244,Nike Zoom Fly 5,Men,6.0,170.0,170.0,DM8968-601
1245,Nike Ja Fly 4,Men,2.0,120.0,120.0,DR2741-400
1246,Nike Court Vision Low Next Nature,Men,8.0,80.0,80.0,FJ0685-010
1247,Air Jordan 12 Low,Men,1.0,220.0,220.0,DH4120-101
1248,Nike Alpha Huarache 4 Keystone,Men,7.0,45.0,45.0,DJ6524-104
1249,Nike Revolution 6 FlyEase,Men,1.0,55.97,70.0,DC8992-003
1250,Converse Chuck Taylor All Star Low Top,Men,3.0,60.0,60.0,M9697-410
1251,Nike React HyperSet,Men,4.0,135.0,135.0,CI2955-160
1252,Nike Zoom LeBron 2,Men,2.0,105.97,210.0,DR0826-100
1253,Air Jordan 1 Hi FlyEase,Men,1.0,150.0,150.0,CQ3835-106
1254,Air Jordan 11 CMFT Low,Men,1.0,110.97,130.0,DN4180-070
1255,Nike Huarache 9 Elite Mid LAX SE,Men,1.0,135.0,135.0,FV6149-001
1256,Nike Phantom GX Academy,Men,1.0,67.97,90.0,DD9469-300
1257,"Air Jordan 14 ""Black/White""",Men,1.0,200.0,200.0,487471-016
1258,Nike Dunk Low By Kelíta,Men,1.0,150.0,150.0,FN0569-900
1259,Nike Air Zoom Infinity Tour NRG,Men,1.0,153.97,180.0,FB3124-100
1260,Nike Revolution 7 EasyOn,Men,2.0,52.97,70.0,FQ4112-001
1261,Nike Mercurial Vapor 15 Academy,Men,3.0,90.0,90.0,DJ5631-300
1262,Nike Air Force 1 '07 LV8,Men,2.0,93.97,130.0,DO9801-300
1263,Nike Pegasus 40 (UCLA),Men,1.0,98.97,140.0,DZ5988-100
1264,Nike Inflict,Men,5.0,110.0,110.0,325256-100
1265,Nike Pegasus 40 (Oregon),Men,1.0,98.97,140.0,DZ5979-100
1266,Nike SB Zoom Blazer Mid,Men,6.0,59.97,90.0,864349-204
1267,Sabrina 1 By You,Men,1.0,160.0,160.0,FJ4036-900
1268,Nike Zoom SD 4,Men,2.0,85.0,85.0,685135-004
1269,Sabrina 1 By You,Men,1.0,160.0,160.0,FJ4036-900
1270,Nike Air Force 1 '07,Men,1.0,110.0,110.0,CZ9164-100
1271,Freak 4,Men,5.0,110.97,130.0,DJ6149-101
1272,Nike Tiempo Legend 10 Pro,Men,3.0,150.0,150.0,DV4333-040
1273,Jordan 1 Retro MCS,Men,5.0,150.0,150.0,AV5354-101
1274,Nike Mercurial Superfly 9 Club,Men,1.0,70.0,70.0,DJ5962-040
1275,Nike Waffle One SE,Men,2.0,87.97,110.0,DZ2527-100
1276,Nike Dunk Low Retro Premium,Men,1.0,125.0,125.0,FB8895-300
1277,Nike Air Force 1 '07,Men,1.0,101.97,135.0,FV8105-161
1278,Nike Tawa,Men,5.0,150.0,150.0,CI2952-004
1279,Nike SB Nyjah 3 Premium,Men,1.0,82.97,110.0,FB2394-001
1280,Nike Zoom Javelin Elite 3,Men,2.0,160.0,160.0,AJ8119-002
1281,Nike Air Tailwind 79,Men,1.0,87.97,90.0,487754-100
1282,Nike College Air Max SYSTM (Oregon),Men,1.0,110.0,110.0,DZ7738-700
1283,Clark Atlanta,Men,1.0,28.97,40.0,DX5639-002
1284,Nike Vapor Edge Pro 360 2 (Team),Men,4.0,125.0,125.0,FJ1581-160
1285,Nike Air Force 1 Luxe,Men,1.0,119.97,140.0,DB4109-001
1286,Nike Air Force 1 Mid '07,Men,1.0,123.97,145.0,FB8881-200
1287,Nike Alpha Menace Varsity 3,Men,4.0,52.97,75.0,CV0586-616
1288,Nike Air Zoom Infinity Tour,Men,5.0,136.97,160.0,DC5221-041
1289,Nike Air Force 1 '07,Men,1.0,115.0,115.0,FZ3592-259
1290,"Cosmic Unity 3 ""A'ja Wilson""",Men,1.0,137.97,160.0,FQ9395-600
1291,Nike Pegasus 40 (Kentucky),Men,1.0,98.97,140.0,DZ5986-100
1292,Nike Superfly 9 Elite Mercurial Dream Speed,Men,2.0,295.0,295.0,FD1167-600
1293,Nike Huarache 9 Elite Low LAX SE,Men,1.0,125.0,125.0,FV6147-001
1294,Jordan Access,Men,1.0,110.0,110.0,AR3762-001
1295,Nike React Infinity 3,Men,1.0,127.97,160.0,
1296,Nike Victori One,Men,1.0,28.97,35.0,DR2018-001
1297,"Air Jordan XXXVIII ""FIBA""",Men,1.0,170.97,200.0,FN7481-100
1298,Nike React Gato,Men,3.0,140.0,140.0,CT0550-470
1299,Air Jordan XXXVII Low GC,Men,1.0,195.0,195.0,FD8701-001
1300,Nike Offline 3.0 Premium,Men,1.0,72.97,115.0,DR0290-001
1301,Nike Juniper Trail 2,Men,3.0,67.97,90.0,DM0822-101
1302,Nike Force Trout 8 Pro MCS,Men,1.0,47.97,70.0,CZ5914-100
1303,"Air Jordan 2 Low ""Origins""",Men,1.0,150.0,150.0,DV9956-006
1304,Nike SB Chron 2,Men,4.0,56.97,75.0,DM3493-606
1305,Nike Attack,Men,1.0,140.0,140.0,
1306,Nike Air Max 1 '86 OG G NRG,Men,1.0,153.97,180.0,FB9152-100
1307,Nike Terminator High,Men,2.0,125.0,125.0,FN4442-001
1308,Nike SuperRep Cycle 2 Next Nature,Men,2.0,110.97,130.0,DH3396-001
1309,Nike Zoom Rival SD 2,Men,2.0,70.0,70.0,685134-400
1310,Luka 1,Men,2.0,66.97,110.0,DN1772-108
1311,Jordan Granville Pro SP,Men,1.0,87.97,145.0,DM2424-330
1312,Nike Air Force 1 Low Retro,Men,3.0,82.97,150.0,FD7039-600
1313,Nike Mercurial Superfly 9 Academy,Men,3.0,100.0,100.0,DJ5622-300
1314,Nike Zoom Blazer Mid Pro GT,Men,2.0,85.0,100.0,FN4182-001
1315,Nike ISPA Link Axis,Men,1.0,300.0,300.0,FZ3507-100
1316,Nike Offcourt (Clemson),Men,2.0,31.97,40.0,DD0518-001
1317,Nike Waffle One,Men,1.0,82.97,110.0,FB8902-100
1318,Nike Air Max 90,Men,2.0,99.97,130.0,DZ3522-001
1319,Air Jordan 8 Retro x SoleFly,Men,1.0,225.0,225.0,
1320,Nike Metcon 6,Men,1.0,103.97,130.0,CK9388-001
1321,Nike Alpha Huarache 8 Pro,Men,2.0,85.97,100.0,
1322,Nike Pegasus 40 (Tennessee),Men,1.0,98.97,140.0,DZ5980-100
1323,Nike Kwondo 1 x PEACEMINUSONE,Men,1.0,133.97,190.0,DH2482-101
1324,Nike Free Crater Trail Moc N7,Men,1.0,88.97,160.0,DQ7605-200
1325,Nike React Phantom Run Flyknit 2,Men,5.0,150.0,150.0,DV2139-100
1326,Nike Precision 6 FlyEase,Men,2.0,68.97,75.0,DJ7552-002
1327,Nike Pegasus 40 (Georgia),Men,1.0,98.97,140.0,DZ5977-100
1328,Nike Offcourt (Tennessee),Men,1.0,28.97,40.0,DD0549-002
1329,Nike Pegasus FlyEase,Men,4.0,130.0,130.0,DJ7381-001
1330,Nike Magmascape x sacai,Men,2.0,200.0,200.0,
1331,Nike Air Max AP,Men,3.0,85.97,100.0,CU4826-101
1332,Nike Huarache 9 Elite TF LAX,Men,2.0,100.0,100.0,FN0310-100
1333,Air Jordan 5 Retro,Men,1.0,200.0,200.0,DC7501-300
1334,Nike Dunk Low,Men,1.0,115.0,115.0,FV6911-300
1335,Nike College Air Max SYSTM (Georgia),Men,1.0,110.0,110.0,DZ7742-600
1336,Nike Air More Uptempo,Men,2.0,59.97,85.0,FB7815-100
1337,Nike Alphafly 3 Proto,Men,1.0,285.0,285.0,FD8356-100
1338,Nike React HyperSet LE,Men,1.0,140.0,140.0,DJ4473-170
1339,Nike Zoom KD 3,Men,1.0,130.0,130.0,
1340,Nike ISPA Link,Men,1.0,112.97,225.0,CN2269-003
1341,Nike Interact Run,Men,4.0,63.97,85.0,FD2291-001
1342,Nike Pegasus 40 (Clark Atlanta),Men,1.0,98.97,140.0,DZ5949-100
1343,Converse Custom Chuck Taylor All Star Low Top,Men,1.0,80.0,80.0,CU1724-960
1344,Nike Tiempo Legend 10 Academy,Men,4.0,80.0,80.0,DV4342-100
1345,NikeCourt Air Zoom GP Turbo Naomi Osaka,Men,1.0,119.97,140.0,DZ1725-300
1346,NikeCourt Air Zoom Vapor Pro 2,Men,1.0,130.0,130.0,DV2020-001
1347,NikeCourt Vapor Lite 2 Premium,Men,1.0,71.97,95.0,FD6691-001
1348,Nike Tiempo Legend 10 Club,Men,1.0,60.0,60.0,DV4344-040
1349,Nike Air Deldon Be True,Men,3.0,120.0,120.0,DX6779-100
1350,Nike Air Max 97 SE,Men,1.0,129.97,185.0,DV2619-100
1351,Nike Offcourt (Penn State),Men,1.0,31.97,40.0,DD0503-002
1352,Nike Pegasus 40 (Michigan),Men,1.0,98.97,140.0,DZ6001-100
1353,Nike SB Zoom Blazer Mid Premium,Men,3.0,75.97,100.0,FD5113-600
1354,Nike Manoa Leather SE,Men,2.0,73.97,105.0,DC8892-001
1355,NikeCourt Air Zoom Vapor 11 Attack PRM,Men,1.0,135.97,180.0,FD6693-001
1356,Nike College Air Max SYSTM (Alabama),Men,1.0,110.0,110.0,DZ7744-001
1357,Nike Air Zoom Infinity Tour NEXT% Shield,Men,1.0,190.0,190.0,FD6853-001
1358,Nike SB Zoom Nyjah 3,Men,9.0,66.97,110.0,DV7896-600
1359,Nike x Social Status Air Penny 2,Men,2.0,200.0,200.0,DM9132-001
1360,Nike Waffle One SE,Men,2.0,87.97,110.0,DV7192-001
1361,Nike College Air Max SYSTM (Penn State),Men,1.0,110.0,110.0,DZ7746-001
1362,Air Jordan 1 Low,Men,1.0,97.97,115.0,553558-161
1363,Converse x Kasina Weapon,Men,1.0,140.0,140.0,
1364,Jordan Stadium 90,Men,1.0,140.0,140.0,HF5258-102
1365,Nike Offcourt (Arizona),Men,1.0,28.97,40.0,DD0505-002
1366,NikeCourt Air Zoom Vapor 11 Attack,Men,1.0,190.0,190.0,FN2152-001
1367,Nike Court Vision Low Next Nature,Men,1.0,80.0,80.0,FB8942-133
1368,Nike Mercurial Vapor 15 Academy,Men,7.0,72.97,85.0,FD1168-600
1369,Nike Air Force 1 '07 LX NBHD,Men,2.0,140.0,140.0,DV7186-301
1370,NikeCourt Air Zoom Vapor 9.5 Tour,Men,1.0,130.97,170.0,FB2664-600
1371,Nike Air Force 1 '07 Craft,Men,1.0,102.97,120.0,DO6676-200
1372,North Carolina A&T,Men,1.0,28.97,40.0,DX5645-002
1373,Nike Offcourt (West Virginia),Men,1.0,28.97,40.0,DD0555-002
1374,Nike Pegasus 40 (Morehouse),Men,1.0,98.97,140.0,DZ6002-100
1375,Nike Dunk Low By Kelcey,Men,1.0,150.0,150.0,FN0569-900
1376,Nike Court Legacy Canvas,Men,2.0,45.97,60.0,CW6539-301
1377,Nike Vapor Edge Elite 360 2,Men,2.0,210.0,210.0,DA5457-001
1378,Nike ZoomX Dragonfly XC,Men,3.0,160.0,160.0,DX7992-700
1379,Nike Air Force 1 Mid '07 LV8,Men,2.0,107.97,140.0,DZ2554-001
1380,Jordan True Flight,Men,1.0,150.0,150.0,342964-042
1381,Jordan Jumpman Team 1,Men,2.0,145.0,145.0,FV3928-101
1382,Nike Victori One,Men,1.0,35.0,35.0,CN9675-015
1383,Nike React Vapor Ultrafly Elite 4,Men,1.0,60.97,100.0,DA0701-002
1384,AJKO 1,Men,2.0,127.97,150.0,DO5047-407
1385,Nike Air Force 1 Low Retro QS,Men,1.0,140.0,140.0,DX1156-101
1386,Nike Renew Retaliation 4,Men,1.0,63.97,80.0,DH0606-002
1387,Nike M2K Tekno,Men,1.0,120.0,120.0,BQ3378-100
1388,Nike Phantom GX Club,Men,1.0,48.97,65.0,DD9483-040
1389,Nike Infinity Ace Next Nature NRG,Men,1.0,120.0,120.0,DX7435-007
1390,Nike Air Max 270,Men,1.0,160.0,160.0,AH8050-107
1391,LeBron 19 Low,Men,1.0,97.97,160.0,DH1270-100
1392,Nike ACG Torre Mid Waterproof,Men,2.0,150.0,150.0,
1393,Nike Air Zoom Victory Tour 3 NRG,Men,1.0,200.0,200.0,DZ4558-100
1394,Nike Waffle Debut,Men,4.0,63.97,75.0,DH9522-003
1395,Nike Air Max 2017,Men,1.0,190.0,190.0,849559-100
1396,Nike Air Max 1 '86 OG G NRG,Men,1.0,170.0,170.0,DV1407-100
1397,Nike Air Max 97 SE,Men,1.0,109.97,185.0,DV2621-200
1398,Nike Air Force 1 Low By You,Men,1.0,135.0,135.0,DV3907-900
1399,Nike Air Force 1 '07 Premium,Men,1.0,145.0,145.0,
1400,Nike Offcourt (Arkansas),Men,1.0,28.97,40.0,DD0507-002
1401,Nike Attack,Men,1.0,120.0,120.0,
1402,Nike Pegasus 40 (Alabama A&M),Men,1.0,98.97,140.0,DZ5992-100
1403,Nike Blazer Mid Pro Club,Men,2.0,97.97,115.0,FB8891-001
1404,Nike Zoom LeBron 4,Men,1.0,240.0,240.0,
1405,Nike Air Pegasus '89,Men,1.0,92.97,110.0,FN3414-100
1406,KD16 By You,Men,1.0,190.0,190.0,FB2390-900
1407,Nike Huarache 9 Elite TF LAX SE,Men,1.0,105.0,105.0,FV6148-001
1408,Nike SFB B1,Men,1.0,170.0,170.0,DX2117-001
1409,Nike Offcourt (Ohio State),Men,1.0,28.97,40.0,DD0534-002
1410,"Nike Vapor Edge Pro 360 2 ""Ja'Marr Chase""",Men,1.0,125.0,125.0,FN0112-600
1411,Nike Burrow,Men,1.0,51.97,60.0,DJ3130-002
1412,CONVERSE x DRKSHDW,Men,1.0,175.0,175.0,A04955C-101
1413,Nike Infinity Pro 2,Men,1.0,110.0,110.0,DM8449-001
1414,Nike Air Max Goaterra 2.0,Men,2.0,119.97,140.0,DD5016-300
1415,Nike Phantom GX Academy,Men,2.0,85.97,95.0,DD9476-040
1416,Jordan Series Mid,Men,2.0,58.97,90.0,DA8026-100
1417,Nike Air Force 1 '07,Men,1.0,77.97,110.0,DH7561-107
1418,Nike Air Max 90 SE,Men,1.0,119.97,140.0,DX3576-001
1419,Nike College Air Max SYSTM (Ohio State),Men,1.0,110.0,110.0,DZ7741-001
1420,Nike Air Max 90,Men,1.0,98.97,140.0,FD0734-442
1421,Nike Tech Hera,Men,5.0,82.97,110.0,FJ9532-101
1422,Nike ZoomX Dragonfly,Men,4.0,160.0,160.0,CV0400-400
1423,Nike Pole Vault Elite,Men,1.0,71.97,120.0,DR9926-700
1424,LeBron 7,Men,1.0,159.97,200.0,DX8554-001
1425,Nike Air Max 1 Premium,Men,1.0,96.97,160.0,DZ0482-001
1426,Nike Air Max 90 LTR,Men,1.0,89.97,140.0,FD0789-600
1427,NOCTA Air Force 1 Low,Men,1.0,160.0,160.0,
1428,Nike Air Zoom LJ Elite,Men,2.0,160.0,160.0,CT0079-400
1429,Jordan 6 Rings,Men,1.0,170.0,170.0,322992-131
1430,Nike Blazer Mid '77 SE,Men,1.0,77.97,110.0,DV0797-100
1431,Nike Force Zoom Trout 8 Elite NRG,Men,1.0,119.97,140.0,
1432,Nike Free Run 2018,Men,4.0,69.97,100.0,942836-003
1433,Nike Tiempo Legend 9 Academy MG,Men,1.0,75.0,75.0,DA1174-705
1434,Nike Dunk Mid,Men,1.0,120.0,120.0,FQ8784-100
1435,Nike Air Force 1 Mid '07,Men,1.0,88.97,160.0,DZ2672-101
1436,Nike Blazer Low '77 Premium,Men,1.0,80.97,95.0,DV7231-001
1437,Nike Air Max Terrascape 90,Men,4.0,98.97,140.0,DM0033-001
1438,Nike Dunk Low By Italia,Men,1.0,150.0,150.0,FN0569-900
1439,Nike Air Max 1 Premium,Men,1.0,160.0,160.0,
1440,Nike Air Force 1 High '07 LV8,Men,1.0,104.97,145.0,DV0790-001
1441,Nike Pegasus Trail 3 GORE-TEX,Men,1.0,129.97,160.0,DC8793-401
1442,Nike Benassi N7,Men,1.0,35.0,35.0,FV5914-010
1443,Nike Alpha Huarache 8 Elite,Men,3.0,110.97,130.0,CW4440-011
1444,Zion 1,Men,1.0,96.97,120.0,DA3130-241
1445,Nike Offcourt (Oregon),Men,1.0,28.97,40.0,DD0538-002
1446,Nike Kiger 8,Men,2.0,111.97,140.0,DH0649-600
1447,Nike Tiempo Legend 9 Elite FG,Men,4.0,195.97,230.0,CZ8482-054
1448,Nike Air Max 90 G,Men,1.0,99.97,130.0,CU9978-101
1449,Nike ACG Moc Premium,Men,1.0,100.0,100.0,
1450,Nike Tiempo Legend 10 Academy,Men,3.0,85.0,85.0,DV4341-300
1451,Nike Pegasus 40 (Arkansas),Men,1.0,98.97,140.0,DZ5991-100
1452,Nike Air Force 1 '07 LV8,Men,1.0,114.97,135.0,FQ8825-100
1453,Nike Air Force 1 Mid '07 LV8,Men,1.0,119.97,140.0,DR9513-400
1454,Nike Zoom LeBron 4,Men,1.0,240.0,240.0,DJ4888-100
1455,Nike Huarache 9 Elite Low LAX,Men,2.0,120.0,120.0,FD0089-101
1456,Nike ACG Moc,Men,1.0,54.97,90.0,DQ6453-400
1457,Nike Air Max 97 By You Greatest Gift,Men,1.0,195.0,195.0,FN6743-900
1458,"Nike ACG GORE-TEX ""Mountain Fly""",Men,1.0,220.0,220.0,CT2904-002
1459,Nike ACG Moc 3.5,Men,1.0,90.0,90.0,DJ6080-800
1460,Nike Offcourt (Alabama),Men,1.0,28.97,40.0,DD0506-002
1461,Nike Attack,Men,1.0,130.0,130.0,
1462,Nike Air Max 1 Premium,Men,1.0,160.0,160.0,FJ0698-100
1463,Nike Phantom GT2 Academy FlyEase,Men,1.0,72.97,85.0,DH9638-600
1464,Nike Air Max 1 Premium 2,Men,1.0,108.97,180.0,FD5088-200
1465,Nike Motiva,Men,3.0,82.97,110.0,DV1237-601
1466,Nike Winflo 8 Shield,Men,1.0,99.97,110.0,DC3727-200
1467,Nike Vapor 15 Academy Mercurial Dream Speed,Men,2.0,95.0,95.0,FD1160-600
1468,Nike Pegasus 40 (Arizona),Men,1.0,98.97,140.0,DZ5945-100
1469,Freak 5 By You,Men,1.0,160.0,160.0,HF0004-900
1470,Nike Air Force 1 '07 LX,Men,1.0,135.0,135.0,CU6312-100
1471,Nike Air Force 1 '07 Premium,Men,1.0,150.0,150.0,FN6835-010
1472,KD16 By You,Men,1.0,190.0,190.0,FB2390-900
1473,Nike Pegasus 40 (Delaware State),Men,1.0,98.97,140.0,DZ5955-100
1474,Nike Air Zoom Victory Tour 3 NRG,Men,1.0,200.0,200.0,DV6799-007
1475,Nike Zoom Javelin Elite 3,Men,1.0,89.97,150.0,DV9193-001
1476,Nike Air Force 1 Mid x Off-White™,Men,1.0,205.0,205.0,
1477,Nike Air Force 1 '07 LX,Men,1.0,70.97,140.0,DZ5355-126
1478,Nike Manoa Leather,Men,2.0,80.97,95.0,454350-700
1479,Nike G.T. Jump,Men,2.0,153.97,180.0,CZ9907-200
1480,Nike Air Penny 2 QS,Men,1.0,200.0,200.0,
1481,Nike Pegasus 40 (Tennessee State),Men,1.0,98.97,140.0,DZ5978-100
1482,Nike Air Force 1 High '07 LV8 EMB,Men,1.0,89.97,135.0,DX4980-001
1483,Air Jordan XXXVII,Men,1.0,111.97,185.0,DD6958-001
1484,Nike SB Zoom Blazer Mid Premium,Men,2.0,85.97,100.0,DV7898-001
1485,Nike Force Zoom Trout 8 Pro NRG,Men,1.0,57.97,95.0,FB9120-160
1486,Nike Terminator High (Morehouse),Men,1.0,150.0,150.0,
1487,LeBron Witness 8,Men,1.0,110.0,110.0,FB2239-002
1488,Nike Pegasus 40 (West Virginia),Men,1.0,98.97,140.0,DZ6005-100
1489,Jordan Why Not .5?,Men,1.0,110.97,130.0,DC3637-160
1490,Nike Air Max 90 NRG,Men,1.0,150.0,150.0,CZ1929-200
1491,Nike Free Run 2,Men,1.0,69.97,110.0,537732-004
1492,Nike SFB B2,Men,1.0,127.97,170.0,FN3720-900
1493,Nike Air Max 1 '87 By You,Men,1.0,180.0,180.0,FJ8893-900
1494,Nike Pegasus 40 (UNC),Men,1.0,98.97,140.0,DZ5968-100
1495,Nike Zoom Vomero 5,Men,1.0,160.0,160.0,
1496,Nike Blazer Mid '77 Jumbo,Men,2.0,86.97,115.0,FD0278-001
1497,Nike Waffle Debut SE,Men,2.0,80.0,80.0,DQ7684-101
1498,Nike Blazer Mid '77 Suede,Men,1.0,78.97,105.0,CI1172-601
1499,Nike Pegasus 40 (Tuskegee),Men,1.0,98.97,140.0,DZ6004-100
1500,Nike Air Max 90 G NRG,Men,1.0,105.97,150.0,DQ4128-155
1501,Nike Metcon 9 EasyOn,Men,1.0,150.0,150.0,DZ2615-001
1502,Cosmic Unity 3 N7,Men,1.0,170.0,170.0,FV6079-001
1503,Nike Blazer Mid '77 Vintage,Men,1.0,87.97,110.0,FJ4022-025
1504,Nike Offcourt (Michigan State),Men,1.0,28.97,40.0,DD0532-002
1505,Nike High Jump Elite,Men,1.0,135.0,135.0,806561-400
1506,"Tatum 1 ""Away Team""",Men,1.0,120.0,120.0,DZ3324-003
1507,NikeCourt Air Zoom GP Turbo Osaka,Men,1.0,136.97,160.0,FB7076-100
1508,Nike Air Force 1 Low Billie,Men,1.0,130.0,130.0,DZ3674-100
1509,Nike Air Pegasus '89,Men,2.0,78.97,105.0,FB8900-001
1510,Nike Air Force 1 '07 LV8 1,Men,1.0,114.97,135.0,CW6999-600
1511,Nike Air Force 1 '07 LV8,Men,1.0,103.97,130.0,DV0794-001
1512,Nike Court Legacy Next Nature,Men,1.0,59.97,70.0,FQ6474-100
1513,Jordan Post,Men,1.0,30.0,30.0,DX5575-700
1514,Nike Zoom Rotational 6,Men,2.0,110.0,110.0,685131-004
1515,Nike Air Force 1 Low Retro,Men,2.0,150.0,150.0,FD7039-101
1516,Nike Ultrafly,Men,1.0,260.0,260.0,DX1978-101
1517,Jordan 1 Low TD,Men,1.0,140.0,140.0,FJ6245-002
1518,Nike Blazer Mid '77 By You,Men,1.0,120.0,120.0,DO7432-900
1519,Jordan 6 Rings,Men,1.0,170.0,170.0,322992-067
1520,Nike Dunk Low Retro,Men,1.0,115.0,115.0,DV0833-600
1521,Nike Pegasus 40 (Spelman),Men,1.0,98.97,140.0,DZ5956-100
1522,Nike Offline 2.0,Men,1.0,91.97,130.0,DJ6229-200
1523,ACG Lowcate x Future Movement,Men,1.0,68.97,125.0,FB9761-300
1524,Nike Air Max 90,Men,1.0,98.97,140.0,DZ4839-001
1525,Nike Air Max 1 Premium,Men,2.0,80.97,160.0,FB8915-400
1526,Nike Air Max 1 Premium,Men,1.0,90.97,150.0,DV3050-300
1527,Nike Pegasus 40 (Texas),Men,1.0,98.97,140.0,DZ5951-100
1528,Nike Run Swift 2,Men,1.0,51.97,70.0,CU3517-014
