,n_reviews,size,comfort,quality,star_rating,product_code
112,280.0,40.0,96.0,48.55,4.8,DM1123-100
113,469.0,46.0,83.0,44.56,4.7,DM0825-101
114,27.0,34.0,86.0,68.4,4.4,FB2238-001
115,191.0,42.0,93.0,52.85,4.8,DR8784-301
116,252.0,38.0,75.0,44.41,4.5,DR8785-002
117,13.0,50.0,88.0,74.21,4.8,DX4361-001
118,9.0,38.0,88.0,56.81,4.7,DV5475-300
119,30.0,17.0,90.0,37.89,4.9,CD4382-400
120,,,,,,DX5388-900
121,26.0,,,,4.8,DZ0489-101
122,30.0,17.0,90.0,37.89,4.9,CD4382-600
123,171.0,40.0,78.0,41.09,4.5,DD9304-602
124,6.0,50.0,100.0,83.33,5.0,FQ8732-010
125,2.0,50.0,75.0,75.0,4.0,FQ8971-600
126,1.0,50.0,100.0,83.33,3.0,DZ2946-100
127,201.0,39.0,92.0,45.16,4.8,DJ5423-300
128,0.0,,,,0.0,FZ3620-001
129,55.0,46.0,84.0,48.18,4.6,864349-302
130,,,,,,DX5051-400
131,351.0,39.0,91.0,44.19,4.6,942839-600
132,39.0,46.0,87.0,52.03,4.4,DV2917-401
133,,,,,,FQ7223-900
134,9.0,50.0,100.0,61.11,5.0,CW7586-100
135,,,,,,
136,15.0,50.0,75.0,52.78,4.6,FB9752-100
137,,,,,,DV3907-900
138,20.0,61.0,95.0,63.67,4.6,DQ5601-003
139,,,,,,FJ8893-900
140,37.0,,,,4.5,CZ5920-400
141,133.0,,,,4.4,DQ1470-002
142,,,,,,FJ2253-901
143,127.0,61.0,87.0,51.43,4.8,DR9631-801
144,,,,,,
145,2.0,50.0,100.0,83.33,5.0,DV3282-103
146,66.0,29.0,70.0,49.5,4.2,CW3406-004
147,26.0,52.0,88.0,69.74,4.7,DM1206-174
148,83.0,25.0,50.0,25.4,4.6,DC8753-100
149,,,,,,314352-998
150,21.0,61.0,90.0,75.5,4.2,CD4385-400
151,,,,,,CW7637-991
152,53.0,27.0,57.0,28.63,3.9,FJ9302-104
153,0.0,,,,0.0,A03938C-206
154,30.0,43.0,96.0,49.67,4.4,DR5540-102
155,,,,,,FD9782-900
156,233.0,53.0,83.0,47.77,4.5,DD9285-400
157,1.0,50.0,100.0,75.0,5.0,DO9456-100
158,275.0,48.0,87.0,46.33,4.8,CW3400-001
159,19.0,44.0,69.0,48.19,4.4,DQ7572-200
160,1.0,50.0,100.0,83.33,5.0,FQ8887-100
161,19.0,50.0,87.0,73.74,4.5,DJ9405-302
162,,,,,,DZ2653-900
163,13.0,,,,4.4,DV2228-300
164,239.0,38.0,92.0,44.45,4.4,DH0224-200
165,99.0,43.0,80.0,44.37,4.6,DO9327-102
166,442.0,41.0,97.0,46.45,4.7,BQ4632-002
167,,,,,,FB2383-900
168,,,,,,FB2391-900
169,8.0,,,,4.0,DV3285-300
170,400.0,33.0,73.0,36.0,4.4,DJ6257-004
171,1.0,100.0,100.0,100.0,4.0,168817C-102
