,ShoeName,Category,no_colors,price_reduce,price,Brand,product_code,URL
39,Nike Court Vision Alta,Women,4,67.97,90.0,Nike,DM0113-102,https://www.nike.com/t/court-vision-alta-womens-shoes-TbljXk/DM0113-102
40,Nike Waffle Debut,Women,5,63.97,75.0,Nike,DH9523-100,https://www.nike.com/t/waffle-debut-womens-shoes-5Rl1KL/DH9523-100
41,Nike Pegasus Trail 4,Women,9,105.97,140.0,Nike,DJ6159-002,https://www.nike.com/t/pegasus-trail-4-womens-trail-running-shoes-CQT261/DJ6159-002
42,Nike InfinityRN 4 GORE-TEX,Women,4,180.0,180.0,Nike,FB2197-600,https://www.nike.com/t/infinityrn-4-gore-tex-womens-waterproof-road-running-shoes-QwxP9x/FB2197-600
43,Nike Air Force 1 '07,Women,5,115.0,115.0,Nike,DD8959-100,https://www.nike.com/t/air-force-1-07-womens-shoes-b19lqD/DD8959-100
44,Nike Air Force 1 Shadow,Women,14,135.0,135.0,Nike,CI0919-100,https://www.nike.com/t/air-force-1-shadow-womens-shoes-kTgn9J/CI0919-100
45,Nike Pegasus Trail 4 GORE-TEX,Women,10,160.0,160.0,Nike,DJ7929-001,https://www.nike.com/t/pegasus-trail-4-gore-tex-womens-waterproof-trail-running-shoes-9knDsQ/DJ7929-001
46,Nike Alphafly 2,Women,4,285.0,285.0,Nike,DN3559-003,https://www.nike.com/t/alphafly-2-womens-road-racing-shoes-6grcms/DN3559-003
47,Nike Blazer Low Platform,Women,4,100.0,100.0,Nike,DJ0292-101,https://www.nike.com/t/blazer-low-platform-womens-shoes-X8Nl4M/DJ0292-101
48,Nike Cortez,Women,5,90.0,90.0,Nike,DN1791-100,https://www.nike.com/t/cortez-womens-shoes-tZtTd5/DN1791-100
49,Nike Kiger 9,Women,7,120.97,160.0,Nike,DR2694-500,https://www.nike.com/t/kiger-9-womens-trail-running-shoes-bsbcr4/DR2694-500
50,Nike Wildhorse 8,Women,5,119.97,140.0,Nike,DR2689-601,https://www.nike.com/t/wildhorse-8-womens-trail-running-shoes-TlD93l/DR2689-601
51,Nike Juniper Trail 2 GORE-TEX,Women,3,110.97,130.0,Nike,FB2065-500,https://www.nike.com/t/juniper-trail-2-gore-tex-womens-waterproof-trail-running-shoes-XmqHnc/FB2065-500
52,Nike Zegama,Women,7,127.97,170.0,Nike,DH0625-500,https://www.nike.com/t/zegama-womens-trail-running-shoes-FWN4lV/DH0625-500
53,Nike Calm,Women,4,37.97,50.0,Nike,DX4816-200,https://www.nike.com/t/calm-womens-slides-7XtJSh/DX4816-200
54,Nike Air Huarache Craft,Women,6,97.97,130.0,Nike,DQ8031-201,https://www.nike.com/t/air-huarache-craft-womens-shoes-Cp4dSR/DQ8031-201
55,Nike SuperRep 4 NN Premium,Women,5,127.97,150.0,Nike,FB7154-001,https://www.nike.com/t/superrep-4-nn-premium-womens-workout-shoes-Q9thvJ/FB7154-001
56,Nike MC Trainer 2,Women,3,68.97,80.0,Nike,DM0824-003,https://www.nike.com/t/mc-trainer-2-womens-workout-shoes-lGD4Lj/DM0824-003
57,Nike Air VaporMax Plus,Women,8,210.0,210.0,Nike,FQ8895-100,https://www.nike.com/t/air-vapormax-plus-womens-shoes-xbt7zf/FQ8895-100
58,Nike Air Max Plus,Women,4,157.97,185.0,Nike,FV0952-100,https://www.nike.com/t/air-max-plus-womens-shoes-47Sxw5/FV0952-100
59,Nike Air Force 1 '07,Women,1,106.97,125.0,Nike,FB8251-100,https://www.nike.com/t/air-force-1-07-womens-shoes-2pN8fN/FB8251-100
60,Nike Burrow,Women,3,51.97,60.0,Nike,FJ6041-600,https://www.nike.com/t/burrow-womens-slippers-Mwlm1j/FJ6041-600
61,Chuck Taylor All Star Lift Platform Canvas,Women,1,75.0,75.0,Nike,560845F-001,https://www.nike.com/t/chuck-taylor-all-star-lift-platform-canvas-womens-shoes-WnnZFz/560845F-001
62,Chuck Taylor All Star Lift Platform Canvas,Women,1,75.0,75.0,Nike,560846F-102,https://www.nike.com/t/chuck-taylor-all-star-lift-platform-canvas-womens-shoes-1kxzVW/560846F-102
63,Nike Air Force 1 '07,Women,6,110.0,110.0,Nike,FD1448-664,https://www.nike.com/t/air-force-1-07-womens-shoes-PqdxJw/FD1448-664
64,Air Jordan 1 Low,Women,6,115.0,115.0,Nike,DC0774-080,https://www.nike.com/t/air-jordan-1-low-womens-shoes-rJrHLw/DC0774-080
65,Air Jordan 1 Elevate Low,Women,16,81.97,135.0,Nike,DH7004-600,https://www.nike.com/t/air-jordan-1-elevate-low-womens-shoes-Q630Pk/DH7004-600
66,Air Jordan 1 Mid,Women,9,125.0,125.0,Nike,BQ6472-414,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-Kg3nnj/BQ6472-414
67,Nike Dunk Low,Women,2,115.0,115.0,Nike,DD1503-118,https://www.nike.com/t/dunk-low-womens-shoes-0lZ7gG/DD1503-118
68,Air Jordan 1 Elevate High,Women,6,87.97,145.0,Nike,DN3253-061,https://www.nike.com/t/air-jordan-1-elevate-high-womens-shoes-BCspwg/DN3253-061
69,Nike Court Vision Alta,Women,4,68.97,85.0,Nike,CW6536-600,https://www.nike.com/t/court-vision-alta-womens-shoes-k5tLbc/CW6536-600
70,Nike Air Max Correlate,Women,3,100.0,100.0,Nike,511417-136,https://www.nike.com/t/air-max-correlate-womens-shoes-29Vjp0/511417-136
71,Air Jordan 1 Low SE,Women,3,72.97,120.0,Nike,DV0426-200,https://www.nike.com/t/air-jordan-1-low-se-womens-shoes-jxMXgH/DV0426-200
72,Nike Air Force 1 '07 Premium,Women,3,110.97,130.0,Nike,DZ2786-400,https://www.nike.com/t/air-force-1-07-premium-womens-shoes-CrFc5p/DZ2786-400
73,Nike Air Force 1 '07 Next Nature,Women,4,97.97,115.0,Nike,DC9486-100,https://www.nike.com/t/air-force-1-07-next-nature-womens-shoes-fvxZ0g/DC9486-100
74,Nike Dunk Low,Women,1,106.97,125.0,Nike,FQ8893-397,https://www.nike.com/t/dunk-low-womens-shoes-hLKTKG/FQ8893-397
